input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:values_per_item,counter:logical_values,counter:encoded_bytes,counter:query_bytes,counter:io_bytes_per_value,counter:bulk_input_output_bytes
large,resident/predecessor/local/k1/h0/u64/dependent,1,3,"[42103.40965092388,41756.780287474634,41803.45482546142]",41803.45482546142,"[42101.20739222723,41755.1478439436,41800.71355231363]",41800.71355231363,"[164.4664439489214,163.1124229979478,163.29474541195867]",163.29474541195867,1.0,8589934592.0,1073741824.0,536870912.0,8.0,0.0
large,resident/predecessor/local/k1/h0/u64/get16,1,3,"[8817.526160337444,8885.294936708824,8853.877848101283]",8853.877848101283,"[8817.044303794968,8884.744725740054,8853.321518995856]",8853.321518995856,"[34.44346156381814,34.70818334651885,34.58546034414564]",34.58546034414564,16.0,8589934592.0,1073741824.0,536870912.0,8.0,0.0
large,resident/predecessor/local/k1/h0/u64/point,1,3,"[3815.697949933055,3607.948181724483,4030.2062429175235]",3815.697949933055,"[3815.416812611283,3607.6781703949105,4030.3545894718445]",3815.416812611283,"[14.905070116925996,14.093547584861264,15.742993136396578]",14.905070116925996,1.0,8589934592.0,1073741824.0,536870912.0,8.0,0.0
large,resident/predecessor/local/k56/h0/u64/dependent,1,3,"[43161.32765957472,42291.56808510753,44034.368085105074]",43161.32765957472,"[43174.41702129783,42289.55531918009,44040.27978727967]",43174.41702129783,"[168.59893617021373,165.20143783245132,172.0092503324417]",168.59893617021373,1.0,153391616.0,1073741312.0,536870656.0,8.0,0.0
large,resident/predecessor/local/k56/h0/u64/get16,1,3,"[8413.625787401541,8689.025984251628,8966.443307086418]",8689.025984251628,"[8413.175196858536,8688.522834647058,8969.081889754612]",8688.522834647058,"[32.86572573203727,33.94150775098292,35.02516916830632]",33.94150775098292,16.0,153391616.0,1073741312.0,536870656.0,8.0,0.0
large,resident/predecessor/local/k56/h0/u64/point,1,3,"[3608.7764828305385,3620.027471384162,3557.9779396462623]",3608.7764828305385,"[3608.536316339612,3619.71103017863,3557.7104058295868]",3608.536316339612,"[14.096783136056791,14.140732310094382,13.898351326743212]",14.096783136056791,1.0,153391616.0,1073741312.0,536870656.0,8.0,0.0
large,resident/series/neon/local/k1/h0/u64/admitted-region/get16,1,3,"[6848.850352430835,6687.889933128565,6569.642508584689]",6687.889933128565,"[6849.4427977574815,6687.418760163952,6569.134827392384]",6687.418760163952,"[26.75332168918295,26.124570051283456,25.66266604915894]",26.124570051283456,16.0,8589934592.0,1073741824.0,536870912.0,8.0,0.0
large,resident/series/neon/local/k1/h0/u64/dependent,1,3,"[41038.36910268266,41664.733580019165,41644.74098057312]",41644.74098057312,"[41036.408880671435,41668.04902864649,41642.7927844484]",41642.7927844484,"[160.30612930735413,162.75286554694986,162.6747694553638]",162.6747694553638,1.0,8589934592.0,1073741824.0,536870912.0,8.0,0.0
large,resident/series/neon/local/k1/h0/u64/get16,1,3,"[8892.575258988672,8877.227097298128,8875.677838716232]",8877.227097298128,"[8892.070485480286,8878.409100139412,8875.1629087947]",8878.409100139412,"[34.7366221054245,34.67666834882081,34.670616557485275]",34.67666834882081,16.0,8589934592.0,1073741824.0,536870912.0,8.0,0.0
large,resident/series/neon/local/k1/h0/u64/point,1,3,"[3893.6118818527075,4153.3809577088305,3922.283061087514]",3922.283061087514,"[3893.31819198597,4153.092861933207,3921.968337430319]",3921.968337430319,"[15.209421413487139,16.224144366050123,15.321418207373101]",15.321418207373101,1.0,8589934592.0,1073741824.0,536870912.0,8.0,0.0
large,resident/series/neon/local/k1/h0/u64/raw-dense/get16,1,3,"[6439.537512023144,6473.40990702151,6432.303302340567]",6439.537512023144,"[6439.166880416232,6472.982526451334,6431.931227966263]",6439.166880416232,"[25.15444340634041,25.286757449302772,25.126184774767836]",25.15444340634041,16.0,8589934592.0,1073741824.0,536870912.0,8.0,0.0
large,resident/series/neon/local/k56/h0/u64/admitted-region/get16,1,3,"[10005.028263473076,9626.984431137456,9275.500838323249]",9626.984431137456,"[10004.500838332493,9626.364550905362,9275.10610778996]",9626.364550905362,"[39.0821416541917,37.60540793413069,36.23242514970019]",37.60540793413069,16.0,153391616.0,1073741312.0,536870656.0,8.0,0.0
large,resident/series/neon/local/k56/h0/u64/dependent,1,3,"[42868.559162301775,42708.04293193494,42575.619895288466]",42708.04293193494,"[42866.44607335235,42710.92984292304,42573.2198952945]",42710.92984292304,"[167.45530922774134,166.82829270287084,166.31101521597057]",166.82829270287084,1.0,153391616.0,1073741312.0,536870656.0,8.0,0.0
large,resident/series/neon/local/k56/h0/u64/get16,1,3,"[11009.540519480666,11046.506493506193,11019.25454545469]",11019.25454545469,"[11008.90155844236,11046.057922078342,11018.56597403651]",11018.56597403651,"[43.00601765422136,43.150415990258566,43.043963068182386]",43.043963068182386,16.0,153391616.0,1073741312.0,536870656.0,8.0,0.0
large,resident/series/neon/local/k56/h0/u64/point,1,3,"[4362.420316984913,4203.3287158370995,4209.128541120725]",4209.128541120725,"[4362.155247720928,4203.672781724796,4208.741919383645]",4208.741919383645,"[17.040704363222318,16.41925279623867,16.44190836375283]",16.44190836375283,1.0,153391616.0,1073741312.0,536870656.0,8.0,0.0
large,resident/series/neon/local/k56/h0/u64/raw-dense/get16,1,3,"[9504.362206519289,9240.708228858324,9099.711875997076]",9240.708228858324,"[9503.739457485934,9240.107362652712,9099.131524953204]",9240.107362652712,"[37.12641486921597,36.09651651897783,35.54574951561358]",36.09651651897783,16.0,153391616.0,1073741312.0,536870656.0,8.0,0.0
small,resident/calico/local/k1/h0/u64/get16,1,5,"[1664.1658090950202,1664.4194239977157,1664.5621501226758,1664.7885371256973,1664.229364682349]",1664.4194239977157,"[1664.1266942995487,1664.4340741797973,1664.5231782557814,1664.7495890805671,1664.1906429399453]",1664.4340741797973,"[6.500647691777422,6.501638374991077,6.502195898916702,6.503080223147255,6.500895955790425]",6.501638374991077,16.0,32768.0,4096.0,65536.0,8.0,0.0
small,resident/calico/local/k2/h0/u64/get16,1,5,"[1883.1454258930044,1885.872339852386,1883.9511745056973,1880.461303270296,1880.2976536824524]",1883.1454258930044,"[1883.1443079569533,1885.851516620424,1883.9238995743578,1880.4174748128598,1880.338114864714]",1883.1443079569533,"[7.356036819894548,7.3666888275483835,7.35918427541288,7.345551965899594,7.344912709697079]",7.356036819894548,16.0,16384.0,4096.0,65536.0,8.0,0.0
small,resident/calico/local/k3/h0/u64/get16,1,5,"[2234.2414222336033,2234.298330726792,2234.0713989339324,2233.9076473780233,2234.682502952363]",2234.2414222336033,"[2234.189939676498,2234.2468162523564,2234.0195014523333,2233.940314704522,2234.7964156904454]",2234.189939676498,"[8.727505555600013,8.72772785440153,8.726841402085672,8.726201747570405,8.729228527157668]",8.727505555600013,16.0,10752.0,4032.0,65536.0,8.0,0.0
small,resident/calico/local/k4/h0/u64/get16,1,5,"[2624.0861681402334,2624.341619211755,2624.473306608709,2624.796549527928,2624.3684437284874]",2624.3684437284874,"[2624.052862281504,2624.2812078522725,2624.593604825508,2624.7918664768385,2624.305334930882]",2624.305334930882,"[10.250336594297787,10.251334450045919,10.251848853940272,10.25311152159347,10.251439233314404]",10.251439233314404,16.0,8192.0,4096.0,65536.0,8.0,0.0
small,resident/calico/local/k5/h0/u64/get16,1,5,"[2959.599885856743,2964.498361833914,2965.1574753218492,2963.0383436555067,2963.7007123379826]",2963.7007123379826,"[2959.5304487517897,2964.4298125090713,2965.3969857746233,2962.969139063344,2963.632015049663]",2963.632015049663,"[11.560937054127903,11.580071725913726,11.582646387975974,11.574368529904321,11.576955907570246]",11.576955907570246,16.0,6400.0,4000.0,65536.0,8.0,0.0
small,resident/calico/local/k56/h0/u64/get16,1,5,"[4200.651512434186,4184.876434719914,4184.767246533073,4176.251404830403,4181.072453371496]",4184.767246533073,"[4200.594811095838,4184.813755379266,4184.670373027097,4176.1947034912055,4181.211202773495]",4184.670373027097,"[16.408794970446035,16.347173573124664,16.346747056769814,16.31348205011876,16.332314270982405]",16.346747056769814,16.0,512.0,3584.0,65536.0,8.0,0.0
small,resident/calico/local/k6/h0/u64/get16,1,5,"[2830.3007402900935,2832.522381097247,2817.41058716157,2816.530473582781,2817.025413244025]",2817.41058716157,"[2830.235108001181,2832.758503194479,2817.4036913098053,2816.4925666770378,2817.0306459796184]",2817.4036913098053,"[11.05586226675818,11.064540551161121,11.005510106099884,11.00207216243274,11.004005520484473]",11.005510106099884,16.0,5376.0,4032.0,65536.0,8.0,0.0
small,resident/calico/local/k7/h0/u64/get16,1,5,"[2858.4360486396054,2859.811948432329,2860.0252348610234,2859.664728130379,2860.740839399754]",2859.811948432329,"[2858.3700231813104,2859.869047135102,2860.0538858839695,2859.694009517198,2860.674000569848]",2859.869047135102,"[11.165765814998457,11.171140423563784,11.171973573675874,11.170565344259293,11.174768903905289]",11.171140423563784,16.0,4608.0,4032.0,65536.0,8.0,0.0
small,resident/calico/striped/k1/h0/u64/get16,1,5,"[1917.1295063554658,1916.9046816787168,1918.5022874205497,1918.449621959228,1918.7470825115097]",1918.449621959228,"[1917.217455620961,1917.9671542841563,1918.4592647376464,1918.4447594779651,1918.7231673240399]",1918.4447594779651,"[7.488787134201038,7.487908912807488,7.494149560236522,7.493943835778234,7.495105791060585]",7.493943835778234,16.0,32768.0,4096.0,65536.0,8.0,0.0
small,resident/calico/striped/k10/h0/u64/get16,1,5,"[2314.3497536945633,2311.650411610992,2310.282391642166,2310.271431877535,2310.570585512634]",2310.570585512634,"[2314.316196647861,2311.5970013551796,2310.2290475092063,2310.217542236414,2310.7402387005586]",2310.7402387005586,"[9.040428725369388,9.029884420355437,9.02454059235221,9.024497780771622,9.025666349658726]",9.025666349658726,16.0,3072.0,3840.0,65536.0,8.0,0.0
small,resident/calico/striped/k12/h0/u64/get16,1,5,"[2311.9528410967127,2311.986339610164,2311.2800627684187,2311.127601585673,2310.720284109666]",2311.2800627684187,"[2311.9354641557006,2311.9520151968827,2311.24438387888,2311.0738189622716,2310.6666831848584]",2311.24438387888,"[9.031065785534034,9.031196639102205,9.028437745189134,9.027842193694035,9.02625110980338]",9.028437745189134,16.0,2560.0,3840.0,65536.0,8.0,0.0
small,resident/calico/striped/k14/h0/u64/get16,1,5,"[2858.5243661883974,2845.4795373850397,2837.199103008703,2838.5926994871893,2831.546292643513]",2838.5926994871893,"[2858.48964930063,2845.514461909266,2837.189614002512,2838.5268370672507,2831.480243350437]",2838.5268370672507,"[11.166110805423425,11.11515444291031,11.082808996127746,11.088252732371833,11.060727705638724]",11.088252732371833,16.0,2304.0,4032.0,65536.0,8.0,0.0
small,resident/calico/striped/k15/h0/u64/get16,1,5,"[2941.3753510937854,2910.2171461401845,2905.0900076602625,2901.60709422074,2900.504489743853]",2905.0900076602625,"[2941.516554600055,2910.2229551444016,2905.022938122323,2901.5404289723338,2900.487998979207]",2905.022938122323,"[11.489747465210101,11.368035727110096,11.348007842422899,11.334402711799765,11.330095663061927]",11.348007842422899,16.0,2048.0,3840.0,65536.0,8.0,0.0
small,resident/calico/striped/k2/h0/u64/get16,1,5,"[1921.369787450103,1920.9486120449517,1921.3532390191567,1921.0798056999984,1921.3060910849895]",1921.3060910849895,"[1921.3895330489252,1920.9297034734816,1921.3259327355356,1921.0355530555398,1921.2612758484036]",1921.2612758484036,"[7.505350732226965,7.5037055158005925,7.50528608991858,7.504217991015618,7.505101918300739]",7.505101918300739,16.0,16384.0,4096.0,65536.0,8.0,0.0
small,resident/calico/striped/k20/h0/u64/get16,1,5,"[3017.9965088464896,3018.0637027778107,3018.040277568363,3016.579402193791,3015.861819279085]",3017.9965088464896,"[3017.9258884128244,3018.167941727546,3017.9952589278128,3016.509902376501,3015.8179643558824]",3017.9258884128244,"[11.7890488626816,11.789311338975823,11.789219834251417,11.783513289819496,11.780710231558928]",11.7890488626816,16.0,1536.0,3840.0,65536.0,8.0,0.0
small,resident/calico/striped/k3/h0/u64/get16,1,5,"[2240.285600319123,2231.769362451784,2228.4397021672617,2226.002476399399,2230.6719186278356]",2230.6719186278356,"[2240.2317843368864,2231.717790187147,2228.4166334259703,2225.9747041619644,2230.6205956659996]",2230.6205956659996,"[8.751115626246575,8.717849072077282,8.704842586590866,8.695322173435152,8.713562182139981]",8.713562182139981,16.0,10752.0,4032.0,65536.0,8.0,0.0
small,resident/calico/striped/k4/h0/u64/get16,1,5,"[1921.460750150906,1921.1341436646242,1921.288673654214,1921.4089337650219,1921.571242385973]",1921.4089337650219,"[1921.4662925966516,1921.08977665525,1921.243826483099,1921.3648411340564,1921.6554628764627]",1921.3648411340564,"[7.505706055276977,7.504430248689939,7.505033881461774,7.505503647519617,7.506137665570206]",7.505503647519617,16.0,8192.0,4096.0,65536.0,8.0,0.0
small,resident/calico/striped/k5/h0/u64/get16,1,5,"[1927.1468799153588,1914.227502401087,1910.8983171170084,1909.6587881571784,1908.7079244442605]",1910.8983171170084,"[1927.1318745560498,1914.214849458967,1910.853913503162,1909.6132848933648,1908.807380186675]",1910.853913503162,"[7.52791749966937,7.477451181254245,7.464446551238314,7.459604641238978,7.455890329860393]",7.464446551238314,16.0,6400.0,4000.0,65536.0,8.0,0.0
small,resident/calico/striped/k6/h0/u64/get16,1,5,"[2037.3026196220644,2009.8242095698063,2000.014226177447,1998.770438379435,1993.356046125422]",2000.014226177447,"[2037.2550841348109,2009.7776768092426,1999.967364396722,1998.7565255536804,1993.5012220722942]",1999.967364396722,"[7.958213357898689,7.850875818632056,7.812555571005652,7.807697024919668,7.7865470551774285]",7.812555571005652,16.0,5376.0,4032.0,65536.0,8.0,0.0
small,resident/calico/striped/k7/h0/u64/get16,1,5,"[2092.131738447255,2062.9750505082557,2050.818170156815,2044.3903889940523,2041.2536798896213]",2050.818170156815,"[2092.1065003361387,2062.9446813973304,2050.770131161107,2044.3429432708815,2041.435525767133]",2050.770131161107,"[8.172389603309588,8.058496291047874,8.011008477175059,7.985899957008017,7.973647187068833]",8.011008477175059,16.0,4608.0,4032.0,65536.0,8.0,0.0
small,resident/predecessor/local/k1/h0/u64/get16,1,5,"[1039.3581235869256,1060.4293500232081,1166.6481051701678,1100.2413643373716,1098.294428556456]",1098.294428556456,"[1039.3340320721402,1060.4045098597098,1166.6207570332394,1101.7442541211258,1098.2835506907713]",1098.2835506907713,"[4.059992670261428,4.142302148528157,4.557219160820968,4.297817829442858,4.2902126115486565]",4.2902126115486565,16.0,32768.0,4096.0,65536.0,8.0,0.0
small,resident/predecessor/local/k2/h0/u64/get16,1,5,"[1158.997132557074,1154.4051299051043,1154.5744747855626,1155.5063357228676,1155.774797994444]",1155.5063357228676,"[1158.9700824598438,1154.3782952801132,1154.6063730164042,1156.0728131605167,1155.7477561846954]",1155.7477561846954,"[4.527332549051071,4.509395038691813,4.510056542131104,4.513696623917451,4.514745304665797]",4.513696623917451,16.0,16384.0,4096.0,65536.0,8.0,0.0
small,resident/predecessor/local/k3/h0/u64/get16,1,5,"[2190.090241802978,2190.3417638312935,2191.461178495993,2190.1278347288685,2190.053838328518]",2190.1278347288685,"[2190.0389701857416,2190.510478128496,2191.4918225220476,2190.077157836514,2190.0375303235714]",2190.077157836514,"[8.555040007042882,8.55602251496599,8.560395228499972,8.555186854409643,8.554897805970773]",8.555186854409643,16.0,10752.0,4032.0,65536.0,8.0,0.0
