case,scope,changed_callback,before,after,ratio,before_min,before_max,after_min,after_max,before0,after1,after2,before3,edge_directions_agree,separated_gain,separated_loss
resident/predecessor/local/k1/h0/u64/get16,resident,False,6.2389890374750205,6.262041037551851,1.0036948293927697,6.208219513820148,6.2758624672998184,6.212823409333436,6.277222568266702,6.218012651812229,6.264498480134718,6.2554728290902855,6.275569972465499,False,False,False
resident/predecessor/striped/k1/h0/u64/get16,resident,False,6.237984451955862,6.240464307364968,1.000397541133391,6.215701529270579,6.243426282081935,6.220368515833019,6.258102230973001,6.238673428916462,6.239378833444277,6.245008408577337,6.229441835363759,True,False,False
resident/series/avx2/local/k1/h0/u64/get16,resident,False,3.6604002114527696,3.663753175051353,1.000916010109521,3.64261057622143,3.6721790709674886,3.6609651278377533,3.6687412396277175,3.653398078278477,3.662089070621749,3.6684748367066606,3.667402344627062,True,False,False
resident/series/avx2/local/k1/h0/u64/admitted-region/get16,resident,False,2.1541028167228067,2.146030211634878,0.9962524513568902,2.1501502585234005,2.1582890225905804,2.1434132866792264,2.147997738103826,2.1541538320430993,2.1458029060044166,2.14771828097531,2.1529692462140084,True,True,False
resident/series/avx2/local/k1/h0/u64/raw-dense/get16,resident,False,1.9461760913523198,2.0168663798484125,1.036322657959986,1.9373286642922474,1.9487707995852352,2.0135038258982005,2.0203220938593165,1.9486072974520559,2.0182560942657783,2.0151951344128283,1.946096199641313,True,False,True
resident/series/avx512/local/k1/h0/u64/get16,resident,False,7.270480112412683,7.270691041930872,1.0000290117729405,7.237091340843824,7.282986475405322,7.251385798175401,7.3170579610733615,7.246259077479572,7.253270594543954,7.2933564237896205,7.282204086506598,True,False,False
resident/series/avx512/local/k1/h0/u64/admitted-region/get16,resident,True,6.499593660886895,1.9585527510711955,0.30133464540365484,6.4685903410660135,6.5380068750000095,1.9546227805132792,1.971523034546091,6.482470959334442,1.9600941156159797,1.9570113865264114,6.524293437500003,True,True,False
resident/series/avx512/local/k1/h0/u64/raw-dense/get16,resident,True,6.232574594561349,1.9067460550234543,0.3059323279800475,6.206861057289481,6.263399700556055,1.8979412683748078,1.913621758209573,6.240322488125422,1.9083277111699175,1.905164398876991,6.222022044121573,True,True,False
resident/series/avx2/striped/k1/h0/u64/get16,resident,False,3.648699746631011,3.66505467200742,1.0044823982547508,3.6457731735489416,3.6592748513127753,3.6516156355457077,3.681588648421393,3.6483834697235906,3.6665851001922154,3.663524243822624,3.655252157422409,True,False,False
resident/series/avx2/striped/k1/h0/u64/admitted-region/get16,resident,False,1.9936822186963217,2.006363832133114,1.0063609001062792,1.9886216029461978,1.9976380559596583,2.0037677221136336,2.0104946800145385,1.996766064015634,2.0061661929927026,2.0065614712735256,1.9892921192008535,True,False,True
resident/series/avx2/striped/k1/h0/u64/raw-dense/get16,resident,False,2.159259021964821,2.15955576429167,1.0001374278508648,2.1529970680955284,2.1625225468387175,2.1530246631228187,2.174667846749596,2.1569542033672002,2.157815342196268,2.1612961863870725,2.1623139987735893,False,False,False
resident/series/avx512/striped/k1/h0/u64/get16,resident,False,7.276321067819433,7.2632653000879674,0.998205718575393,7.25463504489181,7.343392571099386,7.256374641011704,7.283430438048904,7.271014980202992,7.265483416265942,7.257862917757021,7.296993206216282,True,False,False
