case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
runtime/authored/avx2/striped/k12/h0/u32/dense/mixed/out0,6.055795041481729,4.604324231526988,0.7603170516815252,5.677651026653918,6.44995948843239,4.401911992241978,4.895330633278633,True,False,True,"[6.4215322098125265, 4.403423196780135, 5.703639919765888, 4.8584718962662645]"
runtime/authored/avx2/striped/k12/h0/u32/dense/mixed/out32,6.077595806546322,4.592076817046056,0.7555745665251088,5.90954139660905,6.460862719197545,4.412512239731313,5.096022346680566,True,False,True,"[6.380994728252557, 4.422619213714603, 5.915476551664359, 4.977300721941022]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o16-n16/out0,2.920738083889401,2.39062808431388,0.8185013567291183,2.7626819757319807,3.172405349085563,2.383382971733337,2.398194703478242,True,False,True,"[3.126459507392237, 2.391784246149116, 2.765678280884647, 2.389471922478644]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o16-n16/out32,2.920129020809449,2.397245735965435,0.8209382937815971,2.760577785487037,3.231764808957372,2.396160134376967,2.4009463314522135,True,False,True,"[3.191899207578873, 2.3974064951412455, 2.772260640717016, 2.396737685309725]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n16/out0,7.792399113051152,2.4031132102478066,0.30839195674961467,7.0532167698099455,8.207149183844608,2.358714780802272,2.5832888238363534,True,False,True,"[8.129549093903439, 2.36013684768586, 7.500820833690855, 2.5010063669486082]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n16/out32,7.9124875356920334,2.4525773832501097,0.3099628747832972,7.556045299566779,8.09895982761917,2.3648927634617287,2.6632422851593387,True,False,True,"[8.016954727621577, 2.3681659088203055, 7.756559451994301, 2.5610693524716024]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n17/out0,8.223647771619172,7.2478977791921055,0.881348275178504,7.780739509929561,8.753927384093075,6.950281158695378,7.772280520752448,True,False,True,"[8.652252099180423, 6.951418331321982, 7.907032866936876, 7.761444524124304]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n17/out32,8.343742758876441,7.183715644026393,0.8609704123948501,7.683647820800588,9.03131207053897,6.953865691856269,7.799793909874231,False,False,True,"[8.976608843206426, 6.957041364663829, 7.740165507797904, 7.499160623889343]"
runtime/authored/avx2/striped/k12/h0/u64/dense/mixed/out0,6.240435248826659,4.742233956288224,0.7599203849090287,6.056651904709001,6.633983049135256,4.546833112531177,5.042353498115913,True,False,True,"[6.510130079955934, 4.549353071314763, 6.057818486922493, 4.958065889286473]"
runtime/authored/avx2/striped/k12/h0/u64/dense/mixed/out32,6.621153481495712,4.779021574286952,0.7217808177446713,6.095949447177937,6.995965864885839,4.554333547862889,5.107665183285582,True,False,True,"[6.9784883947095535, 4.560615575713033, 6.2799848834030465, 5.040780212890315]"
runtime/authored/avx2/striped/k12/h0/u64/dense/o16-n16/out0,3.531098783217625,2.763005679268921,0.7824775937735736,3.315548817285999,3.826097307482535,2.7476471899038057,2.7758327092659276,True,False,True,"[3.776875221209413, 2.7622267438328505, 3.327376513172607, 2.7637846147049916]"
