case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
runtime/series/avx2/striped/k12/h0/u32/dense/mixed/out0,5.746618449343096,6.165184288770045,1.072836894099833,5.72629047095453,5.8534773016421235,5.8150626181578815,6.411861984943428,False,False,True,"[5.766121085962361, 5.824902989063225, 5.733393300383214, 6.401681010379694]"
runtime/series/avx2/striped/k12/h0/u32/dense/mixed/out32,5.741789637439848,5.929834458341604,1.032750210783689,5.707728730946891,5.86865907498323,5.793273118885246,6.284168957698848,False,False,True,"[5.761406117785489, 5.8382764283147, 5.7138776483422955, 6.01519520557844]"
runtime/series/avx2/striped/k12/h0/u32/dense/o16-n16/out0,2.872032376342662,2.9945970693834383,1.042675247692317,2.8377709560706976,3.0034193028517766,2.782283958481035,3.1653112775475427,False,False,False,"[2.8438307512338206, 2.8244773434730592, 2.9002340014515027, 3.152233910831171]"
runtime/series/avx2/striped/k12/h0/u32/dense/o16-n16/out32,2.802143325912625,3.0474964400448927,1.0875590880250063,2.769706407523155,2.9859313502070193,2.852467222557462,3.1752364263663346,False,False,True,"[2.8238572167155116, 2.9516299863313047, 2.7804294351097387, 3.1084053042343367]"
runtime/series/avx2/striped/k12/h0/u32/dense/o17-n16/out0,7.156739095586323,7.676560811611051,1.0726338782344755,7.0651369370250325,7.308252724150996,7.126919079859589,8.14977458325445,False,False,False,"[7.229369691551189, 7.180872889889065, 7.084108499621456, 8.083667064975643]"
runtime/series/avx2/striped/k12/h0/u32/dense/o17-n16/out32,7.083592574855034,7.359205597380801,1.0389086497583335,7.057980598467979,7.128091667825662,7.040290076894697,8.02172838583202,False,False,False,"[7.092170537037839, 7.083478279141903, 7.064505948305381, 7.824148520189927]"
runtime/series/avx2/striped/k12/h0/u32/dense/o17-n17/out0,7.679610262908148,8.474800622391376,1.1035456660247367,7.637084208683479,7.9216330021591865,8.38984946044057,8.653026906730608,False,True,True,"[7.899782803746489, 8.452038280015298, 7.662026861404828, 8.591716604084125]"
runtime/series/avx2/striped/k12/h0/u32/dense/o17-n17/out32,7.670635204661066,8.573700360254701,1.1177301659509093,7.63946750473,8.075253101591741,8.245025294552772,8.750050357954256,False,True,True,"[8.049859001931162, 8.619916480664186, 7.652448860716628, 8.301704410366183]"
runtime/series/avx2/striped/k12/h0/u64/dense/mixed/out0,6.048599285605175,6.421132499115601,1.0615899972737495,6.002008854607757,6.21540021767662,6.080226460842255,6.8619289770426946,False,False,True,"[6.071232484194197, 6.100673358795357, 6.027719978783896, 6.754028349967626]"
runtime/series/avx2/striped/k12/h0/u64/dense/mixed/out32,6.054876689720828,6.332377453627483,1.0458309521608853,6.020250728077385,6.086490040286444,6.015091027730546,6.757838420802862,False,False,True,"[6.0755374445128245, 6.184276088907745, 6.03311390685197, 6.494875472268042]"
runtime/series/avx2/striped/k12/h0/u64/dense/o16-n16/out0,3.399891768015366,3.641598975575972,1.0710926182516978,3.3201986412421145,3.4211850159272137,3.378703079780298,3.8071959659927974,False,False,True,"[3.4073845714996565, 3.5238338093078716, 3.32753358508047, 3.7497266912985516]"
runtime/series/avx2/striped/k12/h0/u64/dense/o16-n16/out32,3.358923086081472,3.5872447318517917,1.0679746573288404,3.317700923815497,3.447176430861749,3.426708605553286,3.756712554182053,False,False,True,"[3.3412947407401785, 3.4393086144855074, 3.3742300328156705, 3.7322998130862564]"
runtime/series/avx2/striped/k12/h0/u64/dense/o17-n16/out0,7.31606688985776,7.778460315643484,1.063202460112378,7.281608401871962,7.538002174775399,7.451661971751152,8.182995908577878,False,False,False,"[7.514510375229075, 7.497324039856728, 7.315144105028258, 8.157395323865055]"
runtime/series/avx2/striped/k12/h0/u64/dense/o17-n16/out32,7.379943498883916,7.896649144884655,1.0700148512083976,7.262457972935281,7.698093566414571,7.632179589940256,8.114432827001332,False,False,True,"[7.451274690073091, 7.821060516519161, 7.338645368303574, 8.100833943371866]"
