case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
runtime/authored/avx2/striped/k12/h0/u32/dense/mixed/out0,6.165184288770045,4.867330244594215,0.7894865776291738,5.8150626181578815,6.411861984943428,4.499590068948168,5.040826111352706,True,False,True,"[5.824902989063225, 5.014649848343006, 6.401681010379694, 4.634450699428006]"
runtime/authored/avx2/striped/k12/h0/u32/dense/mixed/out32,5.929834458341604,4.916222914152166,0.8290657941110695,5.793273118885246,6.284168957698848,4.638984604591473,4.94993237703366,True,False,True,"[5.8382764283147, 4.918151121353052, 6.01519520557844, 4.91429470695128]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o16-n16/out0,2.9945970693834383,2.7237012131072262,0.9095384621036889,2.782283958481035,3.1653112775475427,2.507647364921227,2.7659818555795788,True,False,True,"[2.8244773434730592, 2.5543933800384027, 3.152233910831171, 2.7387483335612224]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o16-n16/out32,3.0474964400448927,2.610259351812046,0.8565258083693099,2.852467222557462,3.1752364263663346,2.5140423559105156,2.7163501131623833,True,False,True,"[2.9516299863313047, 2.5828161448879037, 3.1084053042343367, 2.7106824896514685]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n16/out0,7.676560811611051,2.5587596462954156,0.33332109379309643,7.126919079859589,8.14977458325445,2.4233688750763807,2.8827468258177955,True,False,True,"[7.180872889889065, 2.427837610754661, 8.083667064975643, 2.6733990047179135]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n16/out32,7.359205597380801,2.4999442548141557,0.3397030048601857,7.040290076894697,8.02172838583202,2.410476672802836,2.7098913638598408,True,False,True,"[7.083478279141903, 2.4652303892670737, 7.824148520189927, 2.5373504123089297]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n17/out0,8.474800622391376,7.2572723863385376,0.8563354714403556,8.38984946044057,8.653026906730608,7.064542806711434,7.431592895178766,True,False,True,"[8.452038280015298, 7.147262295906195, 8.591716604084125, 7.354401431791098]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n17/out32,8.573700360254701,7.272198157726248,0.8481983101996593,8.245025294552772,8.750050357954256,7.046874665231178,7.535283971463064,True,False,True,"[8.619916480664186, 7.24234433919315, 8.301704410366183, 7.498279691483632]"
runtime/authored/avx2/striped/k12/h0/u64/dense/mixed/out0,6.421132499115601,5.020405083706587,0.7818566404599282,6.080226460842255,6.8619289770426946,4.767310641297706,5.222258973207307,True,False,True,"[6.100673358795357, 5.158031215825646, 6.754028349967626, 4.781325061229979]"
runtime/authored/avx2/striped/k12/h0/u64/dense/mixed/out32,6.332377453627483,4.852326314905457,0.7662724388177171,6.015091027730546,6.757838420802862,4.778238006777558,5.076170946984289,True,False,True,"[6.184276088907745, 4.864002898193016, 6.494875472268042, 4.830488032711886]"
