case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
bulk/calico/local/k6/h0/u8/decode,0.00459746870696359,0.005536422209302723,1.2042327119958294,0.004545618716140634,0.004739706631077643,0.005352615174423366,0.005652670449759787,False,True,True,"[0.004604929737366284, 0.005628098622762583, 0.004590007676560895, 0.0055240876933171385]"
bulk/calico/local/k6/h0/u8/encode,0.007785280603226596,0.00792188769327758,1.0175468421773222,0.007529175381079578,0.008080155469647477,0.007727537699181433,0.00798021616198978,False,False,True,"[0.007675779870357029, 0.007938866831620728, 0.007799134623559571, 0.007904908554934434]"
bulk/predecessor/local/k6/h0/u8/decode,0.004546722895147461,0.00467137836421651,1.0274165529643535,0.004377740044725223,0.0046347015812856105,0.0045541610131921385,0.004762894037929733,False,False,True,"[0.004580318224905737, 0.004667128081988604, 0.004397039912120082, 0.0046756286464444165]"
bulk/predecessor/local/k6/h0/u8/encode,0.007908649393079031,0.007927235140307673,1.0023500532524436,0.007509967853575691,0.008045380905584027,0.0076338592635469705,0.008222879479430914,False,False,False,"[0.007772076546281426, 0.008069770586196637, 0.007989569998174536, 0.007816313465879542]"
bulk/series/avx2/local/k23/h16/u32/decode,0.08838524237466983,0.08463702912922341,0.9575923180754822,0.08332320213728098,0.08894575627850856,0.08306031885212477,0.08666308466735474,False,False,True,"[0.08838769231512196, 0.0840216601780152, 0.08768627202668713, 0.08637824036826104]"
bulk/series/avx2/local/k23/h16/u32/encode,0.11157853536973655,0.11393755712326312,1.0211422541594537,0.10623924129662032,0.11674330439936534,0.11225201157723197,0.11624383307122563,False,False,True,"[0.11203911608114829, 0.1144479886449949, 0.11031437785765076, 0.1130696455411515]"
bulk/series/avx2/local/k6/h0/u8/decode,0.011550319774971583,0.011808153060026878,1.0223226101163012,0.011172389441126132,0.011944812944763081,0.011457695399990487,0.011954999923837948,False,False,False,"[0.011887213772692572, 0.011805344795468761, 0.011351130939239644, 0.011947887508979118]"
bulk/series/avx2/local/k6/h0/u8/encode,0.030043853496050456,0.03013942878436608,1.0031811927297605,0.02911423683864459,0.030834894979296756,0.02910579549541089,0.030866430255075218,False,False,False,"[0.030312087541368986, 0.02937542666859411, 0.029916478561696012, 0.03054782570876633]"
bulk/series/avx2/local/k64/h0/u64/decode,0.08568916972963676,0.08516010819836217,0.9938258063073331,0.08397050939512188,0.08914952629988851,0.0803177992445085,0.0890015036561723,False,False,False,"[0.08518115627675402, 0.08201810694445053, 0.08587197999961955, 0.08841457381694712]"
bulk/series/avx2/local/k64/h0/u64/encode,0.0856757786022602,0.0835854535839174,0.9756019139546209,0.08146314859785123,0.08865495662426948,0.08220264193693055,0.08636726112290871,False,False,False,"[0.08405478785000121, 0.08434527222927728, 0.0880291894680427, 0.08282563493855753]"
