case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
runtime/authored/avx2/local/k23/h16/u32/headgapped/mixed,9.78441028672071,12.790453484817885,1.3072278359153582,9.2835417465774,10.120374396226989,12.701218185903342,12.876219022487389,False,True,True,"[9.373791197037644, 12.791781892617859, 10.053224347241596, 12.767952197586814]"
runtime/authored/avx2/local/k23/h16/u32/headgapped/o1-n16,14.620635377131137,18.868851446561088,1.2905630268349895,13.595899074033282,14.860092416071268,18.033786403436547,19.273040784886902,False,True,True,"[14.2080975292874, 18.25021615612649, 14.801779191856756, 18.87401318136418]"
runtime/authored/avx2/local/k23/h16/u32/headgapped/o1-n17,15.036286411698763,20.530085039381724,1.3653693789317947,14.95343479735943,15.569560765054206,19.858985981270845,21.089890765044757,False,True,True,"[14.96329691956489, 19.987893737149864, 15.332281453758819, 21.0122084066902]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/mixed,10.40932069765078,12.166163388608796,1.1687759213100724,10.259940462897925,10.539473238212192,12.050857922561393,13.128502554657773,False,True,True,"[10.304097811523032, 12.067169214317518, 10.511955314689727, 12.311670330323263]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/o1-n16,14.108391724306204,18.962920436042957,1.3440880297768654,13.600035885482539,14.325133994416294,18.110433384062027,19.652891015579527,False,True,True,"[13.976281706165627, 18.40175402946874, 14.274977612726524, 19.6415024415766]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/o1-n17,15.10347845294533,20.92842233611256,1.3856690299069025,14.822649340186262,15.285623370920234,20.601279167976212,21.64685418741432,False,True,True,"[15.09007961242065, 20.92295234915152, 15.11687729347001, 20.933892323073604]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/mixed,10.397828449844846,12.71022756577138,1.2223925050389766,10.063290044026829,10.584548667865352,11.839487625523796,12.926549974457709,False,True,True,"[10.286547928392055, 12.408435239088385, 10.501563521575687, 12.82237553049354]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/o1-n16,15.184191229861076,19.51137864416021,1.2849797759257227,14.632202052361169,15.726209568530908,18.49849124669832,19.61138820714871,False,True,True,"[14.636464254481798, 18.98232221380111, 15.703821486437816, 19.568378947215116]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/o1-n17,16.35942765219231,21.399502725597497,1.3080838266814165,15.554985941438824,16.594200198311153,20.65759199652555,21.72489842800729,False,True,True,"[15.68686903117121, 21.705923450789793, 16.547649453045043, 21.21199638345895]"
runtime/authored/avx2/local/k23/h16/u64/independentlygapped/mixed,10.842497169207274,12.41687649302383,1.1452044947992053,10.357722365551195,11.03896184315672,12.090948373133209,13.163675913958595,False,True,True,"[10.576042039683605, 12.427292713567866, 10.956385517238648, 12.364989793615619]"
