case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
bulk/calico/local/k6/h0/u8/decode,0.005650483873965493,0.006188070388231758,1.0951399077065214,0.005570431948141003,0.005722114098965712,0.005354988024806486,0.007040337236641951,False,False,False,"[0.005635358245753314, 0.005556781715377775, 0.005665609502177673, 0.006871402964349315]"
bulk/calico/local/k6/h0/u8/encode,0.007914897973636592,0.007746122648960651,0.9786762475981234,0.00751306815294473,0.008058153900236216,0.007578705391508333,0.008002526020796536,False,False,False,"[0.00795484697699108, 0.007985335161496136, 0.007721100735888473, 0.007699586269503058]"
bulk/predecessor/local/k6/h0/u8/decode,0.004529859508481391,0.004608183531024879,1.0172906074452948,0.004357449260173251,0.004873415773060774,0.004262667901564764,0.004880961668393961,False,False,False,"[0.0045436583872594275, 0.004874068695272047, 0.004512531790517254, 0.004299465659951156]"
bulk/predecessor/local/k6/h0/u8/encode,0.0075745484114261435,0.007832684921266108,1.0340794587107751,0.007270710829878116,0.007937756664958372,0.007583706251664882,0.008038145676863605,False,False,True,"[0.007681935278078611, 0.008016856283585764, 0.007369558275823959, 0.007674652542716708]"
bulk/series/avx2/local/k23/h16/u32/decode,0.08664544791206596,0.08493486563665262,0.9802576786590177,0.08095423270305228,0.08842769870033432,0.08223206441683181,0.08694869552342113,False,False,True,"[0.08599468408354301, 0.08408296076944702, 0.08683240109135965, 0.08578677050385823]"
bulk/series/avx2/local/k23/h16/u32/encode,0.11519016299040444,0.11118177104920701,0.9652019596366807,0.11309632939877716,0.11644687037950596,0.11082418725601217,0.11310373345298684,False,False,True,"[0.11534995597793556, 0.11131915984719262, 0.11509980309527863, 0.11104438225122142]"
bulk/series/avx2/local/k6/h0/u8/decode,0.01160469007894149,0.01181833153139716,1.0184099231433468,0.011461363823736212,0.011765898216802972,0.011044079135807527,0.01209088574559427,False,False,False,"[0.011754869123140357, 0.012055382711942148, 0.01157146791501057, 0.011290197477530668]"
bulk/series/avx2/local/k6/h0/u8/encode,0.028607728518214078,0.030395315379689637,1.0624861516124018,0.028339562342702247,0.030691413619424575,0.029117179946515026,0.031531404640345644,False,False,True,"[0.028557105909258515, 0.031298935377769656, 0.02865835112716964, 0.029495847410010878]"
bulk/series/avx2/local/k64/h0/u64/decode,0.08513595359362011,0.08496686932855621,0.9980139499479739,0.08128648008471281,0.08704036498871434,0.08221332755854999,0.08929368402795972,False,False,False,"[0.08533465609109067, 0.08552059834125515, 0.08369109672797945, 0.08344061448822417]"
bulk/series/avx2/local/k64/h0/u64/encode,0.0833163539675083,0.08499848437859192,1.0201896786282751,0.0805986151982314,0.08446862441255289,0.08351542882016197,0.08845630133443202,False,False,False,"[0.08295372889462373, 0.08687433198074539, 0.0836789790403929, 0.08352514482646148]"
bulk/series/avx512/local/k23/h16/u32/decode,0.08656258924657399,0.08831567688414868,1.0202522550773176,0.0840135680213014,0.0880748703264148,0.08608631704187204,0.09078719336679535,False,False,True,"[0.0867120628350336, 0.08846358482034611, 0.08641311565811438, 0.08816776894795125]"
bulk/series/avx512/local/k23/h16/u32/encode,0.06715745673405067,0.06595056476530013,0.9820289208757571,0.06552379927417125,0.06847392135685126,0.06424213799518586,0.06943014381213161,False,False,False,"[0.06630189586469866, 0.0674845292934401, 0.06801301760340268, 0.06528615893614328]"
bulk/series/avx512/local/k6/h0/u8/decode,0.005734028740844849,0.006261390000407157,1.091970459758213,0.005708014118125029,0.005839803383043392,0.005928217501169544,0.00678336084078844,False,True,True,"[0.005708634162025552, 0.005988199862198033, 0.005751743583747258, 0.006593236290443525]"
bulk/series/avx512/local/k6/h0/u8/encode,0.00942618238030207,0.009327055724875587,0.9894839022387656,0.00933403516398221,0.009535766900567854,0.008957203957684894,0.009610999132548629,False,False,False,"[0.009358742935794537, 0.009555938813660278, 0.009469247876210535, 0.009026051253229094]"
bulk/series/avx512/local/k64/h0/u64/decode,0.06403962053484394,0.06494383802439982,1.0141196572060245,0.0628450147965516,0.06464035783659511,0.061273374396161144,0.06784422321573524,False,False,False,"[0.06389921178429192, 0.06716662871214236, 0.06416061341594498, 0.06210846988822424]"
bulk/series/avx512/local/k64/h0/u64/encode,0.06411393996488146,0.06604784318065213,1.0301635372405746,0.062861597198272,0.06519325242949957,0.06314139184355527,0.06841454793935965,False,False,False,"[0.06325713306230603, 0.06835125040284129, 0.06490311873657552, 0.06360168329175855]"
resident/calico/local/k1/h0/u64/get16,2.026070029769337,1.9720491785208112,0.9733371253437494,1.9026083922298493,2.039705365082654,1.895395173978126,2.0051313714333765,False,False,True,"[2.0345419253034933, 1.975505947364148, 2.0175981342351803, 1.941371166065848]"
resident/calico/local/k5/h0/u64/get16,2.040591339649148,1.9726316659068186,0.9666960883240766,1.913558323710914,2.0933668450634184,1.9427646053949839,2.0432228127683194,False,False,True,"[2.0752511871670274, 1.9904079892166666, 2.01771487587038, 1.9548553425969706]"
resident/calico/local/k56/h0/u64/get16,3.68207813122613,3.302647816692094,0.8969521283874315,3.4740388352100067,3.872026796904019,3.2169439446106542,3.4031620291646854,True,False,True,"[3.581001459594077, 3.2218087233335115, 3.8102463454152016, 3.3644083849182636]"
resident/calico/local/k6/h0/u64/get16,1.993024349113301,2.059007893608497,1.0331072445374547,1.974684682089134,2.0426215193401314,1.9494867419310842,2.141772052506139,False,False,False,"[2.011789373185075, 2.116540544757456, 1.983277386225853, 1.979206092914996]"
resident/calico/local/k7/h0/u64/get16,2.0762173595102853,2.1421930902323236,1.0317768900350588,2.0185944212400497,2.086284188358617,2.100219721986249,2.223315972923746,False,True,True,"[2.0800056963595894, 2.1971911766438947, 2.0724290226609816, 2.1109964088449558]"
resident/calico/striped/k1/h0/u64/get16,2.0088329404734138,1.9774917366007176,0.9843983024963191,1.9700943552593546,2.0400203335745672,1.9101821211267747,2.0740837578709903,False,False,False,"[1.9760915190635215, 2.005347876846904, 2.0164246782040918, 1.917667967927925]"
resident/calico/striped/k5/h0/u64/get16,10.579442367626099,10.3006026946893,0.9736432542238644,10.123471073733114,11.132232848036974,9.864910952753691,10.821787717395013,False,False,True,"[11.106973182391739, 10.477336367368281, 10.142892450510558, 9.880974857248178]"
resident/calico/striped/k56/h0/u64/get16,3.6778057098165995,3.470372765282685,0.9435987213842629,3.4957618586344994,3.7377231380495077,3.388225281241348,3.5521733875917865,False,False,True,"[3.602014763240768, 3.42423562048789, 3.6977440003188535, 3.489456458073263]"
resident/calico/striped/k6/h0/u64/get16,2.1325202867401014,2.245184531560364,1.0528314996676948,2.053263940253143,2.2360610043195064,2.1397221320381052,2.2954685106255557,False,False,True,"[2.134514455061888, 2.2742945811782214, 2.0855197546844457, 2.18290399222736]"
resident/calico/striped/k7/h0/u64/get16,11.274704062299989,11.015370587329764,0.9769986446174338,11.05975796041313,11.448454911035142,10.5197402318364,11.698927024876,False,False,False,"[11.330754625645548, 11.539622904525585, 11.218653498954428, 10.840117671204588]"
resident/predecessor/local/k1/h0/u64/get16,1.4107142145311935,1.4236483060849534,1.0091684704247899,1.3241828888831744,1.4439336284125166,1.326933770511781,1.5064567752213334,False,False,False,"[1.4389224567995587, 1.5016826284828821, 1.3480135218174887, 1.3312756397259922]"
resident/predecessor/local/k5/h0/u64/get16,1.7516624103047695,1.7617670753768273,1.0057686144388402,1.7149582013441882,1.7756424509848594,1.656747740798507,1.802246093750005,False,False,False,"[1.7197501253840077, 1.7972287016614825, 1.7713415022983656, 1.7349083649495993]"
