case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
bulk/calico/local/k6/h0/u8/decode,0.005094131206600518,0.005106234870556123,1.0023760016114078,0.005087309116470161,0.0051315124704106605,0.005081830644646998,0.005139324782101599,False,False,False,"[0.005093830959802983, 0.0050870624641859595, 0.005094431453398053, 0.005136090955646659]"
bulk/calico/local/k6/h0/u8/encode,0.007130685968402685,0.007182122136757702,1.0072133548697755,0.0070669890752230674,0.007197382944152996,0.007166017384569592,0.007197347341563638,False,False,False,"[0.007076103176785344, 0.007179889779132891, 0.007186085310392683, 0.00718425392521715]"
bulk/predecessor/local/k6/h0/u8/decode,0.004149731883418276,0.004278678230584473,1.0310734164974482,0.004140608392076868,0.004213209512310398,0.004218221581052751,0.004292188617462504,False,True,True,"[0.004149702022985914, 0.004245278036977038, 0.004149761743850637, 0.004283625795202814]"
bulk/predecessor/local/k6/h0/u8/encode,0.007108596567273981,0.007086524031828335,0.9968949517338962,0.007068974568815238,0.007148474611871765,0.00705160240953748,0.0070947070311146,False,False,True,"[0.007121293595799358, 0.007086483708563404, 0.007087523830314333, 0.0070865643550932665]"
bulk/series/avx2/local/k23/h16/u32/decode,0.07634305219507928,0.07825531494833052,1.0250482879354212,0.0761452855352146,0.07675478315270352,0.07780155229937012,0.07856574933110239,False,True,True,"[0.07670723219608792, 0.07840607333910943, 0.07618346985774242, 0.0780973534847228]"
bulk/series/avx2/local/k23/h16/u32/encode,0.10346240419916676,0.10355939561117018,1.000937455617373,0.10322070495480029,0.10427767633774461,0.10297659740210527,0.10412983688658277,False,False,False,"[0.10427337768576951, 0.10330641624510438, 0.10333022244312746, 0.10381237497723599]"
bulk/series/avx2/local/k6/h0/u8/decode,0.01054426543616182,0.010627349737066078,1.0078795722098683,0.010500287168597557,0.0107529374942664,0.010527093104518373,0.010741782293489242,False,False,False,"[0.01058722060562948, 0.010558657473017792, 0.010505534152237563, 0.010687803526486059]"
bulk/series/avx2/local/k6/h0/u8/encode,0.027102837783769755,0.029956232756879232,1.1052803029658467,0.026980040223718492,0.02715549001860387,0.02979192923489721,0.030148371597009213,False,True,True,"[0.02711589126356373, 0.030095047790801372, 0.02708978430397578, 0.02980442039556827]"
bulk/series/avx2/local/k64/h0/u64/decode,0.07832362186546685,0.08211793780919871,1.0484440817899,0.07778310174479126,0.07891683200915635,0.08151349173331705,0.08280746170173811,False,True,True,"[0.07887392656111093, 0.08263626748155627, 0.07789164726900565, 0.08171459371710973]"
bulk/series/avx2/local/k64/h0/u64/encode,0.0778694970620737,0.07797849357793958,1.0013997331429916,0.07684999872200751,0.0794529694344279,0.07677360854618565,0.07810487953976977,False,False,False,"[0.07934133114396814, 0.0780284598129592, 0.07700850100006608, 0.07722994949363536]"
bulk/series/avx512/local/k23/h16/u32/decode,0.07929462771224915,0.08036944528832991,1.0135547338715196,0.07903810578358061,0.08042949406562172,0.07927185802739749,0.0811054364842079,False,False,True,"[0.07966235884912591, 0.0810073566006064, 0.07904935001679078, 0.0796730286388676]"
bulk/series/avx512/local/k23/h16/u32/encode,0.06160706152999098,0.061675001012402836,1.0011027872572495,0.061120482194702674,0.06166668703233994,0.061210232458848636,0.062306636447205084,False,False,False,"[0.061203534095803126, 0.06192043008658027, 0.061641016857545285, 0.061473266929167346]"
bulk/series/avx512/local/k6/h0/u8/decode,0.005204504095910091,0.005190181313628238,0.9972480024959327,0.005191662148540392,0.005240272254688734,0.005154099416608288,0.005242176477624456,False,False,False,"[0.005224854692782734, 0.005174876074753757, 0.005200748900904894, 0.005224370426668364]"
bulk/series/avx512/local/k6/h0/u8/encode,0.00851953191259291,0.008431393597082629,0.9896545589106837,0.008469569735802417,0.008546208083072035,0.008395743376187061,0.008489099657639899,False,False,True,"[0.008534570824162794, 0.00847852697323253, 0.008482708416780107, 0.008400594670469509]"
bulk/series/avx512/local/k64/h0/u64/decode,0.058614726539082035,0.058720190476070945,1.0017992737186718,0.058511091507458014,0.05928329178303676,0.05837494511655769,0.05892063172666704,False,False,True,"[0.058513867263608965, 0.058548745465995186, 0.05871664646716185, 0.05889233848833895]"
bulk/series/avx512/local/k64/h0/u64/encode,0.06704824466150083,0.06006729615141448,0.8958817110674514,0.05964292917680439,0.07412933222570414,0.05985535936067801,0.06134337191006339,False,False,False,"[0.07399389459290608, 0.06020028301672478, 0.0597246341896866, 0.060019484944301524]"
resident/calico/local/k1/h0/u64/get16,1.8252714020607208,1.8416107841058338,1.008951754805705,1.8189937257137918,1.8294890928403167,1.8192677823829333,1.8716562311781264,False,False,False,"[1.8270922690995672, 1.820740448196261, 1.824209347628651, 1.8623512095010013]"
resident/calico/local/k5/h0/u64/get16,1.8797360599278117,1.8809214122621656,1.0006305950923766,1.8707606953615235,1.884495322551512,1.874420218635783,1.9117046973882055,False,False,False,"[1.8720114189650034, 1.9012452705439535, 1.880314492385928, 1.876265308167797]"
resident/calico/local/k56/h0/u64/get16,3.1480319808009005,3.132400900847298,0.9950346502040219,3.1099786682644837,3.180960051858313,3.1206385785503388,3.1673590120429975,False,False,False,"[3.1806066577007917, 3.124991671425795, 3.1104775890841343, 3.139424564451588]"
resident/calico/local/k6/h0/u64/get16,1.8730973300770652,1.8932795321763645,1.0107747749010292,1.8686345302684177,1.8758473622935705,1.8771611065306495,1.897944637512236,False,True,True,"[1.8726283944488566, 1.8945847183848408, 1.8735662657052736, 1.889377753797642]"
resident/calico/local/k7/h0/u64/get16,1.9269826495057178,1.9260671157177316,0.9995248873734172,1.9147344036576788,1.941219622687637,1.9118529312658634,1.9411854585352197,False,False,False,"[1.9166726750418095, 1.9210474453114732, 1.9367679892239131, 1.932292422696174]"
resident/calico/striped/k1/h0/u64/get16,1.8584072142485195,1.8095339138514157,0.9737015116910926,1.8528248996981769,1.867841356711097,1.8067590686355623,1.816780711475931,True,False,True,"[1.8600000725131782, 1.8109990332227368, 1.8547762993227381, 1.808843599108712]"
resident/calico/striped/k5/h0/u64/get16,9.760305618963017,10.208134968476102,1.045882717918485,9.679618366993692,9.889331117387087,10.122337224247225,10.405087587392586,False,True,True,"[9.68603809557851, 10.21287485434586, 9.823444856762855, 10.203395082606347]"
