case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
bulk/calico/local/k6/h0/u8/decode,0.005205844257138511,0.005658433998170089,1.0869387785489288,0.005050965850048193,0.005365577213374178,0.00506025496550163,0.006262621140534331,False,False,True,"[0.005361366837627528, 0.0062577700265788955, 0.005057288195235073, 0.005066407144104163]"
bulk/calico/local/k6/h0/u8/encode,0.00714108985465612,0.007109444605621536,0.9955685687088854,0.0071167105065226615,0.007169543779455454,0.007059259583287158,0.007165774971835129,False,False,False,"[0.007155313557619428, 0.007068997051751841, 0.007132044081316261, 0.00716137608620502]"
bulk/predecessor/local/k6/h0/u8/decode,0.00411933237666136,0.004119587107490242,1.000061837891578,0.0040858971086226705,0.004169730159298527,0.004100784027455465,0.00414622181776542,False,False,False,"[0.004145984128867067, 0.004101400629733509, 0.004095846028122647, 0.004145204215604506]"
bulk/predecessor/local/k6/h0/u8/encode,0.0070849317148561596,0.007069418013315313,0.997810324479442,0.007058352436856293,0.007091600684487948,0.007058572170116143,0.007090072618005686,False,False,True,"[0.007081653927354657, 0.00706324964447574, 0.007088209502357662, 0.007075586382154886]"
bulk/series/avx2/local/k23/h16/u32/decode,0.07829613830832742,0.07708469388032148,0.9845274051290331,0.07788225588130149,0.07869379332294904,0.07596726140492238,0.07820900127389366,False,False,True,"[0.07791817350131658, 0.07596849204364545, 0.0784556136447892, 0.07814961134033387]"
bulk/series/avx2/local/k23/h16/u32/encode,0.10281804605511688,0.10311236386984043,1.0028625112615521,0.1023109773516651,0.10319366002696913,0.10294580876105111,0.10347256650672498,False,False,False,"[0.10253886530612448, 0.10317861846222412, 0.10316079560566406, 0.10307100309452819]"
bulk/series/avx2/local/k6/h0/u8/decode,0.010515782959497622,0.010507475476007402,0.9992099985781168,0.01050026098889403,0.010533841007837311,0.010475646929844222,0.010519369747013339,False,False,False,"[0.01051173821427231, 0.010517315760671584, 0.010519827704722935, 0.01048448698420329]"
bulk/series/avx2/local/k6/h0/u8/encode,0.027085649168107934,0.027036365221817505,0.9981804406464638,0.026934742239262878,0.027292898504082647,0.027007560024881316,0.027156840240124228,False,False,False,"[0.026938479386864393, 0.027036688529408267, 0.02726003850895928, 0.027036041914226743]"
bulk/series/avx2/local/k64/h0/u64/decode,0.08121995841846323,0.0815989955086387,1.0046667973926136,0.08085768918911036,0.08195336956296587,0.08118754368943072,0.08223605823903782,False,False,False,"[0.08118134948202216, 0.08171518188498242, 0.08147470742122465, 0.08136788542344649]"
bulk/series/avx2/local/k64/h0/u64/encode,0.07701547770640746,0.07766330831706743,1.0084116937264167,0.07654175327812132,0.07757939588419828,0.077364951811318,0.07792987455386748,False,False,False,"[0.07659072831547432, 0.07788699533684766, 0.07750065133739284, 0.07744199046236831]"
bulk/series/avx512/local/k23/h16/u32/decode,0.08097143123959519,0.07991251742246057,0.9869223774246835,0.08039896259271434,0.08148801006621297,0.07914334094764272,0.08065927184802384,False,False,True,"[0.08051692905441399, 0.07920495261821, 0.08130689648626718, 0.08061405462782673]"
bulk/series/avx512/local/k23/h16/u32/encode,0.06137734077218199,0.06133542218346594,0.9993170347853348,0.061033572842055024,0.06178475350797125,0.06122187567143516,0.06159145552300955,False,False,False,"[0.06145777374101295, 0.06124471268304344, 0.061076559757746486, 0.06141856520167751]"
bulk/series/avx512/local/k6/h0/u8/decode,0.005191110144232262,0.00574293900648468,1.1063026687779962,0.005133370613052828,0.005237871282757982,0.0051976151960778086,0.006284552021596506,False,False,True,"[0.0052319253154087, 0.006278976509690948, 0.005152746405571183, 0.0052078274743845585]"
bulk/series/avx512/local/k6/h0/u8/encode,0.008442948525267864,0.008484796395467068,1.0049565468833503,0.008380135183602202,0.008506123234833927,0.008423040217056274,0.008551389075474114,False,False,True,"[0.008483007428310261, 0.008535876606508553, 0.008415505406596024, 0.008423100498395387]"
bulk/series/avx512/local/k64/h0/u64/decode,0.058439329955770995,0.05879915172555476,1.0061571850679345,0.05823919094587174,0.05848509443715688,0.058011420690249144,0.05936170154906808,False,False,False,"[0.05847213624694388, 0.05931017717456632, 0.05832014713091857, 0.05831454473658116]"
bulk/series/avx512/local/k64/h0/u64/encode,0.0598936425209326,0.05958714065018367,0.9948825641946587,0.059773362348256594,0.06025372933857424,0.059219609641703336,0.05996758811506408,False,False,False,"[0.0597951880848985, 0.059863863489507896, 0.06002267558621872, 0.05922880024453254]"
resident/calico/local/k1/h0/u64/get16,1.8589859988419228,1.8167552842871475,0.977282930274309,1.8144751005692603,1.901200984085409,1.8119776541295527,1.8283891901940899,False,False,True,"[1.824244449872878, 1.8198755584128223, 1.897756748562702, 1.8136350101614727]"
resident/calico/local/k5/h0/u64/get16,1.9140512025376681,1.874614118066248,0.9793960138479398,1.8609413469028628,1.9661285340904857,1.8518211237553297,1.8867389427520824,False,False,True,"[1.8660504870019317, 1.8559184743954706, 1.9622268619279448, 1.8851855718373345]"
resident/calico/local/k56/h0/u64/get16,3.5287349780597905,3.131222966015332,0.8873499952487157,3.173410077922734,3.8896398325104986,3.122563651435233,3.1377739117384547,True,False,True,"[3.1736710177770884, 3.1238661826816108, 3.888911015272397, 3.134442331424312]"
resident/calico/local/k6/h0/u64/get16,1.9092238613665895,1.8830146526012466,0.9862723228555383,1.8598395138534354,1.9585651399292208,1.8806018576544987,1.8898619012061675,False,False,False,"[1.8689856910413205, 1.8831851430151356, 1.9556405033143116, 1.8827008941434606]"
resident/calico/local/k7/h0/u64/get16,1.9598072387962309,1.9106451305620697,0.974914824651654,1.9182238608508113,1.998640697076657,1.9026016646797521,1.9125082118837358,True,False,True,"[1.9216210372628353, 1.903200634883751, 1.9985551775450627, 1.9122762102183808]"
resident/calico/striped/k1/h0/u64/get16,1.8773957026610482,1.846570797290738,0.983581029121022,1.8411635220235905,1.9125399436914428,1.8350036536296066,1.8517788067162992,False,False,True,"[1.8457735657174317, 1.8406111960376275, 1.9076732452549896, 1.8509978826519053]"
resident/calico/striped/k5/h0/u64/get16,10.261860708657796,10.307382507753529,1.0044360180271523,10.144441376541732,10.403106055428864,10.196028154575385,10.45962395199404,False,False,False,"[10.317839906814967, 10.269805521805738, 10.174135317472995, 10.345412799025658]"
resident/calico/striped/k56/h0/u64/get16,3.5281808022358447,3.128083079973429,0.8865994276685396,3.1601417924473365,3.897814293880864,3.118562001127372,3.1497635932394625,True,False,True,"[3.1684786799290245, 3.1188741681491665, 3.8945737709310593, 3.1428984519805976]"
resident/calico/striped/k6/h0/u64/get16,2.0346704750694165,2.0036840130002,0.9847707712630177,1.9857287983640486,2.0860286889733053,1.9956540532360254,2.014312091802487,False,False,False,"[1.9877245023907204, 2.0128658994842223, 2.080895032417432, 2.001183560118246]"
resident/calico/striped/k7/h0/u64/get16,10.63890457792025,10.569773236630446,0.9935020245004098,10.622322268821879,10.675378222176889,10.50495645658474,10.640310440322345,False,False,True,"[10.641821297053639, 10.57192939792155, 10.635987858786862, 10.560477106919757]"
resident/predecessor/local/k1/h0/u64/get16,1.3218192362218586,1.2774069157572663,0.9664006096691893,1.2720770515211224,1.367081481460224,1.2740963672700027,1.28244484173119,False,False,True,"[1.2774275869045106, 1.274481247427864, 1.3656502800898287, 1.2801525947488315]"
resident/predecessor/local/k5/h0/u64/get16,1.614048027122482,1.606160628886002,0.9951132815728281,1.6125002840434453,1.6169539677018083,1.6006722107412659,1.611122157697223,True,False,True,"[1.6126261076159323, 1.6069882475225605, 1.6144981652957633, 1.6053330102494434]"
resident/predecessor/local/k56/h0/u64/get16,1.869123862920413,1.8130085009677535,0.9699777189378012,1.8152297234145567,1.920378583588327,1.8011944697083038,1.8207458788774347,False,False,True,"[1.8179479801301532, 1.8178471114765133, 1.9198993817597962, 1.8128253599764388]"
resident/predecessor/local/k6/h0/u64/get16,1.605858987595818,1.608126990661432,1.001412330150488,1.600481593514253,1.6123507298606738,1.6062945510978393,1.6130871835863583,False,False,False,"[1.6034403473106735, 1.606424193727119, 1.6110243106735138, 1.6081349133093195]"
resident/predecessor/local/k7/h0/u64/get16,1.6123457772916228,1.60683030674581,0.9965792259802501,1.6005423269472414,1.628725354650711,1.601729508403596,1.6108561848740206,False,False,False,"[1.6061231460806802, 1.6072081996547742, 1.6259377426362205, 1.6064524138368461]"
resident/predecessor/striped/k1/h0/u64/get16,1.6054604781172785,1.603927718822257,0.9990452836952928,1.5960060131801772,1.6139077446651942,1.601378704388682,1.6076145157561796,False,False,False,"[1.5984217772682332, 1.6045361241169114, 1.6106832152931074, 1.6033193135276025]"
resident/predecessor/striped/k5/h0/u64/get16,3.2469200210226914,3.3264863311073585,1.0245051647621446,3.1601840249070015,3.3226131451080936,3.225125783870504,3.3897227720312686,False,False,True,"[3.267589195083365, 3.33965018198173, 3.2139370284724995, 3.3066419678013896]"
resident/predecessor/striped/k6/h0/u64/get16,5.741692992029573,5.732880740433698,0.9984652172089125,5.716972867276724,5.757560523478143,5.714377818212657,5.73778812211657,False,False,True,"[5.7514802085879895, 5.734096352710368, 5.724397733530914, 5.724192639286163]"
resident/predecessor/striped/k7/h0/u64/get16,2.691971831330047,2.741244023682332,1.0183033833336734,2.665599409501528,2.7146916737343845,2.6747744931597826,2.8456268656310053,False,False,True,"[2.701838111996755, 2.8191764396679684, 2.6773760565569007, 2.6820082012782667]"
resident/series/avx2/local/k1/h0/u64/admitted-region/get16,1.5471939867626465,1.4968201864230806,0.9674418329113544,1.4840280676844886,1.6218061035758318,1.488644962341408,1.5040586853954503,False,False,True,"[1.4967820952532773, 1.4898506650335093, 1.6054385018495694, 1.4979315060812892]"
resident/series/avx2/local/k1/h0/u64/get16,2.746314990294474,2.7249677112071478,0.9922269371274716,2.7234019721817715,2.7757854394657655,2.713429537154388,2.7345613213727176,False,False,True,"[2.728393837500828, 2.7161995964379817, 2.7705383634239404, 2.730951027958474]"
resident/series/avx2/local/k1/h0/u64/raw-dense/get16,1.3945052037184147,1.3572055897899005,0.973252438335077,1.3514688020401802,1.4450340693840338,1.3533274034012277,1.374183160763787,False,False,False,"[1.3532142630085078, 1.3550286438498667, 1.4388467984863924, 1.368207660122471]"
resident/series/avx2/local/k5/h0/u64/admitted-region/get16,1.8349407589956468,1.8290061054261706,0.9967657519511831,1.8306248827844922,1.8394936694200485,1.8254288513130013,1.8343710873451116,False,False,True,"[1.8323182530063098, 1.8271480570196883, 1.836632221311299, 1.8342335344327678]"
resident/series/avx2/local/k5/h0/u64/get16,2.7427999397216656,2.721932908910796,0.9923920696844601,2.719996580005989,2.7739974263404545,2.7139673755487532,2.729153638283792,False,False,True,"[2.7211587012559852, 2.720880205313531, 2.767833364235528, 2.7222813119151943]"
resident/series/avx2/local/k5/h0/u64/raw-dense/get16,1.4993789899009224,1.6085201345744349,1.0727908990379573,1.3876932157031325,1.6106802588663922,1.6052790258159206,1.6095989747479253,False,False,False,"[1.3889196932746088, 1.608119317432526, 1.6099195082713698, 1.6089332635022886]"
resident/series/avx2/local/k56/h0/u64/admitted-region/get16,2.1240516759557995,2.1078137901696246,0.9923552303505666,2.0954424565764005,2.1492555096633095,2.0987924127039586,2.1211120815729085,False,False,True,"[2.108449968468762, 2.103666785354356, 2.148091028437796, 2.114455790948962]"
resident/series/avx2/local/k56/h0/u64/get16,3.1732625196186133,3.170210498560916,0.9990382071956454,3.166944545250748,3.198421317814518,3.1537093141545114,3.1793254838780216,False,False,False,"[3.1695031732865333, 3.1723462210924067, 3.183097888059045, 3.1680747760294254]"
resident/series/avx2/local/k56/h0/u64/raw-dense/get16,2.0183125060647393,1.990792005518399,0.9863645989094131,1.9953096658466984,2.03844274077436,1.986480343571466,2.0003901474049393,False,False,True,"[2.0021733406080373, 1.9903696226189436, 2.034619041660523, 1.9914425949841623]"
resident/series/avx2/local/k6/h0/u64/admitted-region/get16,1.828349418658234,1.8342663582096144,1.0032362192319466,1.8248704142020045,1.8399313756492517,1.8268780391378026,1.8353712532869069,False,False,True,"[1.8256618013937143, 1.8305557877723955, 1.833415420435216, 1.834813573486654]"
resident/series/avx2/local/k6/h0/u64/get16,2.733875329511534,2.727113040593011,0.9975264823360722,2.71997443516962,2.748232165517732,2.7168548886138373,2.7344439834024583,False,False,False,"[2.723243122133792, 2.7255543956444193, 2.7446034423005603, 2.730700012966799]"
resident/series/avx2/local/k6/h0/u64/raw-dense/get16,1.6054090059193344,1.6064225057483816,1.0006313031914673,1.6031145645362188,1.6094221918046263,1.601685104675703,1.610821210867706,False,False,False,"[1.6073138577778288, 1.6048791381851544, 1.6046906490276038, 1.609068511621856]"
resident/series/avx2/local/k7/h0/u64/admitted-region/get16,1.827638519188603,1.8331344490064536,1.0030071208065205,1.8259700851612435,1.833350586067413,1.8308130852635363,1.8359923357353385,False,False,True,"[1.830689218285701, 1.8335880701171368, 1.8266129116313112, 1.8330176242917307]"
resident/series/avx2/local/k7/h0/u64/get16,2.7360369198989347,2.722380002318592,0.995008503912715,2.7129004159127987,2.7465936382579423,2.711964036053624,2.7403258831966553,False,False,True,"[2.7242999562197117, 2.7222076801651416, 2.745083415697205, 2.7225523244720424]"
resident/series/avx2/local/k7/h0/u64/raw-dense/get16,1.5022727953273023,1.6092732201408764,1.0712256955903017,1.3870982898886217,1.6118270566317825,1.6034515554101447,1.6108616039487889,False,False,False,"[1.3922526843013205, 1.6100144349511523, 1.6115577445519218, 1.6085320053306005]"
resident/series/avx2/striped/k1/h0/u64/admitted-region/get16,1.8296499273954283,1.830068664081811,1.0002288616418435,1.8256824096476394,1.8340763674846745,1.822831411123825,1.8372765366051005,False,False,False,"[1.8329735502159208, 1.82842709690486, 1.8291619026099912, 1.8341054576335085]"
resident/series/avx2/striped/k1/h0/u64/get16,2.9420881366490814,2.9484386320348905,1.0021584993687653,2.933939019493357,2.951065666462238,2.944081424115298,2.9510161347970616,False,False,False,"[2.950498568125663, 2.9487864728989654, 2.935353512898645, 2.948090791170816]"
resident/series/avx2/striped/k1/h0/u64/raw-dense/get16,1.6198866350912562,1.8259900933892643,1.1272332605462834,1.3948046791586635,1.8368094362745062,1.8199550562424718,1.8325375801747654,False,False,False,"[1.402158038383515, 1.8300409795707984, 1.8359251575630255, 1.8214461633905055]"
resident/series/avx2/striped/k5/h0/u64/admitted-region/get16,3.3407315989609074,2.8529549059726866,0.8539910559890721,3.099060701153436,3.4706091215883563,2.30545571848822,3.506262499319757,False,False,False,"[3.3867997611807095, 3.442393951349559, 3.2353672724835336, 2.32436124998168]"
resident/series/avx2/striped/k5/h0/u64/get16,5.991148295388478,6.006763200677761,1.0026063292910479,5.960221999469675,6.007589118295434,5.984255637998434,6.028162864596685,False,False,True,"[5.962819403551469, 6.006294937259545, 5.997999283120502, 6.026044902957019]"
resident/series/avx2/striped/k5/h0/u64/raw-dense/get16,3.1519958328644773,2.8214366551515226,0.895127025782725,3.059832773034045,3.381314919972799,2.360006465714118,3.443902104309354,False,False,False,"[3.184453265657153, 3.245866800445085, 3.1186379934042283, 2.3788261422285975]"
