case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
runtime/authored/avx2/local/k23/h16/u32/headgapped/mixed,6.88198126837556,6.866766732461786,0.9977892215452999,6.862607752899046,6.982444145897942,6.843070815478674,7.00786116482024,False,False,True,"[6.955145920233506, 6.868730566732838, 6.868437924772758, 6.864802898190733]"
runtime/authored/avx2/local/k23/h16/u32/headgapped/o1-n16,8.637657224432507,8.646006906178979,1.000966660464698,8.610063681896321,8.67886327195187,8.631192131146472,8.667352993561682,False,False,False,"[8.635383089766915, 8.66619589918992, 8.6399313590981, 8.639393085552506]"
runtime/authored/avx2/local/k23/h16/u32/headgapped/o1-n17,8.64212507490778,8.643113410165094,1.0001143625264328,8.616306173030395,8.670006873817412,8.610247834891988,8.668279380426695,False,False,False,"[8.64354651564389, 8.635890987223412, 8.640703634171668, 8.659290124682322]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/mixed,7.0014022019576645,6.996374072313168,0.9992818396230557,6.969702816804114,7.01228840102363,6.993433881312354,7.009140138343745,False,False,False,"[6.995375069078434, 6.99668940395935, 7.010186769404242, 6.994616119220745]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/o1-n16,8.668150179387165,8.636469099630972,0.9963451164203948,8.631914584758903,8.681469819391637,8.607511659713492,8.664316776124924,False,False,True,"[8.655853782306037, 8.655263186092208, 8.672222180964848, 8.615470316107773]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/o1-n17,8.662985589280689,8.662979329539429,0.9999992774152519,8.64555575583386,8.683093989884874,8.64452611533201,8.679674486740451,False,False,False,"[8.681718816634662, 8.65144436155945, 8.652181812644832, 8.677513252868684]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/mixed,7.155947284345798,7.149604418495624,0.999113623172707,7.1477769694209,7.163373760642446,7.135547524730791,7.172393324763516,False,False,False,"[7.159477691564252, 7.136906488006662, 7.152416877127345, 7.165746123242666]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/o1-n16,9.086922620285634,9.115103877395148,1.0031012982378218,9.067943331131827,9.105825700431033,9.107994131634412,9.12441268683099,False,True,True,"[9.102788037055054, 9.109635618864756, 9.084877201192432, 9.118215426270472]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/o1-n17,9.091438925270971,9.09541114573529,1.0004369187866706,9.070508061278204,9.103517140560916,9.051855219543983,9.119598730652928,False,False,False,"[9.085596065777045, 9.06371959253302, 9.097281784764899, 9.099469981936219]"
runtime/authored/avx2/local/k23/h16/u64/independentlygapped/mixed,7.272782397961988,7.277193926073928,1.0006065805176814,7.259512922382988,7.315714431838282,7.25428394520532,7.300102037844531,False,False,True,"[7.274114977275761, 7.295909575677866, 7.262322892772083, 7.2638936520931585]"
runtime/authored/avx2/local/k23/h16/u64/independentlygapped/o1-n16,9.072447611027027,9.092186673488406,1.0021757152322806,9.05157986783164,9.096867661261186,9.055977309744934,9.115995397206513,False,False,True,"[9.06542615926021, 9.078989421610721, 9.07946906279384, 9.10676932379653]"
runtime/authored/avx2/local/k23/h16/u64/independentlygapped/o1-n17,9.08496372989345,9.095466999245392,1.0011561157164977,9.057678640428357,9.134070790320816,9.083174997226275,9.108159746261446,False,False,False,"[9.0788523007976, 9.103695089656647, 9.114087518384364, 9.091605744826921]"
runtime/authored/avx2/local/k7/h0/u32/dense/mixed,6.056903476262687,6.073968569643703,1.0028174616696295,6.041606671916554,6.07226843421538,6.05976435166321,6.083670074030837,False,False,False,"[6.064936814263328, 6.060814275726028, 6.045617996923947, 6.077941718089833]"
runtime/authored/avx2/local/k7/h0/u32/dense/o1-n16,7.633260507499221,7.657698807004272,1.0032015544970647,7.605168896772174,7.712336363477898,7.616289932166049,7.684412609654364,False,False,True,"[7.6370824472412, 7.63842311427412, 7.629293847461365, 7.6689553031480076]"
runtime/authored/avx2/local/k7/h0/u32/dense/o1-n17,7.628914791667176,7.608676920921798,0.9973472149974092,7.619367426792327,8.010397467453691,7.6018696435612565,7.692441211435866,False,False,False,"[7.630175767579674, 7.642530735328228, 7.627653815754679, 7.60276316857633]"
runtime/authored/avx2/local/k7/h0/u64/dense/mixed,6.166680197861361,6.172692131984472,1.0009749060969946,6.1474757316821735,6.172947200101655,6.140139462420328,6.194285492257273,False,False,False,"[6.168252316775862, 6.174050584473078, 6.155668779061059, 6.147539049242009]"
runtime/authored/avx2/local/k7/h0/u64/dense/o1-n16,7.842850844816272,7.849843603431215,1.0008916092825564,7.829772876401818,7.8821639157986585,7.812102992177392,7.8778660301618855,False,False,False,"[7.877812895683023, 7.83017592631415, 7.842069874433309, 7.871620033885723]"
runtime/authored/avx2/local/k7/h0/u64/dense/o1-n17,7.862644331626738,7.869527051093225,1.0008753695545916,7.811332314008035,8.805400678619305,7.856397803042995,8.855955931675526,False,False,False,"[7.873246603664144, 7.862960654687804, 7.824298760053618, 7.886856313784677]"
runtime/authored/avx2/striped/k12/h0/u32/dense/mixed,6.603711339026013,4.413569341327628,0.6683467999645468,6.591720539073898,6.62454221911022,4.408588428219488,4.435928456823173,True,False,True,"[6.603256588596508, 4.431010514652065, 6.604166089455518, 4.412752984404005]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o16-n16,2.4189867595078063,2.4400865820268036,1.008722587023705,2.407792819674138,2.4290218782668513,2.4295663593997197,2.4510407748287677,False,True,True,"[2.4269202206369465, 2.4490611855084814, 2.4140436055004084, 2.4308261754277636]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n16,8.493899895218906,2.42008018395458,0.28491979112172117,8.482971046129594,8.538618311717997,2.4142025225136106,2.429201449201699,True,False,True,"[8.49385522579687, 2.423007694120029, 8.536544414754992, 2.4179118013999465]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n17,8.511949248071286,7.00194805518616,0.822602185600757,8.47900228942465,8.540509221551808,6.964631547948954,7.0187130895019525,True,False,True,"[8.48776871636998, 7.005156582446786, 8.51406750905698, 6.9721100878922675]"
runtime/authored/avx2/striped/k12/h0/u64/dense/mixed,6.812996073705932,4.555977693945043,0.668718673056099,6.797550866200294,6.827419925275682,4.545724038768112,4.592659739183521,True,False,True,"[6.822572010250001, 4.567714584787173, 6.800743079234073, 4.5492159123991796]"
runtime/authored/avx2/striped/k12/h0/u64/dense/o16-n16,2.573042588581378,2.819137021976715,1.0956433579791693,2.559507458564625,2.5769066029260843,2.8140455038531824,2.835679746783236,False,True,True,"[2.573941903983149, 2.8282834503985055, 2.572143273179607, 2.8181604761265477]"
