case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
runtime/authored/avx2/local/k23/h16/u32/headgapped/mixed,8.79117905567593,6.866766732461786,0.7810973578144028,8.77378648837179,8.838995372410013,6.843070815478674,7.00786116482024,True,False,True,"[8.799091378631319, 6.868730566732838, 8.783266732720538, 6.864802898190733]"
runtime/authored/avx2/local/k23/h16/u32/headgapped/o1-n16,12.74578871337338,8.646006906178979,0.6783422431212319,12.690521736186351,12.79904290634013,8.631192131146472,8.667352993561682,True,False,True,"[12.720078886782217, 8.66619589918992, 12.773715147884085, 8.639393085552506]"
runtime/authored/avx2/local/k23/h16/u32/headgapped/o1-n17,13.298730054242485,8.643113410165094,0.649920208539598,13.249627419403792,13.320288723928746,8.610247834891988,8.668279380426695,True,False,True,"[13.275845527263131, 8.635890987223412, 13.319694322147402, 8.659290124682322]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/mixed,9.163316011326968,6.996374072313168,0.763519894289884,9.127928327157754,9.231836365840957,6.993433881312354,7.009140138343745,True,False,True,"[9.199712110934547, 6.99668940395935, 9.135432410361032, 6.994616119220745]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/o1-n16,12.788135907280186,8.636469099630972,0.675350118441758,12.759957364246816,12.817662844372768,8.607511659713492,8.664316776124924,True,False,True,"[12.801204388921459, 8.655263186092208, 12.779734636531725, 8.615470316107773]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/o1-n17,13.311883522417538,8.662979329539429,0.6507703673150955,13.287835919709599,13.36483734163078,8.64452611533201,8.679674486740451,True,False,True,"[13.331802198387845, 8.65144436155945, 13.293322015289528, 8.677513252868684]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/mixed,9.459478451795187,7.149604418495624,0.7558138067473262,9.414042597535492,9.564712027353476,7.135547524730791,7.172393324763516,True,False,True,"[9.473499519036041, 7.136906488006662, 9.421062129679978, 7.165746123242666]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/o1-n16,13.780370847764523,9.115103877395148,0.6614556297571496,13.731666207493673,13.863788010300414,9.107994131634412,9.12441268683099,True,False,True,"[13.853784575081825, 9.109635618864756, 13.777234860411465, 9.118215426270472]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/o1-n17,14.468279471298079,9.09541114573529,0.6286449721805976,14.39371923995859,14.565026721893762,9.051855219543983,9.119598730652928,True,False,True,"[14.47942117730762, 9.06371959253302, 14.442510377213118, 9.099469981936219]"
runtime/authored/avx2/local/k23/h16/u64/independentlygapped/mixed,9.780844712331415,7.277193926073928,0.7440250960020913,9.705729012382175,9.843241506544718,7.25428394520532,7.300102037844531,True,False,True,"[9.838145339738213, 7.295909575677866, 9.733666371674841, 7.2638936520931585]"
runtime/authored/avx2/local/k23/h16/u64/independentlygapped/o1-n16,13.876410624083459,9.092186673488406,0.6552261186122796,13.810479412384224,13.939744921575747,9.055977309744934,9.115995397206513,True,False,True,"[13.939288355537562, 9.078989421610721, 13.826251184709385, 9.10676932379653]"
runtime/authored/avx2/local/k23/h16/u64/independentlygapped/o1-n17,14.556563370352102,9.095466999245392,0.624836149016496,14.439828930468977,14.619470132990719,9.083174997226275,9.108159746261446,True,False,True,"[14.616176450044788, 9.103695089656647, 14.470362310090369, 9.091605744826921]"
runtime/authored/avx2/local/k7/h0/u32/dense/mixed,6.690276380529886,6.073968569643703,0.9078800671554065,6.650951122702974,6.69991862574703,6.05976435166321,6.083670074030837,True,False,True,"[6.667011081569253, 6.060814275726028, 6.698664503038988, 6.077941718089833]"
runtime/authored/avx2/local/k7/h0/u32/dense/o1-n16,9.418175423181589,7.657698807004272,0.8130766802406189,9.399659755844267,9.469018073768124,7.616289932166049,7.684412609654364,True,False,True,"[9.45290476431171, 7.63842311427412, 9.400397675184783, 7.6689553031480076]"
runtime/authored/avx2/local/k7/h0/u32/dense/o1-n17,9.824196625580399,7.608676920921798,0.7744833710992922,9.78028560412278,9.868669035876797,7.6018696435612565,7.692441211435866,True,False,True,"[9.797422556801084, 7.642530735328228, 9.846175415718728, 7.60276316857633]"
runtime/authored/avx2/local/k7/h0/u64/dense/mixed,7.262887580539823,6.172692131984472,0.84989504016606,7.239948950899771,7.291864452207345,6.140139462420328,6.194285492257273,True,False,True,"[7.253246233821625, 6.174050584473078, 7.266013341654867, 6.147539049242009]"
runtime/authored/avx2/local/k7/h0/u64/dense/o1-n16,10.425936360212491,7.849843603431215,0.7529149739862049,10.41124456340246,10.447867606248016,7.812102992177392,7.8778660301618855,True,False,True,"[10.427363076831583, 7.83017592631415, 10.412586568125446, 7.871620033885723]"
runtime/authored/avx2/local/k7/h0/u64/dense/o1-n17,10.93450346282792,7.869527051093225,0.7196967907912648,10.877733129483866,10.968317828033117,7.856397803042995,8.855955931675526,True,False,True,"[10.89311317797596, 7.862960654687804, 10.966560172117182, 7.886856313784677]"
runtime/authored/avx2/striped/k12/h0/u32/dense/mixed,5.767655310465168,4.413569341327628,0.7652276538300394,5.748002115600236,5.783403491040176,4.408588428219488,4.435928456823173,True,False,True,"[5.766837336402315, 4.431010514652065, 5.768473284528022, 4.412752984404005]"
