case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
runtime/authored/avx2/local/k23/h16/u32/headgapped/mixed,6.883180977005478,6.871192214479268,0.9982582526064242,6.871304008804152,6.8944414417821065,6.829323543783177,6.8767562780952,False,False,True,"[6.875995550988869, 6.87361165084232, 6.883639686581282, 6.835971958746169]"
runtime/authored/avx2/local/k23/h16/u32/headgapped/o1-n16,8.64793264361462,8.65554489551237,1.0008802394990173,8.618141256180262,8.658925325123588,8.64127446046728,8.671512943220264,False,False,True,"[8.624724269540293, 8.642235760955655, 8.652862983569863, 8.666868543251963]"
runtime/authored/avx2/local/k23/h16/u32/headgapped/o1-n17,8.638270377501906,8.644895146711495,1.0007669092214158,8.619773278362535,8.663662311521472,8.630337638582391,8.657190283287784,False,False,True,"[8.63905277234159, 8.645457116632507, 8.637487982662222, 8.644333176790484]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/mixed,6.99397185902264,6.9947992378895885,1.0001182988555897,6.962959554915407,7.0386779917971145,6.983178524092519,7.013040844973239,False,False,False,"[7.018107052950454, 6.990402973887253, 6.97807796156136, 7.002336718285665]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/o1-n16,8.647226120008582,8.645861960163653,0.9998422430700902,8.629676936457631,8.668884409489365,8.618956267099863,8.676072215650782,False,False,False,"[8.633384452109771, 8.634639842352415, 8.661303351243609, 8.662923624511004]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/o1-n17,8.639000666880438,8.661002871661656,1.0025468460565778,8.624146018783456,8.661621223109682,8.635708364038319,8.667727565072626,False,False,True,"[8.647151255421011, 8.663816380342647, 8.62915544859053, 8.65919944097661]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/mixed,7.151347601750526,7.163319982231259,1.001674143273053,7.133549136333937,7.170025253695068,7.14754724866054,7.183296148778149,False,False,True,"[7.141502118297743, 7.1616828813107185, 7.15628985274241, 7.164957083151801]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/o1-n16,9.100439658297677,9.073631277330342,0.997054166394819,9.041271676900076,9.133496137210741,9.04911267193899,9.107068491515347,False,False,True,"[9.111061928056827, 9.095721507861784, 9.089817388538528, 9.07272012170653]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/o1-n17,9.077060140123876,9.087743574839237,1.0011769707978617,9.062894649385168,9.112611421697576,9.068292965721522,9.108380516438427,False,False,True,"[9.082772907435618, 9.087789162554763, 9.071347372812134, 9.083076493105567]"
runtime/authored/avx2/local/k23/h16/u64/independentlygapped/mixed,7.300677193262649,7.280648911269676,0.9972566542167546,7.285895904223405,7.319326468118972,7.267079471304536,7.293640004637148,False,False,True,"[7.295104386525264, 7.2670949976262715, 7.317684355817953, 7.288148030566335]"
runtime/authored/avx2/local/k23/h16/u64/independentlygapped/o1-n16,9.082059195196235,9.094177855195458,1.0013343515758664,9.079511214181009,9.116089495475707,9.057634020118623,9.11559352312401,False,False,False,"[9.109669444213782, 9.05903128983541, 9.081102929482212, 9.112169601044625]"
runtime/authored/avx2/local/k23/h16/u64/independentlygapped/o1-n17,9.079322773389714,9.094457356770898,1.0016669286640563,9.047601142510256,9.117151463682365,9.05772687112711,9.112165581597207,False,False,True,"[9.081746432838708, 9.095014105902841, 9.067275335646894, 9.068097647172745]"
runtime/authored/avx2/local/k7/h0/u32/dense/mixed,6.0543780008882,6.084713823210386,1.0050105596838743,6.050296064149338,6.08211612125061,6.073292277843713,6.098486815265365,False,False,True,"[6.078940111601344, 6.085093751158993, 6.051675460480244, 6.084333895261778]"
runtime/authored/avx2/local/k7/h0/u32/dense/o1-n16,7.634326002276432,7.638910515322886,1.000600513135683,7.607891058295153,7.8943253406076686,7.624148361765825,7.710483203548372,False,False,False,"[7.640511368249513, 7.624563414750049, 7.6281406363033515, 7.662605916603835]"
runtime/authored/avx2/local/k7/h0/u32/dense/o1-n17,7.627920521374654,7.648136640693324,1.0026502792290535,7.605699640747803,7.8421117838208545,7.641879041322883,7.921864482266373,False,False,True,"[7.639572564223058, 7.6454412719013725, 7.61626847852625, 7.665297608339917]"
runtime/authored/avx2/local/k7/h0/u64/dense/mixed,6.162029147407589,6.191357629839804,1.0047595494488295,6.148673316919132,6.19469859370309,6.17029977027284,6.213344931003879,False,False,True,"[6.150391873097031, 6.182950898777948, 6.191268018472298, 6.201560405812285]"
runtime/authored/avx2/local/k7/h0/u64/dense/o1-n16,7.846131864308585,7.85480929621899,1.0011059503027062,7.828358688121182,7.926211160927068,7.828482474944984,7.960791706644277,False,False,True,"[7.857479779849865, 7.857675701607103, 7.840390826584005, 7.847012122380884]"
runtime/authored/avx2/local/k7/h0/u64/dense/o1-n17,7.870294581522883,7.85185267590231,0.9976567706037499,7.830503434725225,8.702634272567867,7.83704561497089,7.878817441846546,False,False,False,"[8.556325743117531, 7.848171524254538, 7.842123192644588, 7.855533827550082]"
runtime/authored/avx2/striped/k12/h0/u32/dense/mixed,4.412375480545537,4.411888526286061,0.9998896389798143,4.397605969976393,4.4236362978763575,4.404221722375878,4.420978830563612,False,False,False,"[4.4205173328869884, 4.4054249021856355, 4.410610889696225, 4.4194305665062705]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o16-n16,2.441809673005694,2.44431078441184,1.0010242859768295,2.4391958964089167,2.4510226038213463,2.4380588919032675,2.4558096544283265,False,False,False,"[2.4401831865103727, 2.450229597022682, 2.443247261203429, 2.4391208156132778]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n16,2.413512693693237,2.4450617679378817,1.0130718493120363,2.4086372323878735,2.426556127688294,2.4202426985074417,2.462678178798654,False,False,True,"[2.412298843801808, 2.4608783214820225, 2.422775432858757, 2.4249907709097207]"
runtime/authored/avx2/striped/k12/h0/u32/dense/o17-n17,6.969512790713055,6.972091839176213,1.0003700471669403,6.939421043555933,6.989077399872837,6.960910646085261,6.988924486337652,False,False,True,"[6.970963789997858, 6.976944933541596, 6.949488768821142, 6.965162018618783]"
runtime/authored/avx2/striped/k12/h0/u64/dense/mixed,4.576266852711894,4.572203918754334,0.999112172849983,4.561475356397773,4.580794180285109,4.560782961037241,4.5828570873606385,False,False,True,"[4.577418289290691, 4.574054344989556, 4.575115416133099, 4.563746721966942]"
runtime/authored/avx2/striped/k12/h0/u64/dense/o16-n16,2.8161849880401277,2.8420839310728776,1.0091964637063042,2.8027664590519645,2.8538305162360285,2.8288306451612857,2.8478320573835263,False,False,False,"[2.8051041924584323, 2.845751081724504, 2.8428266983872423, 2.8337764784946087]"
runtime/authored/avx2/striped/k12/h0/u64/dense/o17-n16,2.8080110117547763,2.8883635520115716,1.0286154647971204,2.774243112013972,2.8310741565967152,2.8133622415938238,2.9684512667817295,False,False,False,"[2.783118591587411, 2.965228826389649, 2.8296174851638396, 2.813976102753222]"
runtime/authored/avx2/striped/k12/h0/u64/dense/o17-n17,7.187428648910512,7.172674657038837,0.9979472503182468,7.162892857922079,7.211188689304495,7.164730575723873,7.18901534972964,False,False,False,"[7.208938409066044, 7.174545129487293, 7.166893538366651, 7.167443419675574]"
runtime/authored/avx2/striped/k28/h16/u32/independentlygapped/mixed,5.12583027066939,5.128585773096956,1.0005375719214376,5.115192533648687,5.140564651491706,5.119867808328664,5.1371596694856425,False,False,False,"[5.125545707201253, 5.120516291635473, 5.126114834137526, 5.136181850542838]"
runtime/authored/avx2/striped/k28/h16/u32/independentlygapped/o16-n16,3.19512930000048,3.205068885882065,1.0031108556018635,3.1869491273557533,3.2137830797211,3.192399245637099,3.208908988544017,False,False,False,"[3.187824020387228, 3.199571024666056, 3.2128021849166637, 3.2077252184715532]"
runtime/authored/avx2/striped/k28/h16/u32/independentlygapped/o17-n16,3.205525262164015,3.208834052167802,1.0010322146085828,3.2007263640215826,3.2130507821642813,3.1950930322708797,3.2177021387777227,False,False,False,"[3.2034164771177434, 3.217208797618365, 3.206497367388037, 3.2053236578710425]"
runtime/authored/avx2/striped/k28/h16/u32/independentlygapped/o17-n17,8.094244718375089,8.085800986267447,0.9989568227300475,8.064014244286318,8.167521285426805,8.047503877726003,8.116496099336713,False,False,False,"[8.094426404421558, 8.10818253131626, 8.075223692554832, 8.058929100059146]"
runtime/authored/avx2/striped/k28/h16/u64/independentlygapped/mixed,5.41794442905905,5.4284348743240525,1.0019362408386356,5.391535299566619,5.441274384195717,5.410986006876736,5.441120322883289,False,False,False,"[5.394716308060688, 5.435411078991298, 5.423204506943319, 5.421458669656808]"
runtime/authored/avx2/striped/k28/h16/u64/independentlygapped/o16-n16,3.432289957356499,3.4314669575358057,0.9997602184457263,3.407821713886783,3.4449742144485804,3.4225893494446145,3.4432448510010163,False,False,False,"[3.4153766143767146, 3.4319400234545276, 3.4329750510917334, 3.4250598181164307]"
runtime/authored/avx2/striped/k28/h16/u64/independentlygapped/o17-n16,3.493872649839094,3.52481174304853,1.008855243539246,3.469820909874972,3.5055939428602185,3.5026224501262857,3.5506493578776452,False,False,False,"[3.481252215561509, 3.5503223261317656, 3.50457419464253, 3.504381424852283]"
runtime/authored/avx2/striped/k28/h16/u64/independentlygapped/o17-n17,8.302010974653374,8.308447636847472,1.0007753136214526,8.289825125222055,8.324315283650625,8.280480373736992,8.33901441819427,False,False,True,"[8.310526598977084, 8.325808385276456, 8.29322652485418, 8.303426531614312]"
runtime/authored/avx512/local/k23/h16/u32/headgapped/mixed,7.9307134077805195,7.179306112208742,0.9052535053360269,7.913067095854251,7.956650271922566,7.167976605534732,7.194800447332502,True,False,True,"[7.927241100713879, 7.188141699313216, 7.9341857148471595, 7.1717283064286965]"
runtime/authored/avx512/local/k23/h16/u32/headgapped/o1-n16,8.990744521990072,8.99556426708752,1.0005360785289428,8.950921873295,9.159230898860823,8.989626028119146,9.017101306761813,False,False,False,"[8.964274266150236, 8.99233797221162, 9.023047584328436, 8.998527998901947]"
runtime/authored/avx512/local/k23/h16/u32/headgapped/o1-n17,8.985504019351499,8.99047282570398,1.0005529802604038,8.951066817715416,10.086440138531483,8.966153304303388,9.026520139194124,False,False,False,"[8.965648939808496, 9.011211450378969, 8.99581034742372, 8.971749701161198]"
runtime/authored/avx512/local/k23/h16/u32/independentlygapped/mixed,7.991679092504514,7.249091203188564,0.9070798663559412,7.968934391576205,8.010594630110084,7.235484197057674,7.278064794908984,True,False,True,"[7.990439772008325, 7.26503970150996, 7.999227429286694, 7.241379143217929]"
runtime/authored/avx512/local/k23/h16/u32/independentlygapped/o1-n16,8.981972928858895,8.968088122804627,0.9984541474168046,8.974949621648326,9.00279112917622,8.945629857468658,9.006125695659941,False,False,True,"[8.97829382745236, 8.969620856806761, 8.982143041130815, 8.96655538880249]"
runtime/authored/avx512/local/k23/h16/u32/independentlygapped/o1-n17,8.990101124176942,8.969102898656377,0.9976642948471298,8.966123140775188,9.050794475223048,8.951941300813948,9.000247726992306,False,False,True,"[8.987192860850097, 8.95869645393956, 8.993009387503786, 8.990632194145967]"
runtime/authored/avx512/local/k23/h16/u64/headgapped/mixed,7.400033053969269,7.360361260555004,0.9946389707823015,7.371629101131116,7.420082662160005,7.338520216885265,7.387027741857175,False,False,True,"[7.3869791197213726, 7.365719832794923, 7.409960786734295, 7.355510891825909]"
runtime/authored/avx512/local/k23/h16/u64/headgapped/o1-n16,9.224971768223677,9.216174249962759,0.9990463365653625,9.192914289963591,9.252967526821921,9.192490487598723,9.237055790083032,False,False,True,"[9.202287102813566, 9.198108969842046, 9.228751680769843, 9.220732134537167]"
runtime/authored/avx512/local/k23/h16/u64/headgapped/o1-n17,9.20144744041444,9.206355890740316,1.0005334432824466,9.178838961129715,9.235700076732076,9.195231028782645,9.250987247955509,False,False,False,"[9.185573965324512, 9.213449793781798, 9.232137851777235, 9.201345083244863]"
runtime/authored/avx512/local/k23/h16/u64/independentlygapped/mixed,7.506574650652761,7.514287035955109,1.001027417385595,7.4764099121094025,7.5290594489136105,7.473834364902381,7.595006241658629,False,False,False,"[7.503952266971518, 7.543578354388176, 7.5091970343340035, 7.477376176159375]"
