case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
runtime/authored/avx2/local/k23/h16/u32/headgapped/mixed,8.783619953304456,6.871192214479268,0.7822733965048522,8.676918763893298,8.824799414461665,6.829323543783177,6.8767562780952,True,False,True,"[8.805778451718297, 6.87361165084232, 8.688862039536362, 6.835971958746169]"
runtime/authored/avx2/local/k23/h16/u32/headgapped/o1-n16,12.713272556610407,8.65554489551237,0.6808274468253906,12.69132834930547,12.723833853883763,8.64127446046728,8.671512943220264,True,False,True,"[12.719699054764527, 8.642235760955655, 12.712626631682364, 8.666868543251963]"
runtime/authored/avx2/local/k23/h16/u32/headgapped/o1-n17,13.261509617868413,8.644895146711495,0.6518786620690195,13.194000030215122,13.322352501014617,8.630337638582391,8.657190283287784,True,False,True,"[13.225392607868041, 8.645457116632507, 13.294782683137166, 8.644333176790484]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/mixed,9.071699567860293,6.9947992378895885,0.7710571966769205,9.018840946465126,9.119419332285231,6.983178524092519,7.013040844973239,True,False,True,"[9.105594624819089, 6.990402973887253, 9.025649191932455, 7.002336718285665]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/o1-n16,12.723288854937053,8.645861960163653,0.6795304310652961,12.696606515277685,12.779391268453761,8.618956267099863,8.676072215650782,True,False,True,"[12.772981922591304, 8.634639842352415, 12.699523722504074, 8.662923624511004]"
runtime/authored/avx2/local/k23/h16/u32/independentlygapped/o1-n17,13.252399969967186,8.661002871661656,0.6535422181106342,13.234023040125964,13.30630554090243,8.635708364038319,8.667727565072626,True,False,True,"[13.303535153079807, 8.663816380342647, 13.248613290711228, 8.65919944097661]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/mixed,9.437485507342359,7.163319982231259,0.759028448484313,9.3501655763408,9.467608238865504,7.14754724866054,7.183296148778149,True,False,True,"[9.446025960042642, 7.1616828813107185, 9.415312770328745, 7.164957083151801]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/o1-n16,13.718258214144173,9.073631277330342,0.661427357299267,13.58280088532527,13.803077432034543,9.04911267193899,9.107068491515347,True,False,True,"[13.802439603691642, 9.095721507861784, 13.716005323088837, 9.07272012170653]"
runtime/authored/avx2/local/k23/h16/u64/headgapped/o1-n17,14.427627363909535,9.087743574839237,0.629884827603191,14.40801869114767,14.524589907946178,9.068292965721522,9.108380516438427,True,False,True,"[14.49388817791155, 9.087789162554763, 14.42388577291007, 9.083076493105567]"
runtime/authored/avx2/local/k23/h16/u64/independentlygapped/mixed,9.693818344402391,7.280648911269676,0.751061001207416,9.667817377307015,9.700233851106816,7.267079471304536,7.293640004637148,True,False,True,"[9.693234295760167, 7.2670949976262715, 9.69460709861434, 7.288148030566335]"
