case,ordinary,candidate,ratio,ordinary_min,ordinary_max,candidate_min,candidate_max,improvement_separated,loss_separated,both_edges_agree,block_medians
bulk/calico/local/k6/h0/u8/decode,0.005653528115393096,0.005649494312015087,0.9992864980423418,0.005039098274137106,0.006278492549724838,0.005053295518612791,0.0062617275898442576,False,False,False,"[0.0050429581026271335, 0.0062319758262598095, 0.00626335383471338, 0.005069175103993318]"
bulk/calico/local/k6/h0/u8/encode,0.007110673312463449,0.007175856106756355,1.009166894811305,0.007040833834283273,0.007174522482781924,0.007138372961394344,0.0071864935099950995,False,False,True,"[0.007053534828497996, 0.007157397665664426, 0.007165890735503823, 0.007179201291270151]"
bulk/predecessor/local/k6/h0/u8/decode,0.004150571912881356,0.004225505700082149,1.0180538462586892,0.004125103215272954,0.004174424718580047,0.004102799856845119,0.0043556825455971756,False,False,False,"[0.004137912301346111, 0.004110598269339857, 0.004170879676044117, 0.00434577733483653]"
bulk/predecessor/local/k6/h0/u8/encode,0.007091533326197994,0.007081316005592888,0.998559222648315,0.007077326189215048,0.0071135819342343426,0.007048728729311976,0.007109235962713911,False,False,True,"[0.0070883394549767645, 0.007056422125207216, 0.007094727197419223, 0.0070930465428081]"
bulk/series/avx2/local/k23/h16/u32/decode,0.07851034287465815,0.07778537117841469,0.9907659084179409,0.07803372761814052,0.07892455595134873,0.07769759903212253,0.07825939745052929,False,False,False,"[0.07806917642991504, 0.07815542088198926, 0.07890925378614379, 0.0777395809831801]"
bulk/series/avx2/local/k23/h16/u32/encode,0.10338915415530761,0.10304064442508079,0.9966291461316793,0.10295973007156796,0.10392688341873667,0.10274265798487725,0.10332491071934134,False,False,False,"[0.10309562165328688, 0.10316389685596852, 0.10372676529826283, 0.10288455498084208]"
bulk/series/avx2/local/k6/h0/u8/decode,0.010494616311463836,0.010767818730696824,1.0260326257887633,0.01047029083882225,0.010510149919946367,0.010505145742963842,0.011213353474280516,False,False,True,"[0.010491851800719525, 0.011192765253201129, 0.010497380822208146, 0.01052236688056871]"
bulk/series/avx2/local/k6/h0/u8/encode,0.029876838037986166,0.027338328891341652,0.9150342099984948,0.029542727934730166,0.03014861695029401,0.027064050459109024,0.027591042724314556,True,False,True,"[0.02956780494116289, 0.027199315439662364, 0.03005059171192465, 0.02750599604553913]"
bulk/series/avx2/local/k64/h0/u64/decode,0.08202919205441488,0.07756403232947473,0.945566211087656,0.0813516321070392,0.08259051034735168,0.07732421534223252,0.07787181355817137,True,False,True,"[0.08196011075491448, 0.07743898303085814, 0.08209827335391527, 0.07759030284282073]"
bulk/series/avx2/local/k64/h0/u64/encode,0.07768249692429746,0.0778301835050361,1.0019011564584819,0.07733336542381404,0.07863102639335957,0.07747208232387805,0.07805886262763392,False,False,False,"[0.07861752804624367, 0.0779917948892327, 0.0773783568790958, 0.07760169109639145]"
bulk/series/avx512/local/k23/h16/u32/decode,0.08049984923920739,0.08101534404323518,1.0064036741546682,0.07926093270739057,0.08176153990967604,0.08038547797185454,0.08142846473915098,False,False,False,"[0.07940441486795004, 0.08138061393618735, 0.08166268856298584, 0.08041950771985164]"
bulk/series/avx512/local/k23/h16/u32/encode,0.061693373951030556,0.06203125727559017,1.0054768170861883,0.06126009883867375,0.0623476864621246,0.0615392203905863,0.06331127227157028,False,False,False,"[0.06133830565296708, 0.0627891431932228, 0.06202178353427349, 0.06157891626223013]"
bulk/series/avx512/local/k6/h0/u8/decode,0.005735526425169055,0.005747764356483803,1.0021337067267349,0.005185975864174516,0.006288918986877946,0.005227728306074127,0.006341699666998827,False,False,False,"[0.005196778253409264, 0.006300367043058971, 0.006280233714572494, 0.005234761826130368]"
bulk/series/avx512/local/k6/h0/u8/encode,0.008472447105183209,0.00846145563244768,0.9987026802765397,0.00844233598933396,0.008490029401116164,0.008419189819840316,0.008495544795445845,False,False,False,"[0.0084884617274517, 0.008461162428688678, 0.00846035336812237, 0.008461748836206682]"
bulk/series/avx512/local/k64/h0/u64/decode,0.058297413845951676,0.05860464711797825,1.0052701012233307,0.05813719044945302,0.05841249619246047,0.058572671045692255,0.058675967958071076,False,True,True,"[0.05833121397773497, 0.05858740504467097, 0.058203261148202824, 0.058621889191285526]"
bulk/series/avx512/local/k64/h0/u64/encode,0.06657777741578308,0.0598919595501617,0.8995788365858483,0.05976981753335125,0.07371574508285494,0.05969773852050291,0.06007315070623543,False,False,True,"[0.07353194842413324, 0.060036764033225845, 0.05977847462701831, 0.0597071042526385]"
resident/calico/local/k1/h0/u64/get16,1.8712314952910745,1.9181063052116851,1.0250502463423528,1.82362904518341,1.9145576821491752,1.872802004255812,1.9814286705212676,False,False,False,"[1.828146776396476, 1.960281936563195, 1.9117993233981065, 1.877005603720955]"
resident/calico/local/k5/h0/u64/get16,1.9131367205926926,1.9318940160509968,1.009804472025655,1.8619676882379175,1.9598200199635085,1.884614647568889,1.9722998367478939,False,False,False,"[1.8619730201532054, 1.9718311129100876, 1.9584454723202651, 1.8891805507398574]"
resident/calico/local/k56/h0/u64/get16,3.523826815146542,3.8277091979169295,1.0862364692453679,3.1202990024620747,3.9762497333361746,3.1705575038198823,4.754299137820764,False,False,False,"[3.123031398219937, 4.57856425346428, 3.92616274833536, 3.1733796413823736]"
resident/calico/local/k6/h0/u64/get16,1.9181810600294464,1.9450334296169134,1.0139988711947008,1.8757857639727906,1.967605972666805,1.8709214606501363,2.0658018529429727,False,False,False,"[1.876650477509989, 2.028445846930155, 1.9610225164957071, 1.8772938498003684]"
resident/calico/local/k7/h0/u64/get16,1.9606402106909784,2.020746721335395,1.0306565734583366,1.9077633998520263,2.013106739151111,1.9144202945054398,2.162951381726936,False,False,False,"[1.9102138735346759, 2.1478623695872776, 2.0106019743693087, 1.9157609983752084]"
resident/calico/striped/k1/h0/u64/get16,1.8462266656052668,1.8764582851040021,1.0163748146757614,1.80537157035288,1.8797255274673543,1.840255403451119,1.9192195831929575,False,False,False,"[1.8078636331399807, 1.9090326647943006, 1.8790856646318326, 1.8450369166142164]"
resident/calico/striped/k5/h0/u64/get16,10.122948904356353,9.93356255411748,0.9812913853435167,10.065042946661125,10.230778738325062,9.880250802226241,10.041959022139784,True,False,True,"[10.1375903905107, 9.926469249659144, 10.108307418202006, 9.940655858575813]"
resident/calico/striped/k56/h0/u64/get16,3.5912648128524367,3.8232493623102837,1.0645968931691197,3.1300484811855456,4.219856592412766,3.1954203079077885,4.640854581006808,False,False,False,"[3.144377320145561, 4.473212775946994, 4.053535675597971, 3.2038743333853077]"
resident/calico/striped/k6/h0/u64/get16,2.0519408321319395,2.080577851616394,1.013956064929368,1.9932665271398138,2.0899431783644213,1.99882374484487,2.2331468874381177,False,False,False,"[1.9949325880301279, 2.1493115450456846, 2.0898164559391703, 2.0109368041320312]"
resident/calico/striped/k7/h0/u64/get16,10.546947531816915,10.14380115655186,0.9617760139558023,10.46529629562012,10.586842337570568,10.024834963014385,10.258638969506093,True,False,True,"[10.544653838554025, 10.181925226864086, 10.549241225079808, 10.08864299230566]"
resident/predecessor/local/k1/h0/u64/get16,1.33474453042993,1.347612873348453,1.0096410531192648,1.2691209834551713,1.3767346927667374,1.3094646298584387,1.3732286222583934,False,False,False,"[1.2704144547265412, 1.373167294074171, 1.3607565142181175, 1.3197797047909714]"
resident/predecessor/local/k5/h0/u64/get16,1.6151080518789713,1.6158959056772564,1.0004878025326964,1.6048224382244336,1.6271297008799908,1.607558029934086,1.6436270958474029,False,False,False,"[1.6059993554547274, 1.6390354292841518, 1.6236193400147003, 1.6076409451662148]"
resident/predecessor/local/k56/h0/u64/get16,1.8794892064769666,1.9145598587846924,1.0186596720996681,1.8363935662396114,1.9149198171834778,1.8532013208748372,2.0272704727169124,False,False,False,"[1.839662683344575, 1.9780409933262375, 1.912815866175684, 1.8575666657923244]"
resident/predecessor/local/k6/h0/u64/get16,1.6109819200889455,1.6148209612942588,1.0023830442523534,1.600170075641292,1.6158705422748971,1.6095941925250823,1.6163855224874435,False,False,False,"[1.6018870500384803, 1.6154592184263654, 1.6143363240300794, 1.612310447149701]"
