case,best_ordinary,ordinary_ns,best_retained_prior,prior_ns,ratio
local/k1/h0/u64/get16,series/avx512,3.2384168743438337,predecessor,1.3898208788148225,2.330096578420531
local/k12/h0/u64/get16,series/avx512,3.1852911691699335,calico,2.272048829875266,1.4019466163254968
local/k2/h0/u64/get16,series/avx2,3.3388276088248974,predecessor,1.6046688652963137,2.080695700547763
local/k3/h0/u64/get16,series/avx512,3.3449829422619306,predecessor,1.607238815607258,2.08119845649578
local/k4/h0/u64/get16,series/avx2,3.33031664638989,predecessor,1.6067395399574076,2.0727171788391865
local/k5/h0/u64/get16,series/avx512,3.3358610152988124,predecessor,1.607519354519225,2.0751607163675474
local/k56/h0/u64/get16,series/avx2,2.7776098587464952,predecessor,1.826243295269907,1.5209418514721953
local/k6/h0/u64/get16,series/avx512,3.338502819119535,predecessor,1.6093158288669533,2.0744857903187492
local/k7/h0/u64/get16,series/avx512,3.3365772044842923,predecessor,1.833186760094148,1.8200967174304346
striped/k1/h0/u64/get16,series/avx512,2.949942072403318,calico,1.814567495234716,1.62569983213644
striped/k12/h0/u64/get16,series/avx512,3.3072421194558395,calico,2.2438904249661773,1.4738875315204798
striped/k2/h0/u64/get16,series/avx2,2.7393986164560244,predecessor,1.6057089038268666,1.7060368849716465
striped/k3/h0/u64/get16,series/avx512,4.853884271924713,calico,2.122462551447851,2.2869116200017783
striped/k4/h0/u64/get16,series/avx512,2.729330147695332,predecessor,1.8310481330964814,1.4905835069882996
striped/k5/h0/u64/get16,series/avx512,5.970926367815121,predecessor,2.1802295169476067,2.7386687141886856
striped/k6/h0/u64/get16,series/avx512,5.773094596431822,calico,1.9992125131861247,2.8876843048722716
striped/k7/h0/u64/get16,series/avx512,5.10990110484704,predecessor,4.08041906502803,1.252298115319177
