case,best_ordinary,ordinary_ns,best_retained_prior,prior_ns,ratio,same_wire
local/k1/h0/u64/get16,series/avx512,2.8317714403261998,predecessor,1.3895604389795773,2.0378900844397307,True
local/k12/h0/u64/get16,series/avx512,3.157899834331393,calico,2.2787839712894664,1.3857828886449786,False
local/k2/h0/u64/get16,series/avx512,2.929785873999667,predecessor,1.6077462319674019,1.8222937275458473,True
local/k3/h0/u64/get16,series/avx2,2.9176987841351547,predecessor,1.6093067981809952,1.813015882013945,True
local/k4/h0/u64/get16,series/avx512,2.8595216449124257,predecessor,1.6057668005636958,1.7807826416068673,True
local/k5/h0/u64/get16,series/avx512,2.9356896019079195,predecessor,1.6099194931124436,1.8235008734706204,True
local/k56/h0/u64/get16,series/avx512,3.0191002641808113,predecessor,1.8237716779091615,1.6554156974528842,True
local/k6/h0/u64/get16,series/avx2,2.957324410743732,predecessor,1.611919306578943,1.8346603323588262,True
local/k7/h0/u64/get16,series/avx2,2.951712418513738,predecessor,1.8337474869418955,1.6096613298902187,True
striped/k1/h0/u64/get16,series/avx512,2.764428689895059,predecessor,1.618086719211966,1.70845521261146,True
striped/k12/h0/u64/get16,series/avx512,2.9242217169307696,calico,2.251945539476061,1.2985312769202761,False
striped/k2/h0/u64/get16,series/avx512,2.923058591876596,predecessor,1.6084497041829655,1.8173142649563943,True
striped/k3/h0/u64/get16,series/avx512,4.675194882835266,calico,2.017919703671245,2.316838908074282,False
striped/k4/h0/u64/get16,series/avx2,2.90332119084721,predecessor,1.8316965607438465,1.5850448448012482,True
striped/k5/h0/u64/get16,series/avx512,5.896087532215676,predecessor,2.198863372314299,2.681425142850079,True
striped/k6/h0/u64/get16,series/avx512,5.6217899408475205,calico,2.0698222285514376,2.7160738073539403,False
striped/k7/h0/u64/get16,series/avx2,5.177368270800996,predecessor,4.086183695762562,1.2670424670750877,True
