case,best_ordinary,ordinary_ns,best_retained_prior,prior_ns,ratio
local/k1/h0/u64/get16,series/avx512,2.5171590234998487,predecessor,1.3928364179566328,1.8072179841425016
local/k12/h0/u64/get16,series/avx512,2.9645079834469685,calico,2.263622498481728,1.3096300224243853
local/k2/h0/u64/get16,series/avx512,2.5030474477083473,predecessor,1.6060575617072894,1.5585041952341543
local/k3/h0/u64/get16,series/avx512,2.50391271356869,predecessor,1.6086826631243876,1.5564988490057974
local/k4/h0/u64/get16,series/avx512,2.5229475393647736,predecessor,1.6078947000584944,1.5690999785452306
local/k5/h0/u64/get16,series/avx512,2.5038142024766232,predecessor,1.6081515058755906,1.5569516885247519
local/k56/h0/u64/get16,series/avx2,2.778056810323325,predecessor,1.935962322802749,1.4349746261081422
local/k6/h0/u64/get16,series/avx2,2.5118630001149684,predecessor,1.6113497607485212,1.5588564700863774
local/k7/h0/u64/get16,series/avx512,2.5098652763657765,predecessor,1.8328627541708613,1.3693689124591182
striped/k1/h0/u64/get16,series/avx512,2.9490122950976403,predecessor,1.829546194233325,1.6118818450131727
striped/k12/h0/u64/get16,series/avx512,2.9824083768665632,calico,2.2389608537471206,1.332050255311615
striped/k2/h0/u64/get16,series/avx2,2.7491021969733045,predecessor,1.6075177274844161,1.7101535802503025
striped/k3/h0/u64/get16,series/avx512,4.854123495568398,calico,2.0311136529891543,2.3898827564004947
striped/k4/h0/u64/get16,series/avx512,2.733217819516492,predecessor,1.8327209469933574,1.491344235466087
striped/k5/h0/u64/get16,series/avx512,5.871957023640382,predecessor,2.1944461298721096,2.6758264619521985
striped/k6/h0/u64/get16,series/avx2,5.814182980257374,calico,2.0048202012204444,2.9001019526429155
striped/k7/h0/u64/get16,series/avx512,5.102131880806688,predecessor,4.068616157281777,1.25402143715995
