case,best_ordinary,ordinary_ns,best_retained_prior,prior_ns,ratio,same_wire
local/k1/h0/u64/get16,series/avx512,2.5272463357735617,predecessor,1.393941728715729,1.813021508511674,True
local/k12/h0/u64/get16,series/avx512,2.964545637339133,calico,2.2756248654858933,1.3027391650979085,False
local/k2/h0/u64/get16,series/avx512,2.7318899120028517,predecessor,1.6060082883906488,1.7010434701681572,True
local/k3/h0/u64/get16,series/avx2,2.731387752711277,predecessor,1.6104757229485862,1.6960129940428015,True
local/k4/h0/u64/get16,series/avx512,2.5278629444548355,predecessor,1.6066835067532934,1.5733421883212182,True
local/k5/h0/u64/get16,series/avx2,2.7294623921937617,predecessor,1.6105660494725078,1.6947224195416974,True
local/k56/h0/u64/get16,series/avx512,2.7719876381697386,predecessor,1.8355737200157565,1.5101478126119303,True
local/k6/h0/u64/get16,series/avx2,2.7267887060147737,predecessor,1.6084636799524326,1.6952752741643589,True
local/k7/h0/u64/get16,series/avx512,2.7284695308972395,predecessor,1.8313770553982085,1.4898458637202758,True
striped/k1/h0/u64/get16,series/avx512,2.5060546019582812,predecessor,1.8332476425959021,1.3670027680546617,True
striped/k12/h0/u64/get16,series/avx512,2.7734321545774856,calico,2.245651173475637,1.2350235812826584,False
striped/k2/h0/u64/get16,series/avx512,2.733265061240952,predecessor,1.6060478713305657,1.7018577777364248,True
striped/k3/h0/u64/get16,series/avx512,4.567644616702227,calico,2.0129505583241283,2.2691290642056283,False
striped/k4/h0/u64/get16,series/avx512,2.7771355022978206,predecessor,1.8313050890413407,1.5164788865145387,True
striped/k5/h0/u64/get16,series/avx512,5.833679930645754,predecessor,2.161808323141119,2.6985185819663173,True
striped/k6/h0/u64/get16,series/avx512,5.549400466754785,calico,2.00174010767767,2.7722881933923746,False
striped/k7/h0/u64/get16,series/avx2,5.080739629378258,predecessor,4.073126213563905,1.2473808477770474,True
