case,unit,before_median,after_median,after_over_before,before_min,before_max,after_min,after_max,block0_before,block1_after,block2_after,block3_before,improvement_ranges_separated,loss_ranges_separated,both_edges_agree
bulk/calico/local/k6/h0/u8/decode,ns/value,0.009844903885208811,0.009825323089670799,0.9980110729605567,0.0098151397052087,0.009857489599461642,0.009795770836814334,0.009853598173049927,0.009844458862768461,0.009843126562362123,0.009802206116553115,0.009845348907649163,False,False,True
bulk/calico/local/k6/h0/u8/encode,ns/value,0.014427409925098843,0.014389668967617241,0.9973840794933021,0.014398552152737656,0.014521295319713308,0.014360241006118971,0.014433939335887215,0.01441585473388121,0.014419191299274589,0.014382168343777571,0.014427772883278562,False,False,False
bulk/predecessor/local/k6/h0/u8/decode,ns/value,0.00979536524624363,0.009714146870645455,0.9917084893154626,0.009761816383099031,0.009853317331531972,0.009694528404682207,0.00974426251473063,0.009774766339329765,0.00971774015228042,0.009710553589010488,0.009843086786203551,True,False,True
bulk/predecessor/local/k6/h0/u8/encode,ns/value,0.01409964121005592,0.01422232454049873,1.0087011668321966,0.014004101334496496,0.014208558308792063,0.0140839282013315,0.014377613911229568,0.014090908529031176,0.014298978485353367,0.014168825209507864,0.014183878425347823,False,False,False
bulk/series/avx2/local/k23/h16/u32/decode,ns/value,0.13208467744850177,0.1318789425118133,0.9984424011879146,0.13179365572453497,0.1326325064229948,0.13142094707978694,0.13218989952694132,0.13215885828654755,0.13190702526472237,0.13150028077824497,0.13202674354142055,False,False,True
bulk/series/avx2/local/k23/h16/u32/encode,ns/value,0.17222713143092072,0.17131886046675104,0.9947263189218594,0.17109638040251093,0.17248994147170385,0.17079446826508957,0.17201746106847185,0.17232949510016948,0.1711370859176971,0.17186232433335016,0.172124767761672,False,False,True
bulk/series/avx2/local/k6/h0/u8/decode,ns/value,0.01192439202093015,0.011465462804117664,0.961513407475454,0.011833558955130361,0.011975841662945255,0.011435702664534829,0.011528555680796172,0.01191538818142078,0.011458007269457155,0.011520941018074174,0.011933395860439521,True,False,True
bulk/series/avx2/local/k6/h0/u8/encode,ns/value,0.028607008163092945,0.02856287850343887,0.9984573829111215,0.028474662144762165,0.02866282764828259,0.028434561555627562,0.02870823943713763,0.02860127792956418,0.028506196957596174,0.028619560049281567,0.028612738396621706,False,False,False
bulk/series/avx2/local/k64/h0/u64/decode,ns/value,0.1625999256324155,0.15997007050413953,0.9838262218260715,0.1622610595912253,0.16311839852169993,0.1594149932164883,0.1605757622323955,0.16293840604519644,0.15994105118598065,0.15999908982229843,0.16231993573604658,True,False,True
bulk/series/avx2/local/k64/h0/u64/encode,ns/value,0.16050443744104576,0.1604445764360508,0.9996270445481177,0.15971137872994096,0.16133655915684067,0.1601747226914083,0.16067688053086565,0.1605318447668129,0.160604584500743,0.16033544917312934,0.16047703011527864,False,False,False
bulk/series/avx512/local/k23/h16/u32/decode,ns/value,0.16431440690976806,0.16346784096658673,0.994847889731019,0.1637927179644973,0.16512766608129237,0.1631384617934318,0.16476526747743797,0.16427534244160444,0.1633199384355826,0.16351686575934204,0.16435347137793171,False,False,True
bulk/series/avx512/local/k23/h16/u32/encode,ns/value,0.18861643784974777,0.18891450191543982,1.0015802655860222,0.18824080450067143,0.1892021018730732,0.18775114940349952,0.1897693113461838,0.18830292430976484,0.18877761304135388,0.18949716273793984,0.188975024117434,False,False,True
bulk/series/avx512/local/k6/h0/u8/decode,ns/value,0.009174237146948313,0.008810578989884684,0.9603609377827567,0.009109584883766886,0.009250698829559572,0.008796207125394116,0.008821489166541862,0.009214284805664205,0.008821372419241509,0.008797269673459684,0.009116796379142575,True,False,True
bulk/series/avx512/local/k6/h0/u8/encode,ns/value,0.015645704777558757,0.015635174352531353,0.9993269446677463,0.015620277550371025,0.015683619945362024,0.015582921052881877,0.01568012601209794,0.015646280006474302,0.015620791698653281,0.01563949366014351,0.015645129548643215,False,False,True
bulk/series/avx512/local/k64/h0/u64/decode,ns/value,0.1575210875327439,0.15514519095590637,0.9849169618236437,0.1559676664435415,0.15913182823513816,0.15475018227469411,0.15630334252760172,0.15899422811049263,0.15603426292693207,0.1550493057930485,0.15612171848363596,False,False,True
