case,unit,before_median,after_median,after_over_before,before_min,before_max,after_min,after_max,block0_before,block1_after,block2_after,block3_before,improvement_ranges_separated,loss_ranges_separated,both_edges_agree
bulk/calico/local/k6/h0/u8/decode,ns/value,0.0051210455564941835,0.005129186827660121,1.0015897673777991,0.005100531919384926,0.005139701267743107,0.005102544977569744,0.0051588884760453615,0.005108378829778114,0.005147461004851759,0.005119361472371271,0.005130990662471401,False,False,False
bulk/calico/local/k6/h0/u8/encode,ns/value,0.007120928642573519,0.00711920841390787,0.9997584263581347,0.007101466709671456,0.0071398582461881235,0.007100833809921055,0.007157882525304072,0.007131485308969502,0.007132801632582745,0.0071076514817419835,0.007112999065158359,False,False,False
bulk/predecessor/local/k6/h0/u8/decode,ns/value,0.004167742964878514,0.004114391075708582,0.9871988532835332,0.004113577379323009,0.004214625774216849,0.004085431971068189,0.004147918430517179,0.004204571458148182,0.004121986279939655,0.004099081298884502,0.0041271783287560124,False,False,True
bulk/predecessor/local/k6/h0/u8/encode,ns/value,0.007113762121008603,0.007101152676071946,0.9982274576065148,0.007087253507765091,0.007147270518300649,0.007087702094345401,0.007126840102799798,0.007138827930012118,0.0070973501657924844,0.007118873312371856,0.007108609082611299,False,False,False
bulk/series/avx2/local/k23/h16/u32/decode,ns/value,0.07814710013734384,0.07835397102715003,1.002647198545341,0.0775347538106735,0.07875880792481812,0.0781289586152315,0.07871566274222351,0.07867918343782555,0.07813286890933754,0.0786365715699574,0.07784309150985018,False,False,False
bulk/series/avx2/local/k23/h16/u32/encode,ns/value,0.10289170106930509,0.10323575905926034,1.0033438847485232,0.10232986468814395,0.10372969449002437,0.10293074579809432,0.10377002177672391,0.10343817447257303,0.10307997123394433,0.1033796769641578,0.1024008857727204,False,False,False
bulk/series/avx2/local/k6/h0/u8/decode,ns/value,0.010873739384868176,0.010544761325263611,0.9697456369000007,0.010806723914127644,0.011000738904730785,0.010530134976132376,0.010553921408609755,0.010821823040478821,0.010550375565908555,0.010543733654736695,0.01098579088616611,True,False,True
bulk/series/avx2/local/k6/h0/u8/encode,ns/value,0.027516486563612635,0.027045069462110688,0.9828678308761504,0.027436234905422095,0.027611394407238084,0.026941693314441746,0.02712792105367088,0.027456866654203774,0.026987502647007288,0.027124044996253992,0.027538796674057064,True,False,True
bulk/series/avx2/local/k64/h0/u64/decode,ns/value,0.07803757879163417,0.07827224555778287,1.003007099525413,0.07779404748403418,0.07869576475508235,0.07799159961262989,0.07863033506667189,0.07797454145940176,0.07844303549869097,0.07801215461915578,0.07835631526464647,False,False,False
bulk/series/avx2/local/k64/h0/u64/encode,ns/value,0.07703129861804271,0.07757413025284476,1.0070468970994981,0.07659280118806322,0.07740225836983344,0.07738475362657246,0.07774733988505636,0.07720649860512653,0.07752626220495984,0.07760656717840164,0.07682982141035763,False,False,True
bulk/series/avx512/local/k23/h16/u32/decode,ns/value,0.08089296229691567,0.08096351603715116,1.0008721863834893,0.08046991831704826,0.08120864526897836,0.08084869901751857,0.08106452580681935,0.08098224086237395,0.08095886181415168,0.08096817026015064,0.08066606845658848,False,False,False
