scope,case,category,unit,before,after,ratio,before_min,before_max,after_min,after_max,separated_win,separated_loss,both_edges_agree,block_medians
boundary,boundary/series/avx2/local/k7/h0/u64/dense/complete-suffix,control,ns/query,5.624743554214291,5.627688302100127,1.0005235346033918,5.6192350944106355,5.629616866731873,5.624307002091601,5.631826935456182,False,False,False,"[5.619312594068453, 5.628353521156888, 5.625914264345355, 5.62733427154025]"
boundary,boundary/series/avx2/local/k7/h0/u64/dense/crossing,control,ns/query,10.812676522781299,10.835348827452757,1.002096826315269,10.787100614280977,10.84536817297869,10.81931872565841,10.839037198446858,False,False,True,"[10.826567598635567, 10.835153619875804, 10.83554403502971, 10.789471161774394]"
boundary,boundary/series/avx2/local/k7/h0/u64/dense/eight,control,ns/query,3.3260825145316617,3.349128648806718,1.0069289123689409,3.3235123245689717,3.332487705240385,3.3351555041841885,3.365241076226695,False,True,True,"[3.325748983796433, 3.3586230093320455, 3.3385069941655057, 3.3318541778715924]"
boundary,boundary/series/avx2/local/k7/h0/u64/dense/full,control,ns/query,2.7425174204265454,2.7833687358279615,1.0148955536607174,2.7397850700712034,2.7477690136549167,2.760035143457301,2.809346549828434,False,True,True,"[2.7430757925940346, 2.808982901019076, 2.7606132820063873, 2.7407154093962838]"
boundary,boundary/series/avx2/local/k7/h0/u64/dense/last-lane,control,ns/query,4.913877732412299,4.918035108603987,1.0008460479519596,4.912242506735535,4.914655015154926,4.91271857810571,4.923650217278947,False,False,True,"[4.914265501047828, 4.919717649568842, 4.917155774707705, 4.913489963776769]"
boundary,boundary/series/avx2/local/k7/h0/u64/dense/short,control,ns/query,3.8846181914943827,3.8958629789793617,1.0028946956768108,3.8819011681633504,3.8898770144064105,3.886566464607554,3.9052399440676027,False,False,True,"[3.8855659918355805, 3.9021420921099677, 3.8867063374437487, 3.8819863220624202]"
boundary,boundary/series/avx2/striped/k12/h0/u64/dense/complete-suffix,affected,ns/query,8.577938178629577,12.258095506410847,1.4290258627591574,8.576545549601361,8.58577841176781,12.240664247657945,12.260324848733966,False,True,True,"[8.576894768657656, 12.259186851049563, 12.255444519090796, 8.58159672237346]"
boundary,boundary/series/avx2/striped/k12/h0/u64/dense/crossing,affected,ns/query,11.209696616216233,11.253783620601375,1.003932934663135,11.159880959610053,11.244799641046537,11.218127316960125,11.272975126453764,False,False,True,"[11.161924967035686, 11.245611720385838, 11.260652333803609, 11.233425517165147]"
boundary,boundary/series/avx2/striped/k12/h0/u64/dense/eight,affected,ns/query,2.7239747880080545,4.960878959783546,1.8211912171959785,2.7231660931929396,2.7250892598043372,4.955261168644649,4.963867010426116,False,True,True,"[2.7238500118216087, 4.9616311574493706, 4.956893472673669, 2.7240995641945003]"
boundary,boundary/series/avx2/striped/k12/h0/u64/dense/full,affected,ns/query,3.301143258561199,3.6624838698766276,1.1094592336695255,3.2986419727470313,3.304639195662886,3.661519497139421,3.6644317726199493,False,True,True,"[3.3006060617492645, 3.6618067524335127, 3.663160987319742, 3.3018296897463344]"
boundary,boundary/series/avx2/striped/k12/h0/u64/dense/last-lane,affected,ns/query,4.3998660886245,10.861374436331523,2.46856931951014,4.3864416866876565,4.412819465795518,10.850965125339886,10.88589412457302,False,True,True,"[4.405408141679161, 10.859283295477113, 10.86968923087119, 4.389173831472955]"
boundary,boundary/series/avx2/striped/k12/h0/u64/dense/short,affected,ns/query,3.9893787276945663,6.232707514571594,1.5623253493842715,3.9865073895514107,3.990528922658302,6.228771578356994,6.236581256297635,False,True,True,"[3.989925355004064, 6.233673119458528, 6.230625374294204, 3.987199021506808]"
boundary,boundary/series/avx2/striped/k21/h16/u64/gapped/complete-suffix,affected,ns/query,38.13948490481418,40.01189215993749,1.0490936691933919,37.977238434215394,38.53293035982439,39.79519099331728,40.68219493226685,False,True,True,"[38.015538364906995, 39.82216073055882, 40.15388048608554, 38.14474236199503]"
boundary,boundary/series/avx2/striped/k21/h16/u64/gapped/crossing,affected,ns/query,12.515651548859065,10.21320531978186,0.8160346490880774,12.496523664399351,12.57429388455511,10.185755841085093,10.365932883725348,True,False,True,"[12.543326199284921, 10.211101561770768, 10.341739543048233, 12.51349632662025]"
boundary,boundary/series/avx2/striped/k21/h16/u64/gapped/eight,affected,ns/query,3.649698448286058,5.96441154606824,1.6342203693209774,3.634710244121853,3.6681947292521055,5.954438029999087,5.9833347416596565,False,True,True,"[3.6595063588521097, 5.964614944549988, 5.962520516093711, 3.6448961607450387]"
boundary,boundary/series/avx2/striped/k21/h16/u64/gapped/full,affected,ns/query,4.038589541096599,4.807496164168901,1.1903898911359834,4.035240117987767,4.050138399403591,4.787490429253761,4.85255861236893,False,True,True,"[4.035468857596958, 4.8143991294579465, 4.800593198879856, 4.043436002020924]"
boundary,boundary/series/avx2/striped/k21/h16/u64/gapped/last-lane,affected,ns/query,5.04063397680628,9.285969211335988,1.8422224771852074,5.027233317290745,5.062256300041685,9.27871397521662,9.295889399875085,False,True,True,"[5.027862358301005, 9.2915003300119, 9.285409080644635, 5.059020224927109]"
boundary,boundary/series/avx2/striped/k21/h16/u64/gapped/short,affected,ns/query,7.535389792154735,6.586170324606515,0.8740318027693174,7.518933164302506,7.560005909143368,6.579532024710453,6.592839756898951,True,False,True,"[7.539183385218523, 6.592579912415058, 6.582662231266436, 7.531596199090947]"
boundary,boundary/series/avx2/striped/k22/h16/u64/gapped/complete-suffix,affected,ns/query,20.426592581215836,21.854223818724968,1.0698908166808974,19.725723901925463,21.11882428525519,21.819478619405338,21.896163067044757,False,True,True,"[19.7401690358002, 21.87335098398916, 21.82220626620992, 21.115185311596612]"
boundary,boundary/series/avx2/striped/k22/h16/u64/gapped/crossing,affected,ns/query,11.063726869588296,10.043946618745045,0.9078266968388022,11.05487347427332,11.073990863436798,10.032650117019072,10.047078675616566,True,False,True,"[11.0649653445108, 10.0433816387249, 10.044511598765189, 11.062488394665792]"
boundary,boundary/series/avx2/striped/k22/h16/u64/gapped/eight,affected,ns/query,6.53161573884211,5.620543955175255,0.8605135666127897,6.516258656959518,6.562160099678818,5.60391605592565,5.64257462543303,True,False,True,"[6.543456114039922, 5.6176483651261035, 5.639549799704783, 6.523322885853086]"
boundary,boundary/series/avx2/striped/k22/h16/u64/gapped/full,affected,ns/query,3.869022662415773,4.568678138719579,1.1808351972451228,3.864971227696695,3.882332623529566,4.54058465402031,4.590146570118665,False,True,True,"[3.8678905432187514, 4.575057853103732, 4.544126021827814, 3.8741409424496496]"
boundary,boundary/series/avx2/striped/k22/h16/u64/gapped/last-lane,affected,ns/query,4.88541311719144,9.148259859071523,1.8725662783520622,4.884869856143562,4.889779032306167,9.143081054142948,9.155001934175193,False,True,True,"[4.885619622504428, 9.154681749748974, 9.148082435840188, 4.885206611878454]"
boundary,boundary/series/avx2/striped/k22/h16/u64/gapped/short,affected,ns/query,5.665230404006559,6.626310377036301,1.169645346171631,5.639436144249254,5.720637011711964,6.619569248634141,6.633454763902091,False,True,True,"[5.6472701834544345, 6.6197115237052335, 6.632347739079463, 5.680518463934424]"
boundary,boundary/series/avx2/striped/k28/h16/u64/gapped/complete-suffix,affected,ns/query,13.554445672235019,15.573958518439905,1.148992654885302,13.528320070756653,13.581965534968946,15.562923299093663,15.612638773450705,False,True,True,"[13.538889089446208, 15.595718801947175, 15.566204052403135, 13.572868443351155]"
boundary,boundary/series/avx2/striped/k28/h16/u64/gapped/crossing,affected,ns/query,11.061378639494,11.701613895465862,1.0578802405050975,11.010634633050879,11.141085796597487,11.674733857438664,11.726930872090831,False,True,True,"[11.031072968765862, 11.703399456230008, 11.699828334701715, 11.090488732058223]"
boundary,boundary/series/avx2/striped/k28/h16/u64/gapped/eight,affected,ns/query,3.039171619194219,5.318660225891417,1.7500361586363993,3.0346642744582284,3.0398386574485188,5.312801740534487,5.3309671292544,False,True,True,"[3.0392994461174565, 5.31908630470011, 5.313201363371507, 3.0390638029157464]"
boundary,boundary/series/avx2/striped/k28/h16/u64/gapped/full,affected,ns/query,4.005962216389378,4.522598237448925,1.1289667733125046,4.003053075396759,4.009788614163618,4.521851642153515,4.526229247037745,False,True,True,"[4.005186957893346, 4.522052185837499, 4.523144289060351, 4.007812118437104]"
boundary,boundary/series/avx2/striped/k28/h16/u64/gapped/last-lane,affected,ns/query,4.916261109652727,11.064841733516166,2.250661933271026,4.904533863346491,4.929113384084595,11.020578209688258,11.10128947613239,False,True,True,"[4.927141186342179, 11.045235751185661, 11.094351551135073, 4.906171013650394]"
boundary,boundary/series/avx2/striped/k28/h16/u64/gapped/short,affected,ns/query,4.851458204524261,6.503484504509954,1.340521597907426,4.8465672622224725,4.857345644065537,6.501289716962425,6.5114782723565225,False,True,True,"[4.851866971856612, 6.507679469814188, 6.501627404084474, 4.851049437191909]"
boundary,boundary/series/avx2/striped/k5/h0/u64/dense/complete-suffix,affected,ns/query,27.10068937029039,28.70894406926506,1.0593436822584206,26.259068158601046,27.94674385875128,26.03530414120163,31.7969164359821,False,False,False,"[26.26500155235958, 26.052821652512094, 31.562221579277917, 27.934329420419715]"
boundary,boundary/series/avx2/striped/k5/h0/u64/dense/crossing,affected,ns/query,11.315944781784502,9.642265527931498,0.8520954912622799,11.267135257368277,11.337624795808418,9.637726229809113,9.682779856793479,True,False,True,"[11.315099478048605, 9.655086078616264, 9.640789280469898, 11.317306104893648]"
boundary,boundary/series/avx2/striped/k5/h0/u64/dense/eight,affected,ns/query,3.213809574223634,7.2112031623658694,2.243817810552106,3.204165214894933,3.219350808114531,7.2051650450747635,7.2387729409749895,False,True,True,"[3.214548639068359, 7.205898540567282, 7.222886212211616, 3.2096745352694644]"
boundary,boundary/series/avx2/striped/k5/h0/u64/dense/full,affected,ns/query,3.66845909919284,3.8885468873385145,1.0599946141403347,3.6426985411365815,3.683024425941957,3.880922135401223,3.8939384897099822,False,True,True,"[3.6725064353729113, 3.8867519720064054, 3.890341802670624, 3.664411763012769]"
boundary,boundary/series/avx2/striped/k5/h0/u64/dense/last-lane,affected,ns/query,4.424822546432161,9.864315295289313,2.229313196580763,4.416877749576985,4.44151653487677,9.83753676804187,9.893186209400692,False,True,True,"[4.42510436197386, 9.842090239549949, 9.879769667529567, 4.420700719120134]"
boundary,boundary/series/avx2/striped/k5/h0/u64/dense/short,affected,ns/query,6.369263512066709,7.292210019090268,1.1449063153494932,6.312191858619528,6.47212002509771,7.251053937669795,7.319728391105659,False,True,True,"[6.370573546453046, 7.310231832367363, 7.280420837415935, 6.367665057139457]"
boundary,boundary/series/avx2/striped/k6/h0/u64/dense/complete-suffix,affected,ns/query,13.055143075388978,14.472392961512988,1.1085587402558423,10.301141184789447,16.13137928647116,13.852613999094014,14.623839532152077,False,False,False,"[10.30556794076051, 13.858957560785488, 14.473014997794424, 15.866910565067638]"
boundary,boundary/series/avx2/striped/k6/h0/u64/dense/crossing,affected,ns/query,9.609085943698005,9.58985767968841,0.9979989497313004,9.574500168874259,9.659269019501185,9.577681718142175,9.598367349175753,False,False,False,"[9.575895217187014, 9.593558181339878, 9.583624893977978, 9.622024181569502]"
boundary,boundary/series/avx2/striped/k6/h0/u64/dense/eight,affected,ns/query,2.8284570508947615,7.1523166094437665,2.528699032987326,2.82512854460883,2.8293302909402778,7.136396602735798,7.177545409782244,False,True,True,"[2.8282459327863743, 7.150995390633555, 7.153637828253978, 2.8286681690031483]"
boundary,boundary/series/avx2/striped/k6/h0/u64/dense/full,affected,ns/query,3.373967366381679,3.5799652702224902,1.0610550967070342,3.3230377230694805,3.434519370353824,3.571448305165728,3.5919903069412,False,True,True,"[3.372518883801801, 3.583561068650387, 3.5719149306503546, 3.375415848961557]"
boundary,boundary/series/avx2/striped/k6/h0/u64/dense/last-lane,affected,ns/query,4.341520759058584,9.17422478401944,2.113136224185366,4.340838916894104,4.347641055410007,9.166832890070904,9.201277202946677,False,True,True,"[4.3447242109563184, 9.17039042271754, 9.17805914532134, 4.34087928247796]"
boundary,boundary/series/avx2/striped/k6/h0/u64/dense/short,affected,ns/query,6.623848512790133,7.122029737394227,1.0752102382236166,6.59273763691848,6.644419940584461,7.109182780972005,7.145123873751367,False,True,True,"[6.626660430959439, 7.11742073931439, 7.138931546388377, 6.61806250252615]"
