case,profile,method,phase,population,operations,universe,trace_digest,columns,secondary_references,stable_ids,payload_bytes,key_bytes,routing_bytes,reference_bytes,summary_entries,pages,nodes,payload_moved,key_moved,relabelled,references_repaired,summary_adjustments,splits,page_relabels,largest_move,correct
d05,keys,natural,points,3277,2048,65536,5532782773955584576,0,0,0,0,67008,63552,0,0,256,257,0,0,0,0,0,0,0,0,1
d05,keys,natural,scan256_after,3277,256,65536,5532782773955584576,0,0,0,0,69472,63552,0,0,256,257,0,0,0,0,0,0,0,0,1
d05,keys,natural,churn,3277,512,65536,5532782773955584576,0,0,0,0,69472,63552,0,0,256,257,0,109536,0,0,0,0,0,0,1
d05,keys,gapped,points,3277,2048,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,0,0,0,0,0,0,0,1
d05,keys,gapped,scan256_after,3277,256,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,0,0,0,0,0,0,0,1
d05,keys,gapped,churn,3277,512,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,8640,540,0,0,0,0,0,1
d05,keys,ranked,points,3277,2048,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,0,0,0,0,0,0,0,1
d05,keys,ranked,scan256_after,3277,256,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,0,0,0,0,0,0,0,1
d05,keys,ranked,churn,3277,512,65536,5532782773955584576,0,0,0,0,73728,3904,0,0,18,0,0,8640,540,0,0,0,0,0,1
d05,keys,blocked,points,3277,2048,65536,5532782773955584576,0,0,0,0,73728,22336,0,0,18,0,0,0,0,0,0,0,0,0,1
d05,keys,blocked,scan256_after,3277,256,65536,5532782773955584576,0,0,0,0,73728,22336,0,0,18,0,0,0,0,0,0,0,0,0,1
d05,keys,blocked,churn,3277,512,65536,5532782773955584576,0,0,0,0,73728,22336,0,0,18,0,0,397528,0,0,0,0,0,0,1
d05,keys,indirect,points,3277,2048,65536,5532782773955584576,0,0,0,0,126160,22336,0,0,18,0,0,0,0,0,0,0,0,0,1
d05,keys,indirect,scan256_after,3277,256,65536,5532782773955584576,0,0,0,0,126160,22340,0,0,18,0,0,0,0,0,0,0,0,0,1
d05,keys,indirect,churn,3277,512,65536,5532782773955584576,0,0,0,0,126160,22340,0,0,18,0,0,1987640,0,0,0,0,0,0,1
d05,deps,natural,points,3277,2048,65536,5532782773955584576,16,4,0,536064,67008,161856,121248,257,256,257,0,0,0,0,0,0,0,0,1
d05,deps,natural,scan256_after,3277,256,65536,5532782773955584576,16,4,0,555776,69472,161856,121248,257,256,257,0,0,0,0,0,0,0,0,1
d05,deps,natural,churn,3277,512,65536,5532782773955584576,16,4,0,555776,69472,161856,121248,257,256,257,876288,109536,0,0,2048,0,0,0,1
d05,deps,gapped,points,3277,2048,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,0,0,0,0,0,0,0,0,1
d05,deps,gapped,scan256_after,3277,256,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,0,0,0,0,0,0,0,0,1
d05,deps,gapped,churn,3277,512,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,69120,8640,540,2160,2048,0,0,0,1
d05,deps,ranked,points,3277,2048,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,0,0,0,0,0,0,0,0,1
d05,deps,ranked,scan256_after,3277,256,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,0,0,0,0,0,0,0,0,1
d05,deps,ranked,churn,3277,512,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,12720896,8640,540,2160,2048,0,0,0,1
d05,deps,blocked,points,3277,2048,65536,5532782773955584576,16,4,0,589824,73728,29248,121248,19,18,0,0,0,0,0,0,0,0,0,1
d05,deps,blocked,scan256_after,3277,256,65536,5532782773955584576,16,4,0,589824,73728,29248,121248,19,18,0,0,0,0,0,0,0,0,0,1
d05,deps,blocked,churn,3277,512,65536,5532782773955584576,16,4,0,589824,73728,29248,121248,19,18,0,0,397528,0,0,2048,0,0,0,1
d05,deps,indirect,points,3277,2048,65536,5532782773955584576,16,4,0,419456,126160,22336,121248,19,18,0,0,0,0,0,0,0,0,0,1
d05,deps,indirect,scan256_after,3277,256,65536,5532782773955584576,16,4,0,419456,126160,22340,121248,19,18,0,0,0,0,0,0,0,0,0,1
d05,deps,indirect,churn,3277,512,65536,5532782773955584576,16,4,0,419456,126160,22340,121248,19,18,0,0,1987640,0,0,2048,0,0,0,1
d20,keys,natural,points,13107,2048,65536,10126532683383999592,0,0,0,0,263632,63552,0,0,256,257,0,0,0,0,0,0,0,0,1
d20,keys,natural,scan256_after,13107,256,65536,10126532683383999592,0,0,0,0,263632,63552,0,0,256,257,0,0,0,0,0,0,0,0,1
d20,keys,natural,churn,13107,512,65536,10126532683383999592,0,0,0,0,263632,63552,0,0,256,257,0,426864,0,0,0,0,0,0,1
d20,keys,gapped,points,13107,2048,65536,10126532683383999592,0,0,0,0,282624,15136,0,0,69,0,0,0,0,0,0,0,0,0,1
d20,keys,gapped,scan256_after,13107,256,65536,10126532683383999592,0,0,0,0,282624,15136,0,0,69,0,0,0,0,0,0,0,0,0,1
d20,keys,gapped,churn,13107,512,65536,10126532683383999592,0,0,0,0,282624,15136,0,0,69,0,0,6448,403,0,0,0,0,0,1
d20,keys,ranked,points,13107,2048,65536,10126532683383999592,0,0,0,0,282624,15136,0,0,69,0,0,0,0,0,0,0,0,0,1
d20,keys,ranked,scan256_after,13107,256,65536,10126532683383999592,0,0,0,0,282624,15136,0,0,69,0,0,0,0,0,0,0,0,0,1
d20,keys,ranked,churn,13107,512,65536,10126532683383999592,0,0,0,0,282624,15136,0,0,69,0,0,6448,403,0,0,0,0,0,1
d20,keys,blocked,points,13107,2048,65536,10126532683383999592,0,0,0,0,282624,85792,0,0,69,0,0,0,0,0,0,0,0,0,1
d20,keys,blocked,scan256_after,13107,256,65536,10126532683383999592,0,0,0,0,282624,85792,0,0,69,0,0,0,0,0,0,0,0,0,1
d20,keys,blocked,churn,13107,512,65536,10126532683383999592,0,0,0,0,282624,85792,0,0,69,0,0,387348,0,0,0,0,0,0,1
d20,keys,indirect,points,13107,2048,65536,10126532683383999592,0,0,0,0,492336,85792,0,0,69,0,0,0,0,0,0,0,0,0,1
d20,keys,indirect,scan256_after,13107,256,65536,10126532683383999592,0,0,0,0,492336,85796,0,0,69,0,0,0,0,0,0,0,0,0,1
d20,keys,indirect,churn,13107,512,65536,10126532683383999592,0,0,0,0,492336,85796,0,0,69,0,0,1936740,0,0,0,0,0,0,1
d20,deps,natural,points,13107,2048,65536,10126532683383999592,16,4,0,2109056,263632,161856,435808,257,256,257,0,0,0,0,0,0,0,0,1
d20,deps,natural,scan256_after,13107,256,65536,10126532683383999592,16,4,0,2109056,263632,161856,435808,257,256,257,0,0,0,0,0,0,0,0,1
d20,deps,natural,churn,13107,512,65536,10126532683383999592,16,4,0,2109056,263632,161856,435808,257,256,257,3414912,426864,0,0,2048,0,0,0,1
d20,deps,gapped,points,13107,2048,65536,10126532683383999592,16,4,0,2260992,282624,41632,435808,70,69,0,0,0,0,0,0,0,0,0,1
d20,deps,gapped,scan256_after,13107,256,65536,10126532683383999592,16,4,0,2260992,282624,41632,435808,70,69,0,0,0,0,0,0,0,0,0,1
d20,deps,gapped,churn,13107,512,65536,10126532683383999592,16,4,0,2260992,282624,41632,435808,70,69,0,51584,6448,403,1612,2048,0,0,0,1
d20,deps,ranked,points,13107,2048,65536,10126532683383999592,16,4,0,2260992,282624,41632,435808,70,69,0,0,0,0,0,0,0,0,0,1
d20,deps,ranked,scan256_after,13107,256,65536,10126532683383999592,16,4,0,2260992,282624,41632,435808,70,69,0,0,0,0,0,0,0,0,0,1
d20,deps,ranked,churn,13107,512,65536,10126532683383999592,16,4,0,2260992,282624,41632,435808,70,69,0,12395136,6448,403,1612,2048,0,0,0,1
d20,deps,blocked,points,13107,2048,65536,10126532683383999592,16,4,0,2260992,282624,112288,435808,70,69,0,0,0,0,0,0,0,0,0,1
d20,deps,blocked,scan256_after,13107,256,65536,10126532683383999592,16,4,0,2260992,282624,112288,435808,70,69,0,0,0,0,0,0,0,0,0,1
d20,deps,blocked,churn,13107,512,65536,10126532683383999592,16,4,0,2260992,282624,112288,435808,70,69,0,0,387348,0,0,2048,0,0,0,1
d20,deps,indirect,points,13107,2048,65536,10126532683383999592,16,4,0,1677696,492336,85792,435808,70,69,0,0,0,0,0,0,0,0,0,1
d20,deps,indirect,scan256_after,13107,256,65536,10126532683383999592,16,4,0,1677696,492336,85796,435808,70,69,0,0,0,0,0,0,0,0,0,1
d20,deps,indirect,churn,13107,512,65536,10126532683383999592,16,4,0,1677696,492336,85796,435808,70,69,0,0,1936740,0,0,2048,0,0,0,1
collision,deps,natural,points,4096,2048,0,7489257858394937713,16,4,0,856192,107024,1670112,147456,2584,2583,2600,0,0,0,0,0,0,0,0,1
collision,deps,natural,secondary,4096,2048,0,7489257858394937713,16,4,0,856192,107024,1670112,147456,2584,2583,2600,0,0,0,0,0,0,0,0,1
collision,deps,natural,scan256_after,4096,256,0,7489257858394937713,16,4,0,863616,107952,1681664,147456,2603,2602,2619,0,0,0,0,0,0,0,0,1
collision,deps,natural,churn,4096,512,0,7489257858394937713,16,4,0,863616,107952,1681664,147456,2603,2602,2619,70528,8816,0,0,2048,0,0,0,1
collision,deps,natural,rebuild,4096,4096,0,7489257858394937713,16,4,0,856192,107024,1670112,147456,2584,2583,2600,0,0,0,0,0,0,0,0,1
collision,deps,natural1024,points,4096,2048,0,7489257858394937713,16,4,0,656128,82016,10048,147456,17,16,17,0,0,0,0,0,0,0,0,1
collision,deps,natural1024,secondary,4096,2048,0,7489257858394937713,16,4,0,656128,82016,10048,147456,17,16,17,0,0,0,0,0,0,0,0,1
