name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations
d05/keys/natural/points/manual_time,0,1,2518,16644.505162827736,16693.655679110412,ns,2048.0
d05/keys/natural/points/manual_time,1,1,2518,16799.9769658461,16829.95750595712,ns,2048.0
d05/keys/natural/points/manual_time,2,1,2518,17035.27760127094,17042.510722795876,ns,2048.0
d05/keys/natural/points/manual_time,3,1,2518,16487.42573471014,16519.940031771257,ns,2048.0
d05/keys/natural/points/manual_time,4,1,2518,16713.10524225562,16745.648133439237,ns,2048.0
d05/keys/natural/points/manual_time,5,1,2518,16730.283955520194,16764.59491660049,ns,2048.0
d05/keys/natural/points/manual_time,6,1,2518,16603.95552025416,16636.864177918967,ns,2048.0
d05/keys/natural/scan256_after/manual_time,0,1,374,127721.3743315509,127774.51069518726,ns,256.0
d05/keys/natural/scan256_after/manual_time,1,1,374,195679.56417112311,195434.04545454562,ns,256.0
d05/keys/natural/scan256_after/manual_time,2,1,374,122824.70320855615,122477.050802139,ns,256.0
d05/keys/natural/scan256_after/manual_time,3,1,374,109053.37433155085,109110.29411764696,ns,256.0
d05/keys/natural/scan256_after/manual_time,4,1,374,107408.66310160425,107449.97593582897,ns,256.0
d05/keys/natural/scan256_after/manual_time,5,1,374,142865.76470588232,116142.82887700536,ns,256.0
d05/keys/natural/scan256_after/manual_time,6,1,374,108879.62834224592,107629.12032085583,ns,256.0
d05/keys/natural/churn/manual_time,0,1,513,75647.36452241715,128948.17933723184,ns,512.0
d05/keys/natural/churn/manual_time,1,1,513,81245.49122807014,139592.02339181292,ns,512.0
d05/keys/natural/churn/manual_time,2,1,513,165703.43859649118,270292.55750487314,ns,512.0
d05/keys/natural/churn/manual_time,3,1,513,87255.15789473685,151037.2807017543,ns,512.0
d05/keys/natural/churn/manual_time,4,1,513,79893.0584795321,136798.00000000003,ns,512.0
d05/keys/natural/churn/manual_time,5,1,513,87208.54580896691,147081.70760233904,ns,512.0
d05/keys/natural/churn/manual_time,6,1,513,81010.19298245617,141529.4814814815,ns,512.0
d05/keys/gapped/points/manual_time,0,1,761,54543.24572930357,54608.1905387648,ns,2048.0
d05/keys/gapped/points/manual_time,1,1,761,54214.86596583447,54050.26281208933,ns,2048.0
d05/keys/gapped/points/manual_time,2,1,761,56149.8896189224,56216.491458607,ns,2048.0
d05/keys/gapped/points/manual_time,3,1,761,54727.21550591328,54789.96846254929,ns,2048.0
d05/keys/gapped/points/manual_time,4,1,761,54453.381077529535,54516.26149802881,ns,2048.0
d05/keys/gapped/points/manual_time,5,1,761,53981.84625492775,54038.60052562413,ns,2048.0
d05/keys/gapped/points/manual_time,6,1,761,54306.74244415245,54364.32325886972,ns,2048.0
d05/keys/gapped/scan256_after/manual_time,0,1,490,87172.47142857139,87248.1285714282,ns,256.0
d05/keys/gapped/scan256_after/manual_time,1,1,490,86675.90612244896,86732.39795918354,ns,256.0
d05/keys/gapped/scan256_after/manual_time,2,1,490,85999.42448979597,85890.90204081645,ns,256.0
d05/keys/gapped/scan256_after/manual_time,3,1,490,86143.06122448973,86231.54693877556,ns,256.0
d05/keys/gapped/scan256_after/manual_time,4,1,490,85453.89183673465,85510.45918367337,ns,256.0
d05/keys/gapped/scan256_after/manual_time,5,1,490,98017.50408163259,98011.8204081633,ns,256.0
d05/keys/gapped/scan256_after/manual_time,6,1,490,94805.19183673472,94877.46530612245,ns,256.0
d05/keys/gapped/churn/manual_time,0,1,445,91523.61797752812,123397.93932584183,ns,512.0
d05/keys/gapped/churn/manual_time,1,1,445,89945.12584269648,121533.98876404481,ns,512.0
d05/keys/gapped/churn/manual_time,2,1,445,91574.75730337085,123557.20898876424,ns,512.0
d05/keys/gapped/churn/manual_time,3,1,445,90025.65393258422,121601.96629213472,ns,512.0
d05/keys/gapped/churn/manual_time,4,1,445,90985.80898876404,122413.38876404492,ns,512.0
d05/keys/gapped/churn/manual_time,5,1,445,89718.27415730333,120879.21123595427,ns,512.0
d05/keys/gapped/churn/manual_time,6,1,445,90610.29438202242,122020.13033707855,ns,512.0
d05/keys/ranked/points/manual_time,0,1,558,74079.02867383522,74118.95161290353,ns,2048.0
d05/keys/ranked/points/manual_time,1,1,558,72890.62903225803,72689.81362007168,ns,2048.0
d05/keys/ranked/points/manual_time,2,1,558,72563.8602150538,72597.44623655926,ns,2048.0
d05/keys/ranked/points/manual_time,3,1,558,72356.83333333324,72262.47132616483,ns,2048.0
d05/keys/ranked/points/manual_time,4,1,558,72710.87813620071,72747.90860215035,ns,2048.0
d05/keys/ranked/points/manual_time,5,1,558,73406.81003584233,73449.37275985625,ns,2048.0
d05/keys/ranked/points/manual_time,6,1,558,72334.1093189965,72374.92473118281,ns,2048.0
d05/keys/ranked/scan256_after/manual_time,0,1,498,86676.1827309237,86740.29317269087,ns,256.0
d05/keys/ranked/scan256_after/manual_time,1,1,498,91949.58032128512,92020.4979919675,ns,256.0
d05/keys/ranked/scan256_after/manual_time,2,1,498,91170.17269076298,91268.57429718923,ns,256.0
d05/keys/ranked/scan256_after/manual_time,3,1,498,86024.18273092367,86082.91566265016,ns,256.0
d05/keys/ranked/scan256_after/manual_time,4,1,498,86398.18072289151,86459.50401606351,ns,256.0
d05/keys/ranked/scan256_after/manual_time,5,1,498,85898.21686746983,85854.6686746994,ns,256.0
d05/keys/ranked/scan256_after/manual_time,6,1,498,86211.80120481926,86277.10843373461,ns,256.0
d05/keys/ranked/churn/manual_time,0,1,404,109705.40841584155,142689.97524752468,ns,512.0
d05/keys/ranked/churn/manual_time,1,1,404,104414.45297029697,136172.1311881191,ns,512.0
d05/keys/ranked/churn/manual_time,2,1,404,107578.53960396041,140001.33910891108,ns,512.0
d05/keys/ranked/churn/manual_time,3,1,404,127291.68069306921,169163.5717821774,ns,512.0
d05/keys/ranked/churn/manual_time,4,1,404,106335.14603960387,138670.37871287155,ns,512.0
d05/keys/ranked/churn/manual_time,5,1,404,106396.41831683175,138608.91089108854,ns,512.0
d05/keys/ranked/churn/manual_time,6,1,404,127126.27227722763,163475.452970297,ns,512.0
d05/keys/blocked/points/manual_time,0,1,323,118151.34055727546,118233.48606811224,ns,2048.0
d05/keys/blocked/points/manual_time,1,1,323,120617.00928792558,120694.14551083624,ns,2048.0
d05/keys/blocked/points/manual_time,2,1,323,124858.01547987618,124946.20743034042,ns,2048.0
d05/keys/blocked/points/manual_time,3,1,323,130411.53560371527,129684.34055727575,ns,2048.0
d05/keys/blocked/points/manual_time,4,1,323,120686.0061919504,120761.73993808054,ns,2048.0
d05/keys/blocked/points/manual_time,5,1,323,141527.4210526315,141614.80804953654,ns,2048.0
d05/keys/blocked/points/manual_time,6,1,323,115117.238390093,115188.33746130107,ns,2048.0
d05/keys/blocked/scan256_after/manual_time,0,1,947,48089.611404435025,48155.40232312593,ns,256.0
d05/keys/blocked/scan256_after/manual_time,1,1,947,60086.272439281915,60165.56599788792,ns,256.0
d05/keys/blocked/scan256_after/manual_time,2,1,947,45958.50263991545,45860.303062302046,ns,256.0
d05/keys/blocked/scan256_after/manual_time,3,1,947,43822.460401267126,43882.567053853905,ns,256.0
d05/keys/blocked/scan256_after/manual_time,4,1,947,44953.5469904962,45015.53115100386,ns,256.0
d05/keys/blocked/scan256_after/manual_time,5,1,947,63833.07286166837,63907.250263992355,ns,256.0
d05/keys/blocked/scan256_after/manual_time,6,1,947,45073.93558606123,45135.031678985404,ns,256.0
d05/keys/blocked/churn/manual_time,0,1,276,150091.09420289853,167559.02898550793,ns,512.0
d05/keys/blocked/churn/manual_time,1,1,276,152742.82246376816,170443.83695652097,ns,512.0
d05/keys/blocked/churn/manual_time,2,1,276,159580.12318840594,178490.7934782627,ns,512.0
d05/keys/blocked/churn/manual_time,3,1,276,151300.00362318847,168304.34057971093,ns,512.0
d05/keys/blocked/churn/manual_time,4,1,276,196509.71739130432,218827.89855072612,ns,512.0
d05/keys/blocked/churn/manual_time,5,1,276,151552.15217391305,168873.6413043471,ns,512.0
d05/keys/blocked/churn/manual_time,6,1,276,157578.73550724646,176317.48188405993,ns,512.0
d05/keys/indirect/points/manual_time,0,1,579,69182.39550949915,69151.12262521527,ns,2048.0
d05/keys/indirect/points/manual_time,1,1,579,63427.89464594128,63492.155440413815,ns,2048.0
d05/keys/indirect/points/manual_time,2,1,579,63560.28842832483,63619.45941278079,ns,2048.0
d05/keys/indirect/points/manual_time,3,1,579,64223.749568221036,64140.40069084732,ns,2048.0
d05/keys/indirect/points/manual_time,4,1,579,63592.873920552716,63653.4248704665,ns,2048.0
d05/keys/indirect/points/manual_time,5,1,579,63614.668393782384,63675.51813471469,ns,2048.0
d05/keys/indirect/points/manual_time,6,1,579,64570.24697754746,64634.28151986134,ns,2048.0
d05/keys/indirect/scan256_after/manual_time,0,1,1215,34170.21316872427,34202.6748971195,ns,256.0
d05/keys/indirect/scan256_after/manual_time,1,1,1215,33262.81975308647,33295.23292181091,ns,256.0
d05/keys/indirect/scan256_after/manual_time,2,1,1215,33246.21810699606,33244.13662551505,ns,256.0
d05/keys/indirect/scan256_after/manual_time,3,1,1215,33605.166255144075,33523.93580246936,ns,256.0
d05/keys/indirect/scan256_after/manual_time,4,1,1215,35206.102880658415,35244.06748971156,ns,256.0
d05/keys/indirect/scan256_after/manual_time,5,1,1215,40395.632098765294,40454.69794238684,ns,256.0
d05/keys/indirect/scan256_after/manual_time,6,1,1215,34347.607407407326,34384.53333333339,ns,256.0
d05/keys/indirect/churn/manual_time,0,1,364,119218.01373626376,142370.99175824056,ns,512.0
d05/keys/indirect/churn/manual_time,1,1,364,127316.04120879127,151459.1318681315,ns,512.0
d05/keys/indirect/churn/manual_time,2,1,364,121675.31593406585,144542.12362637374,ns,512.0
d05/keys/indirect/churn/manual_time,3,1,364,116597.7857142857,138826.5769230768,ns,512.0
d05/keys/indirect/churn/manual_time,4,1,364,116257.47802197804,138806.43406593386,ns,512.0
d05/keys/indirect/churn/manual_time,5,1,364,116651.71703296708,139299.22252747256,ns,512.0
d05/keys/indirect/churn/manual_time,6,1,364,114209.8873626373,136281.019230769,ns,512.0
d05/deps/natural/points/manual_time,0,1,707,60185.94625176794,60226.60396039546,ns,2048.0
d05/deps/natural/points/manual_time,1,1,707,59451.762376237624,59214.22772277247,ns,2048.0
d05/deps/natural/points/manual_time,2,1,707,59722.10325318249,59761.079207920826,ns,2048.0
d05/deps/natural/points/manual_time,3,1,707,59956.44554455457,59788.30693069345,ns,2048.0
d05/deps/natural/points/manual_time,4,1,707,59479.19660537478,59528.052333805244,ns,2048.0
d05/deps/natural/points/manual_time,5,1,707,59174.91089108916,59213.28429985857,ns,2048.0
