case,profile,method,phase,population,operations,universe,trace_digest,columns,secondary_references,stable_ids,payload_bytes,key_bytes,routing_bytes,reference_bytes,summary_entries,pages,nodes,payload_moved,key_moved,relabelled,references_repaired,summary_adjustments,splits,page_relabels,largest_move,redistributions,correct
d05,deps,natural,scan256_after,3277,256,65536,5532782773955584576,16,4,0,555776,69472,161856,121248,257,256,257,0,0,0,0,0,0,0,0,0,1
d05,deps,natural,churn,3277,512,65536,5532782773955584576,16,4,0,555776,69472,161856,121248,257,256,257,876288,109536,0,0,2048,0,0,0,0,1
d05,deps,gapped,scan256_after,3277,256,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,0,0,0,0,0,0,0,0,0,1
d05,deps,gapped,churn,3277,512,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,69120,8640,540,2160,2048,0,0,0,0,1
d05,deps,gapped_tail,scan256_after,3277,256,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,0,0,0,0,0,0,0,0,0,1
d05,deps,gapped_tail,churn,3277,512,65536,5532782773955584576,16,4,0,589824,73728,10816,121248,19,18,0,69120,8640,540,2160,2048,0,0,0,0,1
d05,deps,blocked,scan256_after,3277,256,65536,5532782773955584576,16,4,0,589824,73728,29248,121248,19,18,0,0,0,0,0,0,0,0,0,0,1
d05,deps,blocked,churn,3277,512,65536,5532782773955584576,16,4,0,589824,73728,29248,121248,19,18,0,0,397528,0,0,2048,0,0,0,0,1
d05,deps,indirect,scan256_after,3277,256,65536,5532782773955584576,16,4,0,419456,126160,22340,121248,19,18,0,0,0,0,0,0,0,0,0,0,1
d05,deps,indirect,churn,3277,512,65536,5532782773955584576,16,4,0,419456,126160,22340,121248,19,18,0,0,1987640,0,0,2048,0,0,0,0,1
d20,deps,natural,scan256_after,13107,256,65536,10126532683383999592,16,4,0,2109056,263632,161856,435808,257,256,257,0,0,0,0,0,0,0,0,0,1
d20,deps,natural,churn,13107,512,65536,10126532683383999592,16,4,0,2109056,263632,161856,435808,257,256,257,3414912,426864,0,0,2048,0,0,0,0,1
d20,deps,gapped,scan256_after,13107,256,65536,10126532683383999592,16,4,0,2260992,282624,41632,435808,70,69,0,0,0,0,0,0,0,0,0,0,1
