name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,operations
d05/deps/natural/scan256_after/manual_time,0,1,519,92366.10211946057,92284.84200385357,ns,256.0
d05/deps/natural/scan256_after/manual_time,1,1,519,92141.8747591523,91894.99036608863,ns,256.0
d05/deps/natural/scan256_after/manual_time,2,1,519,94564.49710982658,94483.38150289013,ns,256.0
d05/deps/natural/scan256_after/manual_time,3,1,519,91579.668593449,91625.96339113684,ns,256.0
d05/deps/natural/scan256_after/manual_time,4,1,519,92947.46820809251,92926.62427745666,ns,256.0
d05/deps/natural/scan256_after/manual_time,5,1,519,91577.82080924854,91358.14065510592,ns,256.0
d05/deps/natural/scan256_after/manual_time,6,1,519,91967.02312138732,92010.03468208101,ns,256.0
d05/deps/natural/churn/manual_time,0,1,241,200130.58921161827,437239.1037344397,ns,512.0
d05/deps/natural/churn/manual_time,1,1,241,196772.5518672199,433545.1244813276,ns,512.0
d05/deps/natural/churn/manual_time,2,1,241,198949.4273858922,440456.7759336102,ns,512.0
d05/deps/natural/churn/manual_time,3,1,241,196045.14937759325,430749.8257261412,ns,512.0
d05/deps/natural/churn/manual_time,4,1,241,197573.8921161825,433979.42323651403,ns,512.0
d05/deps/natural/churn/manual_time,5,1,241,196602.44398340248,431380.1825726141,ns,512.0
d05/deps/natural/churn/manual_time,6,1,241,198325.97095435677,436986.3402489634,ns,512.0
d05/deps/gapped/scan256_after/manual_time,0,1,610,81243.61147540993,81312.08852459045,ns,256.0
d05/deps/gapped/scan256_after/manual_time,1,1,610,80922.56721311474,80808.3344262293,ns,256.0
d05/deps/gapped/scan256_after/manual_time,2,1,610,80652.82622950831,80730.66885245929,ns,256.0
d05/deps/gapped/scan256_after/manual_time,3,1,610,80990.29180327865,80790.4360655738,ns,256.0
d05/deps/gapped/scan256_after/manual_time,4,1,610,81121.51639344268,81186.13442622947,ns,256.0
d05/deps/gapped/scan256_after/manual_time,5,1,610,80777.89672131152,80840.98196721324,ns,256.0
d05/deps/gapped/scan256_after/manual_time,6,1,610,80683.74754098355,80709.56229508201,ns,256.0
d05/deps/gapped/churn/manual_time,0,1,291,167270.39518900352,255296.2474226804,ns,512.0
d05/deps/gapped/churn/manual_time,1,1,291,169592.97938144332,259329.8969072169,ns,512.0
d05/deps/gapped/churn/manual_time,2,1,291,168891.4536082474,257862.10996563558,ns,512.0
d05/deps/gapped/churn/manual_time,3,1,291,166840.09621993118,255017.61168384808,ns,512.0
d05/deps/gapped/churn/manual_time,4,1,291,167021.23024054992,254859.53264604713,ns,512.0
d05/deps/gapped/churn/manual_time,5,1,291,166147.793814433,254167.95189003364,ns,512.0
d05/deps/gapped/churn/manual_time,6,1,291,166457.80756013753,255345.64261168247,ns,512.0
d05/deps/gapped_tail/scan256_after/manual_time,0,1,614,80589.4641693812,80439.60260586315,ns,256.0
d05/deps/gapped_tail/scan256_after/manual_time,1,1,614,80166.90390879485,80229.91205211722,ns,256.0
d05/deps/gapped_tail/scan256_after/manual_time,2,1,614,80838.88762214978,80786.50814332247,ns,256.0
d05/deps/gapped_tail/scan256_after/manual_time,3,1,614,81009.30781758958,81069.76058631943,ns,256.0
d05/deps/gapped_tail/scan256_after/manual_time,4,1,614,80473.78501628662,80530.9429967427,ns,256.0
d05/deps/gapped_tail/scan256_after/manual_time,5,1,614,80393.81107491856,80225.29804560269,ns,256.0
d05/deps/gapped_tail/scan256_after/manual_time,6,1,614,81029.01302931599,81087.53908794795,ns,256.0
d05/deps/gapped_tail/churn/manual_time,0,1,290,170073.8862068963,258005.17241379342,ns,512.0
d05/deps/gapped_tail/churn/manual_time,1,1,290,169860.94827586206,259000.71724137894,ns,512.0
d05/deps/gapped_tail/churn/manual_time,2,1,290,166543.15862068965,254697.98620689614,ns,512.0
d05/deps/gapped_tail/churn/manual_time,3,1,290,167792.15172413792,255418.24827586114,ns,512.0
d05/deps/gapped_tail/churn/manual_time,4,1,290,168710.92758620685,258291.52068965512,ns,512.0
d05/deps/gapped_tail/churn/manual_time,5,1,290,166453.93448275863,254811.7827586196,ns,512.0
d05/deps/gapped_tail/churn/manual_time,6,1,290,166955.9862068965,254036.35172413758,ns,512.0
d05/deps/blocked/scan256_after/manual_time,0,1,1171,42187.681468830095,42245.6942783943,ns,256.0
d05/deps/blocked/scan256_after/manual_time,1,1,1171,41966.79846285221,41994.80444064886,ns,256.0
d05/deps/blocked/scan256_after/manual_time,2,1,1171,42364.24508966696,42247.971818957885,ns,256.0
d05/deps/blocked/scan256_after/manual_time,3,1,1171,41865.06148590945,41921.257045260245,ns,256.0
d05/deps/blocked/scan256_after/manual_time,4,1,1171,41913.81468830058,41969.684030742945,ns,256.0
d05/deps/blocked/scan256_after/manual_time,5,1,1171,42024.09137489321,42081.91033304863,ns,256.0
d05/deps/blocked/scan256_after/manual_time,6,1,1171,41738.07856532868,41678.55081127246,ns,256.0
d05/deps/blocked/churn/manual_time,0,1,266,183583.8796992482,258599.93609022466,ns,512.0
