input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:physical_bytes,counter:drawn_bytes,counter:hull_bytes,counter:window_bytes,counter:stride
crossover-neon,cross/16/unit3/draw2/stride3/compact/sum/packet,1,3,"[634.7154921901982,635.3036687248376,627.7639393389857]",634.7154921901982,"[635.1432528156823,635.2798764981429,627.7412822372188]",635.1432528156823,"[0.6198393478419905,0.6204137389890992,0.6130507220107282]",0.6198393478419905,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/compact/sum/window,1,3,"[557.7366935647497,557.3653456292773,556.4951305800915]",557.3653456292773,"[557.9820725846137,558.3611718405913,556.5774535920359]",557.9820725846137,"[0.5446647398093258,0.5443020953410911,0.5434522759571208]",0.5443020953410911,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/compact/update/packet,1,3,"[1541.3258613064068,1539.8492712021944,1540.9818904600975]",1540.9818904600975,"[1542.0973939910257,1539.8081934602799,1540.9257950538033]",1540.9257950538033,"[1.5052010364320378,1.5037590539083932,1.5048651274024387]",1.5048651274024387,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/compact/update/window,1,3,"[1477.6978440076366,1475.12111604284,1475.7621010362868]",1475.7621010362868,"[1477.640139507401,1475.798245615338,1475.708729657245]",1475.798245615338,"[1.4430643007887074,1.440547964885586,1.4411739267932488]",1.4411739267932488,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/spread/sum/packet,1,3,"[1447.557928672177,1446.7601249246482,1409.6872859162959]",1446.7601249246482,"[1447.5014104379309,1447.3370944996375,1409.6424541629683]",1447.3370944996375,"[1.4136307897189226,1.4128516844967267,1.3766477401526327]",1.4128516844967267,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/spread/sum/window,1,3,"[442.24628470211934,442.1063365585153,442.5132802126657]",442.24628470211934,"[442.2297476761635,442.0896414342171,442.7030607731644]",442.2297476761635,"[0.43188113740441336,0.4317444692954251,0.4321418752076813]",0.43188113740441336,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/spread/update/packet,1,3,"[3825.5236145236972,3833.2366912357984,3808.760305758392]",3825.5236145236972,"[3825.383019380198,3833.102921100659,3810.3748293765366]",3825.383019380198,"[3.7358629048082985,3.7433952062849594,3.719492486092179]",3.7358629048082985,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/spread/update/window,1,3,"[2689.8074031236374,2694.8692886062227,2710.857142857483]",2694.8692886062227,"[2689.705031813913,2694.764218239575,2710.760169653387]",2694.764218239575,"[2.626765042112927,2.6317082896545143,2.6473214285717606]",2.6317082896545143,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-neon,cross/16/unit3/draw2/stride4/compact/sum/packet,1,3,"[632.8585015703982,637.792821892696,620.4633467920618]",632.8585015703982,"[632.8388066391034,637.770255719729,620.4397487669576]",632.8388066391034,"[0.618025880439842,0.6228445526295859,0.6059212371016228]",0.618025880439842,1024.0,3.0,2.0,2.0,62.0,4.0
crossover-neon,cross/16/unit3/draw2/stride4/compact/sum/window,1,3,"[580.212356333932,580.1665491057639,579.896684784859]",580.1665491057639,"[580.4088212110961,580.3620596651584,579.8761047254168]",580.3620596651584,"[0.5666136292323555,0.5665688956110976,0.5663053562352138]",0.5665688956110976,1024.0,3.0,2.0,2.0,62.0,4.0
