input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:physical_bytes,counter:drawn_bytes,counter:hull_bytes,counter:window_bytes,counter:stride
crossover-avx2,cross/16/unit3/draw2/stride3/compact/sum/packet,1,3,"[350.3750687807151,350.9162873293247,350.43934770639623]",350.43934770639623,"[350.3758191168297,350.91681256652424,350.9451002954107]",350.91681256652424,"[0.3421631531061671,0.34269168684504364,0.34222592549452757]",0.34222592549452757,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/compact/sum/window,1,3,"[281.9101358831923,280.75420231512084,280.4035228987939]",280.75420231512084,"[281.9612883726814,280.7548263717534,280.4041469565708]",280.7548263717534,"[0.27530286707343,0.2741740256983602,0.2738315653308534]",0.2741740256983602,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/compact/update/packet,1,3,"[792.2974884042735,793.4503903153823,791.9116981551347]",792.2974884042735,"[792.3942753700895,793.4521439033424,791.9140174272361]",792.3942753700895,"[0.7737280160197983,0.7748538967923655,0.7733512677296237]",0.7737280160197983,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/compact/update/window,1,3,"[687.5237745093416,687.7477941179566,686.2076470593546]",687.5237745093416,"[688.6233823515081,687.748823525801,687.4155392146278]",687.748823525801,"[0.6714099360442788,0.671628705193317,0.670124655331401]",0.6714099360442788,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/spread/sum/packet,1,3,"[812.217676035905,812.0107215303423,811.7429730508999]",812.0107215303423,"[812.3915386897388,812.3319037928662,811.7441900889224]",812.3319037928662,"[0.7931813242538136,0.7929792202444749,0.7927177471200195]",0.7929792202444749,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/spread/sum/window,1,3,"[227.7444212396163,226.43115554750082,226.34219137983402]",226.43115554750082,"[227.74491457063772,226.55154495117202,226.34270115530853]",226.55154495117202,"[0.22240666136681278,0.22112417533935627,0.2210372962693692]",0.22112417533935627,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/spread/update/packet,1,3,"[2237.9771601984517,2246.563807699452,2234.488899536853]",2237.9771601984517,"[2237.980674015562,2246.9167864485935,2237.322632173778]",2237.980674015562,"[2.185524570506301,2.193909968456496,2.182118065953958]",2.185524570506301,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/spread/update/window,1,3,"[1630.1769239759587,1634.3578185217575,1636.0930748575922]",1634.3578185217575,"[1630.1805442023997,1634.3613219646122,1639.8198061546454]",1634.3613219646122,"[1.5919696523202724,1.5960525571501536,1.5977471434156172]",1.5960525571501536,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride4/compact/sum/packet,1,3,"[348.418416518698,348.21440163791107,348.2358992282216]",348.2358992282216,"[348.4189408506623,348.21492596987537,348.315797356556]",348.315797356556,"[0.340252359881541,0.3400531265995225,0.3400741203400602]",0.3400741203400602,1024.0,3.0,2.0,2.0,62.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/compact/sum/window,1,3,"[294.28606058056835,294.25402078351345,294.1469614890138]",294.25402078351345,"[294.7310554167578,294.2544634399106,294.59870154584087]",294.59870154584087,"[0.2873887310357113,0.28735744217139986,0.28725289207911503]",0.28735744217139986,1024.0,3.0,2.0,2.0,62.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/compact/update/packet,1,3,"[795.6952343035032,794.0193357595108,794.0340650598905]",794.0340650598905,"[795.7834394906671,794.2195177443401,794.0358848986803]",794.2195177443401,"[0.7770461272495148,0.7754095075776473,0.7754238916600493]",0.7754238916600493,1024.0,3.0,2.0,2.0,62.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/compact/update/window,1,3,"[702.3071324597952,702.0401545952162,702.4933493950678]",702.3071324597952,"[702.3970787561866,702.0411584608925,702.4944536468835]",702.3970787561866,"[0.6858468090427688,0.685586088471891,0.6860286615186209]",0.6858468090427688,1024.0,3.0,2.0,2.0,62.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/spread/sum/packet,1,3,"[814.0327156916701,811.4328314990812,811.1121019101988]",811.4328314990812,"[814.1317892334745,812.3374059075879,811.1138390263179]",812.3374059075879,"[0.7949538239176466,0.7924148745108215,0.7921016620216785]",0.7924148745108215,1024.0,3.0,2.0,3.0,63.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/spread/sum/window,1,3,"[272.68109041131765,270.4250739044884,264.99285756811537]",270.4250739044884,"[272.7422177257851,270.42566910621736,265.0226375420905]",270.42566910621736,"[0.2662901273548024,0.26408698623485194,0.2587820874688626]",0.26408698623485194,1024.0,3.0,2.0,3.0,63.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/spread/update/packet,1,3,"[2230.0247894497684,2225.2177022079873,2229.179405690092]",2229.179405690092,"[2230.031304619689,2225.6055935258664,2229.182742720798]",2229.182742720798,"[2.1777585834470394,2.1730641623124876,2.1769330133692306]",2.1769330133692306,1024.0,3.0,2.0,3.0,63.0,4.0
