input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:physical_bytes,counter:drawn_bytes,counter:hull_bytes,counter:window_bytes,counter:stride
density-crossover-neon,cross/2/unit12/draw2/stride12/compact/sum/packet,1,3,"[2924.653193717278,2922.1009424083777,2924.7078534031407]",2924.653193717278,"[2935.5541361256887,2922.013193714453,2925.7390575957484]",2925.7390575957484,"[2.8561066344895294,2.8536142015706814,2.856160013089004]",2.8561066344895294,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-neon,cross/2/unit12/draw2/stride12/compact/sum/point,1,3,"[3879.016968011128,3897.995827538246,3895.242559109875]",3895.242559109875,"[3880.826425593012,3898.985813631361,3896.226703754551]",3896.226703754551,"[3.788102507823367,3.806636550330319,3.8039478116307373]",3.8039478116307373,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-neon,cross/2/unit12/draw2/stride12/compact/sum/window,1,3,"[3524.6143906764623,3530.443881428937,3541.9695971624005]",3530.443881428937,"[3524.4945528269614,3533.0869014388163,3541.8497593096085]",3533.0869014388163,"[3.4420062408949827,3.4476991029579467,3.4589546847289068]",3.4476991029579467,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-neon,cross/2/unit12/draw2/stride12/compact/update/packet,1,3,"[5577.279552715661,5583.588258785942,5574.712060702869]",5577.279552715661,"[5577.0898562321,5587.266773154341,5574.562699677791]",5577.0898562321,"[5.446562063198888,5.452722908970647,5.444054746780147]",5.446562063198888,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-neon,cross/2/unit12/draw2/stride12/compact/update/point,1,3,"[6421.803948576674,6426.352157943067,6421.482552800723]",6421.803948576674,"[6421.58126721358,6429.23829201577,6421.2998163424]",6421.58126721358,"[6.271292918531908,6.2757345292412765,6.270979055469457]",6.271292918531908,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-neon,cross/2/unit12/draw2/stride12/compact/update/window,1,3,"[6204.937112488936,6209.364481842339,6193.497785651024]",6204.937112488936,"[6204.717006201051,6212.452612929202,6193.31753763935]",6204.717006201051,"[6.059508898914976,6.063832501799159,6.048337681299829]",6.059508898914976,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-neon,cross/2/unit12/draw2/stride12/spread/sum/packet,1,3,"[3357.9185628742534,3362.325988023954,3351.9681437125773]",3357.9185628742534,"[3357.800239521833,3363.9001197614475,3351.8886227589364]",3357.800239521833,"[3.2792173465568877,3.2835214726796425,3.273406390344314]",3.2792173465568877,1024.0,12.0,2.0,12.0,24.0,12.0
density-crossover-neon,cross/2/unit12/draw2/stride12/spread/sum/point,1,3,"[3872.9250345781356,3886.8298755186825,3875.107607192262]",3875.107607192262,"[3872.7886583726945,3890.2442600281256,3888.377593368184]",3888.377593368184,"[3.782153354080211,3.795732300311214,3.7842847726486935]",3.7842847726486935,1024.0,12.0,2.0,12.0,24.0,12.0
density-crossover-neon,cross/2/unit12/draw2/stride12/spread/sum/window,1,3,"[3679.855903234281,3680.675519326853,3675.6034709439887]",3679.855903234281,"[3679.7252169320973,3680.5456218836557,3677.762029974546]",3679.7252169320973,"[3.593609280502227,3.5944096868426296,3.589456514593739]",3.593609280502227,1024.0,12.0,2.0,12.0,24.0,12.0
density-crossover-neon,cross/2/unit12/draw2/stride12/spread/update/packet,1,3,"[6425.673253676468,6424.427389705885,6429.982077205882]",6425.673253676468,"[6425.451746319536,6424.210937504364,6432.90854779648]",6425.451746319536,"[6.275071536793425,6.273854872759653,6.279279372271369]",6.275071536793425,1024.0,12.0,2.0,12.0,24.0,12.0
