input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:physical_bytes,counter:drawn_bytes,counter:hull_bytes,counter:window_bytes,counter:stride
density-crossover-avx2,cross/2/unit12/draw2/stride12/compact/sum/packet,1,3,"[1729.1965195773776,1732.2144188937227,1731.5022995649476]",1731.5022995649476,"[1729.2026103166118,1732.6769422006346,1731.5071472977731]",1731.5071472977731,"[1.6886684761497825,1.6916156434509013,1.6909202144188942]",1.6909202144188942,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride12/compact/sum/point,1,3,"[2112.5574314139285,2112.910009044318,2112.580042206814]",2112.580042206814,"[2113.700030147639,2113.407446488667,2112.586071752511]",2113.407446488667,"[2.0630443666151645,2.063388680707342,2.063066447467592]",2.063066447467592,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride12/compact/sum/window,1,3,"[1689.4721853505491,1687.9443707010967,1687.4425003016756]",1687.9443707010967,"[1689.8642452027993,1687.9505249195827,1687.4473271385914]",1687.9505249195827,"[1.6498751810063954,1.6483831745127897,1.6478930667008551]",1.6483831745127897,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride12/compact/update/packet,1,3,"[3568.901140684406,3539.4844106463884,3540.419518377694]",3540.419518377694,"[3568.9115335894894,3552.675538656761,3540.432446134714]",3552.675538656761,"[3.485255020199615,3.456527744771864,3.4574409359157166]",3.4574409359157166,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride12/compact/update/point,1,3,"[3548.3134820070977,3546.225544855546,3546.504054738974]",3546.504054738974,"[3548.323872275796,3547.6497719228523,3546.5141915871122]",3547.6497719228523,"[3.4651498847725564,3.4631108836479947,3.4633828659560293]",3.4633828659560293,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride12/compact/update/window,1,3,"[3566.4983439490434,3588.487898089172,3560.1671337579623]",3566.4983439490434,"[3566.5085350345203,3589.086878983476,3560.1798726118686]",3566.5085350345203,"[3.4829085390127372,3.5043827129777076,3.47672571656051]",3.4829085390127372,1024.0,12.0,2.0,2.0,14.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride12/spread/sum/packet,1,3,"[2247.1617717862314,2247.4506499759186,2265.4832290162108]",2247.4506499759186,"[2251.4020221474625,2255.268175252356,2265.4896485318636]",2255.268175252356,"[2.1944939177599916,2.194776025367108,2.2123859658361433]",2.194776025367108,1024.0,12.0,2.0,12.0,24.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride12/spread/sum/point,1,3,"[2112.5769230769247,2181.828959276019,2113.6930618401207]",2113.6930618401207,"[2112.5859728517053,2181.8366515830667,2114.2211161384394]",2114.2211161384394,"[2.0630634014423093,2.1306923430429876,2.064153380703243]",2.064153380703243,1024.0,12.0,2.0,12.0,24.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride12/spread/sum/window,1,3,"[1948.1509771538713,1899.9856867602564,1916.1127167630043]",1916.1127167630043,"[1951.8520506478912,1899.9910542252542,1916.4856867609494]",1916.4856867609494,"[1.9024911886268272,1.8554547722268129,1.8712038249638714]",1.8712038249638714,1024.0,12.0,2.0,12.0,24.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride12/spread/update/packet,1,3,"[4274.559228650133,4239.466176920728,4241.584022038572]",4241.584022038572,"[4275.318640954048,4239.478114479362,4241.596265685337]",4241.596265685337,"[4.174374246728646,4.140103688399148,4.142171896522042]",4.142171896522042,1024.0,12.0,2.0,12.0,24.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride12/spread/update/point,1,3,"[4585.658927403535,4574.7567037279405,4577.097776324384]",4577.097776324384,"[4585.672334859553,4574.772727273758,4592.729234792507]",4585.672334859553,"[4.478182546292514,4.467535843484317,4.469822047191782]",4.469822047191782,1024.0,12.0,2.0,12.0,24.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride12/spread/update/window,1,3,"[4550.423015107693,4372.814207650277,4533.450658952101]",4533.450658952101,"[4550.435872709065,4372.829958211995,4533.978142079923]",4533.978142079923,"[4.443772475691106,4.270326374658474,4.427197909132911]",4.427197909132911,1024.0,12.0,2.0,12.0,24.0,12.0
density-crossover-avx2,cross/2/unit12/draw2/stride13/compact/sum/packet,1,3,"[1731.4791379526346,1730.3503320385882,1730.6170905901572]",1730.6170905901572,"[1731.7522866807342,1732.9852148857394,1730.6221024923677]",1731.7522866807342,"[1.6908975956568697,1.6897952461314336,1.6900557525294506]",1.6900557525294506,1024.0,12.0,2.0,2.0,15.0,13.0
density-crossover-avx2,cross/2/unit12/draw2/stride13/compact/sum/point,1,3,"[2111.1883948756545,2112.9278070836594,2112.253956292383]",2112.253956292383,"[2111.749208742389,2112.935342878088,2112.261492087297]",2112.261492087297,"[2.0617074168707563,2.063406061605136,2.0627480041917803]",2.0627480041917803,1024.0,12.0,2.0,2.0,15.0,13.0
density-crossover-avx2,cross/2/unit12/draw2/stride13/compact/sum/window,1,3,"[1744.8838806342858,1745.6955924584827,1744.8089649144683]",1744.8838806342858,"[1744.891372207927,1745.9016106876095,1744.8153327509024]",1744.891372207927,"[1.7039881646819197,1.704780852010237,1.7039150047992855]",1.7039881646819197,1024.0,12.0,2.0,2.0,15.0,13.0
density-crossover-avx2,cross/2/unit12/draw2/stride13/compact/update/packet,1,3,"[3596.328929986786,3592.249669749011,3587.562747688219]",3592.249669749011,"[3596.3421400275092,3592.7381770130955,3587.573051520247]",3592.7381770130955,"[3.5120399706902212,3.5080563181142685,3.503479245789276]",3.5080563181142685,1024.0,12.0,2.0,2.0,15.0,13.0
density-crossover-avx2,cross/2/unit12/draw2/stride13/compact/update/point,1,3,"[3549.4666835571225,3550.211806435252,3547.2599442614774]",3549.4666835571225,"[3549.476817836063,3552.2057258691443,3547.2703318975314]",3549.476817836063,"[3.4662760581612524,3.467003717221926,3.464121039317849]",3.4662760581612524,1024.0,12.0,2.0,2.0,15.0,13.0
density-crossover-avx2,cross/2/unit12/draw2/stride13/compact/update/window,1,3,"[4012.776183644197,4003.235294117627,4003.663127690086]",4003.663127690086,"[4016.164992826868,4003.249928263204,4004.245337160295]",4004.245337160295,"[3.918726741840036,3.909409466911745,3.9098272731348493]",3.9098272731348493,1024.0,12.0,2.0,2.0,15.0,13.0
density-crossover-avx2,cross/2/unit12/draw2/stride13/spread/sum/packet,1,3,"[2244.257258064502,2246.704032258061,2239.9138709677445]",2244.257258064502,"[2244.265322580242,2251.499354838049,2240.4185483881542]",2244.265322580242,"[2.191657478578615,2.1940469065020127,2.187415889616938]",2.191657478578615,1024.0,12.0,2.0,12.0,25.0,13.0
density-crossover-avx2,cross/2/unit12/draw2/stride13/spread/sum/point,1,3,"[2113.3707949917057,2112.536732538838,2167.407602956712]",2113.3707949917057,"[2113.689244229922,2112.5441243024443,2167.6537939348605]",2113.689244229922,"[2.0638386669840876,2.063024152869959,2.116608987262414]",2.0638386669840876,1024.0,12.0,2.0,12.0,25.0,13.0
density-crossover-avx2,cross/2/unit12/draw2/stride13/spread/sum/window,1,3,"[1984.0276996625332,1980.6729471315975,1973.2838863892043]",1980.6729471315975,"[1984.033464565446,1980.6813835779585,1973.2895106853994]",1980.6813835779585,"[1.9375270504516926,1.9342509249332007,1.9270350453019574]",1.9342509249332007,1024.0,12.0,2.0,12.0,25.0,13.0
density-crossover-avx2,cross/2/unit12/draw2/stride13/spread/update/packet,1,3,"[4252.185701302635,4264.30960315056,4255.599818236899]",4255.599818236899,"[4252.198121784525,4264.32172069399,4270.574371402335]",4264.32172069399,"[4.152525098928354,4.164364846826719,4.155859197496972]",4.155859197496972,1024.0,12.0,2.0,12.0,25.0,13.0
density-crossover-avx2,cross/2/unit12/draw2/stride13/spread/update/point,1,3,"[4578.546762589908,4591.054610856728,4575.927076520645]",4578.546762589908,"[4579.674623937208,4591.071288426887,4575.940483975356]",4579.674623937208,"[4.471237072841707,4.483451768414772,4.468678785664691]",4.471237072841707,1024.0,12.0,2.0,12.0,25.0,13.0
