input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:physical_bytes,counter:drawn_bytes,counter:hull_bytes,counter:window_bytes,counter:stride
crossover-neon,cross/16/unit3/draw2/stride3/compact/sum/packet,1,3,"[657.735363439042,656.6266616383836,655.880974827885]",656.6266616383836,"[658.0454888293128,656.6105402088097,655.8632506839953]",656.6105402088097,"[0.6423196908584394,0.6412369742562339,0.6405087644803563]",0.6412369742562339,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/compact/sum/point,1,3,"[2811.777622098634,2809.2219775820554,2808.5984787833386]",2809.2219775820554,"[2812.962169745154,2809.1639311472136,2808.518614892018]",2809.1639311472136,"[2.745876584080697,2.7433808374824755,2.742771951936854]",2.7433808374824755,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/compact/sum/window,1,3,"[573.2171128973953,534.3337057889682,533.8143882417993]",534.3337057889682,"[573.2012548886428,534.5824057751252,533.7999054540214]",534.5824057751252,"[0.5597823368138626,0.5218102595595393,0.5213031135173821]",0.5218102595595393,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/compact/update/packet,1,3,"[1581.744765139033,1581.6996038469845,1579.3102433499148]",1581.6996038469845,"[1581.697566496177,1582.4285229228722,1579.2690435809209]",1581.697566496177,"[1.544672622206087,1.5446285193818206,1.5422951595214014]",1.5446285193818206,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/compact/update/point,1,3,"[5640.136032393006,5661.317813765892,5644.015789475411]",5644.015789475411,"[5639.985425081588,5668.516599195465,5643.880566783528]",5643.880566783528,"[5.507945344133795,5.528630677505754,5.511734169409581]",5.511734169409581,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/compact/update/window,1,3,"[1473.5097207863448,1480.4029989657026,1477.334953464538]",1477.334953464538,"[1473.4650465323898,1484.472802481567,1478.1479834516617]",1478.1479834516617,"[1.4389743367054149,1.4457060536774442,1.442709915492713]",1.442709915492713,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/spread/sum/packet,1,3,"[463.5402162491997,441.96861336124135,442.4706978952566]",442.4706978952566,"[463.5271328331122,441.955428261173,442.6837609736354]",442.6837609736354,"[0.45267599243085915,0.43160997398558726,0.4321002909133365]",0.4321002909133365,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/spread/sum/point,1,3,"[2810.943290735425,2814.1473642176406,2813.0782747588623]",2813.0782747588623,"[2810.86162140456,2814.067092644085,2814.2545926475386]",2814.067092644085,"[2.7450618073588133,2.7481907853687897,2.747146752694202]",2.747146752694202,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/spread/sum/window,1,3,"[441.960636145318,441.9754331604973,441.90932085497917]",441.960636145318,"[441.94764133053263,442.046098393279,441.89705324343583]",441.94764133053263,"[0.43160218373566217,0.4316166339457981,0.4315520711474406]",0.43160218373566217,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-neon,cross/16/unit3/draw2/stride3/spread/update/packet,1,3,"[1588.6765077538905,1588.4657093614533,1586.2719126937875]",1588.4657093614533,"[1588.6340034514835,1588.4228604299024,1586.2269959792122]",1588.4228604299024,"[1.551441902103409,1.5512360442982942,1.5490936647400269]",1.5512360442982942,1024.0,3.0,2.0,3.0,48.0,3.0
