input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:physical_bytes,counter:drawn_bytes,counter:hull_bytes,counter:window_bytes,counter:stride
crossover-avx2,cross/16/unit3/draw2/stride3/compact/sum/packet,1,3,"[360.8722190676716,361.70278222280484,361.01675011625986]",361.01675011625986,"[360.8743612243669,361.70518247049586,361.13970474410485]",361.13970474410485,"[0.35241427643327305,0.35322537326445785,0.35255542003541]",0.35255542003541,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/compact/sum/point,1,3,"[1919.1785616235918,1919.7167169921531,1920.1461707380274]",1919.7167169921531,"[1922.6597584407245,1919.7281087007866,1920.5392533616048]",1920.5392533616048,"[1.8741978140855386,1.8747233564376495,1.875142744861355]",1.8747233564376495,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/compact/sum/window,1,3,"[287.2308783591567,285.4911637147071,286.5270155243329]",286.5270155243329,"[287.23298609716096,285.49327145213533,286.59073406006576]",286.59073406006576,"[0.28049890464761396,0.27879996456514367,0.27981153859798136]",0.27981153859798136,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/compact/update/packet,1,3,"[811.9477525493945,811.2630329006869,811.7078892497466]",811.7078892497466,"[811.9525602402479,811.267898518224,811.9166473590938]",811.9166473590938,"[0.7929177270990181,0.792249055567077,0.7926834855954558]",0.7926834855954558,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/compact/update/point,1,3,"[3440.6601917881117,3440.109663143666,3438.884927465385]",3440.109663143666,"[3440.680599948698,3440.1300713042515,3440.125153670648]",3440.1300713042515,"[3.360019718543078,3.3594820929137357,3.3582860619779153]",3.3594820929137357,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/compact/update/window,1,3,"[677.5983281798497,678.151140317367,676.9436122924521]",677.5983281798497,"[677.6028701189804,678.7847893322557,676.9476710474164]",677.6028701189804,"[0.6617171173631344,0.6622569729661787,0.6610777463793477]",0.6617171173631344,1024.0,3.0,2.0,2.0,47.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/spread/sum/packet,1,3,"[240.73616942965307,235.69157033647966,250.03489636472514]",240.73616942965307,"[240.84950733558327,235.69315957656042,250.03655252041798]",240.84950733558327,"[0.23509391545864558,0.23016754915671842,0.24417470348117692]",0.23509391545864558,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/spread/sum/point,1,3,"[1920.159829880499,1922.3549183703105,1919.2078474409122]",1920.159829880499,"[1920.4114419009054,1922.8178076558168,1919.2192344629063]",1920.4114419009054,"[1.8751560838676748,1.8772997249710064,1.8742264135165159]",1.8751560838676748,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/spread/sum/window,1,3,"[199.35792951549877,201.42650513951685,202.5561674007745]",201.42650513951685,"[199.39553597641034,201.4277092511127,202.5575330397062]",201.4277092511127,"[0.1946854780424793,0.1967055714253094,0.1978087572273189]",0.1967055714253094,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/spread/update/packet,1,3,"[814.5928915729322,813.4726755328774,813.1555258725806]",813.4726755328774,"[814.7696730350419,813.5651896157653,814.8434287707239]",814.7696730350419,"[0.7955008706766916,0.7944069097000755,0.794097193234942]",0.7944069097000755,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/spread/update/point,1,3,"[4141.7253104673655,4138.434654050848,4139.43081017092]",4139.43081017092,"[4150.263157898579,4139.349201652699,4139.458604375732]",4139.458604375732,"[4.044653623503287,4.041440091846531,4.04241290055754]",4.04241290055754,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride3/spread/update/window,1,3,"[789.1030997685717,789.7478967869652,787.9377787816809]",789.1030997685717,"[789.2235898594154,789.7525831402663,787.942973293996]",789.2235898594154,"[0.7706084958677457,0.7712381804560208,0.7694704870914852]",0.7706084958677457,1024.0,3.0,2.0,3.0,48.0,3.0
crossover-avx2,cross/16/unit3/draw2/stride4/compact/sum/packet,1,3,"[360.4496331573854,361.21753121373564,360.68593126495483]",360.68593126495483,"[360.4517698549662,361.28250740140163,360.7542540871391]",360.7542540871391,"[0.3520015948802592,0.35275149532591377,0.35223235475093245]",0.35223235475093245,1024.0,3.0,2.0,2.0,62.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/compact/sum/point,1,3,"[1918.119158239845,1919.0810330685156,1917.4385077903567]",1918.119158239845,"[1918.1318666316524,1919.4602350380278,1917.4499863354151]",1918.1318666316524,"[1.8731632404685985,1.8741025713559722,1.87249854276402]",1.8731632404685985,1024.0,3.0,2.0,2.0,62.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/compact/sum/window,1,3,"[288.0898257145139,288.86932739890574,288.0284929911253]",288.0898257145139,"[288.09155193199865,289.2179609830071,288.0301984113218]",288.09155193199865,"[0.2813377204243299,0.28209895253799394,0.2812778251866458]",0.2813377204243299,1024.0,3.0,2.0,2.0,62.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/compact/update/packet,1,3,"[811.3106447126589,811.642219388023,810.9934485155009]",811.3106447126589,"[811.3154568649846,811.7937731919554,811.0661525977936]",811.3154568649846,"[0.7922955514772059,0.7926193548711163,0.7919857895659187]",0.7922955514772059,1024.0,3.0,2.0,2.0,62.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/compact/update/point,1,3,"[3436.5327929271716,3437.685089660379,3438.24244657326]",3437.685089660379,"[3436.5558830806676,3445.0304593444207,3438.265536723266]",3438.265536723266,"[3.355989055592941,3.357114345371464,3.3576586392316994]",3.357114345371464,1024.0,3.0,2.0,2.0,62.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/compact/update/window,1,3,"[690.7423958126984,692.401046810361,691.7640233069559]",691.7640233069559,"[690.7474817296824,692.405145169777,691.9232174597574]",691.9232174597574,"[0.6745531209108383,0.6761728972757431,0.6755508040106991]",0.6755508040106991,1024.0,3.0,2.0,2.0,62.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/spread/sum/packet,1,3,"[496.26937099534865,496.5298573501141,496.31110403215956]",496.31110403215956,"[496.2723089450682,496.53283069593334,497.05033450117]",496.53283069593334,"[0.4846380576126452,0.48489243881847083,0.4846788125314058]",0.4846788125314058,1024.0,3.0,2.0,3.0,63.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/spread/sum/point,1,3,"[1916.8017536644297,1917.0016440608508,1917.8839567054374]",1917.0016440608508,"[1916.8131250836796,1917.0158925872786,1918.5599397153046]",1917.0158925872786,"[1.8718767125629197,1.8720719180281749,1.8729335514701537]",1.8720719180281749,1024.0,3.0,2.0,3.0,63.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/spread/sum/window,1,3,"[250.4830266214534,250.58450955850532,250.62973021255058]",250.58450955850532,"[250.48452742507195,251.04107557608683,250.69001250667338]",250.69001250667338,"[0.24461233068501312,0.24471143511572785,0.24475559591069393]",0.24471143511572785,1024.0,3.0,2.0,3.0,63.0,4.0
crossover-avx2,cross/16/unit3/draw2/stride4/spread/update/packet,1,3,"[1080.656389703237,1080.109064282515,1078.8380607374986]",1080.109064282515,"[1080.6635578866226,1080.3113149357848,1078.8453059973006]",1080.3113149357848,"[1.0553285055695671,1.0547940080883935,1.0535527936889635]",1.0547940080883935,1024.0,3.0,2.0,3.0,63.0,4.0
