input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration
avx2,shape/2/compact/sum/all/packet,1,3,"[2487.1989578398748,2480.1324017053466,2515.363986262418]",2487.1989578398748,"[2487.3588938894095,2480.2295712926343,2517.1084793938726]",2487.3588938894095,"[2.4289052322655027,2.4220042985403776,2.4564101428343923]",2.4289052322655027,1024.0
avx2,shape/2/compact/sum/all/point,1,3,"[3367.5215126992935,3313.9032128835843,3389.755308068267]",3367.5215126992935,"[3367.7867959298355,3314.0490345321737,3390.9701145735476]",3367.7867959298355,"[3.2885952272454033,3.2362336063316257,3.3103079180354165]",3.2885952272454033,1024.0
avx2,shape/2/compact/sum/half/packet,1,3,"[2111.027916100784,2111.129017655043,2111.326190835452]",2111.129017655043,"[2111.1683516928497,2111.87752125161,2116.233941954631]",2111.87752125161,"[2.0615506993171717,2.0616494313037528,2.061841983237746]",2.0616494313037528,1024.0
avx2,shape/2/compact/sum/half/point,1,3,"[1828.5991983967967,1829.8442972902337,1828.9673259562512]",1828.9673259562512,"[1829.685762829854,1830.9787836539917,1829.0427376490961]",1829.685762829854,"[1.785741404684372,1.7869573215724939,1.7861009042541516]",1.7861009042541516,1024.0
avx2,shape/2/compact/update/all/packet,1,3,"[5466.662002567455,5466.862130937128,5460.035430038528]",5466.662002567455,"[5472.663414634343,5467.351347881761,5460.232092426685]",5467.351347881761,"[5.338537111882279,5.338732549743289,5.332065849647]",5.338537111882279,1024.0
avx2,shape/2/compact/update/all/point,1,3,"[31393.938206480816,31383.75734740015,31368.715900527557]",31383.75734740015,"[31399.063300677633,31389.553127349227,31369.168801813656]",31389.553127349227,"[30.658142779766425,30.64820053457046,30.633511621608942]",30.64820053457046,1024.0
avx2,shape/2/compact/update/half/packet,1,3,"[3872.128930232536,3862.401488372115,3863.4266046511516]",3863.4266046511516,"[3921.9178604644926,3862.828558139035,3863.581116279367]",3863.581116279367,"[3.781375908430211,3.7718764534883937,3.77287754360464]",3.77287754360464,1024.0
avx2,shape/2/compact/update/half/point,1,3,"[15842.678815489759,15872.18526955192,15930.370918754783]",15872.18526955192,"[15843.783978742496,15879.364844338961,16343.435079729135]",15879.364844338961,"[15.471366030751717,15.500180927296794,15.557002850346468]",15.500180927296794,1024.0
avx2,shape/2/spread/sum/all/packet,1,3,"[43292.43491735567,43308.77685950412,43463.02272727301]",43308.77685950412,"[43340.162190087416,43311.87706611437,44200.84504131353]",43340.162190087416,"[42.27776847398015,42.29372740185949,42.44435813210256]",42.29372740185949,1024.0
avx2,shape/2/spread/sum/all/point,1,3,"[4271.387186629524,4265.96059011657,4270.0748994119485]",4270.0748994119485,"[4287.92602909276,4265.960693283217,4270.656865780346]",4270.656865780346,"[4.1712765494428945,4.1659771387857125,4.169995018956981]",4.169995018956981,1024.0
avx2,shape/2/spread/sum/half/packet,1,3,"[22625.377490576448,22648.328486806626,22613.621970921027]",22625.377490576448,"[22668.47442111362,22654.20409262458,22617.408723749406]",22654.20409262458,"[22.095095205641062,22.117508287897095,22.083615205977566]",22.095095205641062,1024.0
avx2,shape/2/spread/sum/half/point,1,3,"[2214.486745718041,2214.6532806324203,2213.931277997362]",2214.486745718041,"[2214.6206587611086,2216.8462187086902,2214.1511462445487]",2214.6206587611086,"[2.162584712615275,2.162747344367598,2.1620422636692993]",2.162584712615275,1024.0
avx2,shape/2/spread/update/all/packet,1,3,"[118360.1303116149,118577.60906515646,118315.08781869654]",118360.1303116149,"[118462.45609064402,118577.640226651,118320.1898017164]",118462.45609064402,"[115.58606475743643,115.79844635269184,115.54207794794584]",115.58606475743643,1024.0
avx2,shape/2/spread/update/all/point,1,3,"[32556.375289575364,32542.830888030636,32526.236293436075]",32542.830888030636,"[32558.924324319953,32599.59613899355,32527.820849413536]",32558.924324319953,"[31.79333524372594,31.780108289092414,31.763902630308664]",31.780108289092414,1024.0
avx2,shape/2/spread/update/half/packet,1,3,"[63387.03770739088,63369.93363499216,63325.288084464984]",63369.93363499216,"[63390.55505279627,63403.50980393302,63328.20060332522]",63390.55505279627,"[61.901404011123915,61.88470081542202,61.84110164498533]",61.88470081542202,1024.0
