input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration
avx2,shape/2/compact/sum/all/packet,1,3,"[11783.997474747483,11788.702581369047,11789.171156004431]",11788.702581369047,"[11785.331649830154,11794.798540965488,11789.610549943547]",11789.610549943547,"[11.50781003393309,11.51240486461821,11.512862457035578]",11.51240486461821,1024.0
avx2,shape/2/compact/sum/all/point,1,3,"[3269.2207105652333,3265.7269688252563,3269.252584933521]",3269.2207105652333,"[3269.434268833127,3266.9214802138467,3269.5982274736707]",3269.434268833127,"[3.192598350161361,3.189186492993414,3.1926294774741413]",3.192598350161361,1024.0
avx2,shape/2/compact/sum/half/packet,1,3,"[11422.669025585186,11422.059608056712,11397.90310288528]",11422.059608056712,"[11422.686717471975,11426.434948286675,11398.484485574203]",11422.686717471975,"[11.154950220298035,11.154355085992881,11.130764748911407]",11.154355085992881,1024.0
avx2,shape/2/compact/sum/half/point,1,3,"[1850.0825558880463,1848.966115120599,1848.722320014061]",1848.966115120599,"[1850.9435838759873,1849.0477908819048,1849.617672944859]",1849.617672944859,"[1.80672124598442,1.80563097179746,1.8053928906387315]",1.80563097179746,1024.0
avx2,shape/2/compact/update/all/packet,1,3,"[24215.09365910427,24398.21756835384,24371.114601512032]",24371.114601512032,"[24219.86096567808,24399.780104712303,24386.207678886713]",24386.207678886713,"[23.647552401469014,23.826384344095544,23.799916603039094]",23.799916603039094,1024.0
avx2,shape/2/compact/update/all/point,1,3,"[31457.449735449645,31732.619803476817,31968.145124716317]",31732.619803476817,"[31459.751322747652,31736.77399848614,31969.34467120214]",31736.77399848614,"[30.720165757275044,30.98888652683283,31.218891723355775]",30.98888652683283,1024.0
avx2,shape/2/compact/update/half/packet,1,3,"[23702.91756070014,23689.303218520523,23706.44607566351]",23702.91756070014,"[23736.906832291894,23690.424618858815,23718.93958215661]",23718.93958215661,"[23.14738043037123,23.134085174336448,23.150826245765145]",23.14738043037123,1024.0
avx2,shape/2/compact/update/half/point,1,3,"[15936.238931297674,16048.13206106867,15815.42977099227]",15936.238931297674,"[15948.061832058538,16057.058015265646,15816.07251908451]",15948.061832058538,"[15.562733331345383,15.672003965887374,15.444755635734639]",15.562733331345383,1024.0
avx2,shape/2/spread/sum/all/packet,1,3,"[2604.6027320708013,2595.747656007452,2618.2698540825863]",2604.6027320708013,"[2605.8076373799163,2595.914995342514,2620.069046879431]",2605.8076373799163,"[2.5435573555378914,2.5349098203197773,2.5569041543775257]",2.5435573555378914,1024.0
avx2,shape/2/spread/sum/all/point,1,3,"[4236.195829555818,4238.968066888228,4245.851314596538]",4238.968066888228,"[4236.796816762764,4241.203989119873,4246.166213357959]",4241.203989119873,"[4.1369099898006025,4.1396172528205355,4.146339174410682]",4.1396172528205355,1024.0
avx2,shape/2/spread/sum/half/packet,1,3,"[1668.8080055662258,1610.8584701019038,1611.1093602914395]",1611.1093602914395,"[1696.7765317397548,1610.866328326141,1611.3590635617654]",1611.3590635617654,"[1.6296953179357674,1.5731039747088902,1.5733489846596092]",1.5733489846596092,1024.0
avx2,shape/2/spread/sum/half/point,1,3,"[2230.6603132466325,2229.4847889567654,2229.295248208038]",2229.4847889567654,"[2230.754552694674,2229.5854526148787,2230.2071675078787]",2230.2071675078787,"[2.1783792121549146,2.1772312392155917,2.1770461408281623]",2.1772312392155917,1024.0
avx2,shape/2/spread/update/all/packet,1,3,"[20939.26824358336,20986.419728233548,20998.639154504246]",20986.419728233548,"[20965.611977859855,20988.325113236377,21013.87065928774]",20988.325113236377,"[20.448504144124378,20.494550515853074,20.506483549320553]",20.494550515853074,1024.0
avx2,shape/2/spread/update/all/point,1,3,"[32557.686244203516,32523.914992272224,32589.177743432207]",32557.686244203516,"[32596.415765072263,32530.990726433272,32616.85625966818]",32596.415765072263,"[31.794615472855,31.761635734640848,31.825368890070514]",31.794615472855,1024.0
avx2,shape/2/spread/update/half/packet,1,3,"[10758.25416346411,10763.360491929536,10750.227004868017]",10758.25416346411,"[10763.994619523368,10771.848065592192,10750.643351268536]",10763.994619523368,"[10.50610758150792,10.511094230399936,10.498268559441422]",10.50610758150792,1024.0
avx2,shape/2/spread/update/half/point,1,3,"[16371.015649451812,16330.503129890536,16510.984350547962]",16371.015649451812,"[16383.063771521978,16331.464006257358,16513.291079812177]",16383.063771521978,"[15.987319970167784,15.947756962783727,16.124008154831994]",15.987319970167784,1024.0
avx2,shape/4/compact/sum/all/packet,1,3,"[6159.537129439421,6153.998532433028,6154.054299970893]",6154.054299970893,"[6164.67889639032,6158.694159083865,6155.632668034544]",6158.694159083865,"[6.015172977968184,6.009764191829128,6.009818652315325]",6.009818652315325,1024.0
avx2,shape/4/compact/sum/all/point,1,3,"[2719.4634840545623,2713.469564654862,2716.6308299372563]",2716.6308299372563,"[2721.8404812730782,2713.6063781617313,2719.55637492718]",2719.55637492718,"[2.655726058647034,2.6498726217332638,2.6529597948606023]",2.6529597948606023,1024.0
avx2,shape/4/compact/sum/half/packet,1,3,"[5864.788429290162,5859.645891559561,5864.9617104527615]",5864.788429290162,"[5868.9408887637555,5859.885690328813,5865.188932364378]",5865.188932364378,"[5.727332450478674,5.722310440976134,5.727501670364025]",5.727332450478674,1024.0
avx2,shape/4/compact/sum/half/point,1,3,"[1459.8539621076247,1456.879615544146,1457.0092656617364]",1457.0092656617364,"[1459.8565896830667,1457.426462453332,1457.1833771264219]",1457.426462453332,"[1.4256386348707273,1.42273399955483,1.4228606109977895]",1.4228606109977895,1024.0
avx2,shape/4/compact/update/all/packet,1,3,"[12416.496894410211,12413.320615202765,12409.371783495711]",12413.320615202765,"[12417.610470274483,12419.406092871757,12409.38834664408]",12417.610470274483,"[12.125485248447472,12.122383413283952,12.118527132320033]",12.122383413283952,1024.0
avx2,shape/4/compact/update/all/point,1,3,"[21872.18067885106,21837.648041776036,21880.796866840195]",21872.18067885106,"[21898.324281985108,21839.081984329132,21881.71906005378]",21881.71906005378,"[21.359551444190487,21.32582816579691,21.36796569027363]",21.359551444190487,1024.0
avx2,shape/4/compact/update/half/packet,1,3,"[11622.11624688624,11620.427899253124,11638.61500138367]",11622.11624688624,"[11634.708552447099,11621.951840577825,11699.421810129918]",11634.708552447099,"[11.349722897349844,11.348074120364377,11.36583496228874]",11.349722897349844,1024.0
avx2,shape/4/compact/update/half/point,1,3,"[10314.657156910987,10304.534185932498,10367.960403344849]",10314.657156910987,"[10316.854648303097,10304.565174621732,10368.372356125312]",10316.854648303097,"[10.072907379795886,10.063021665949705,10.124961331391454]",10.072907379795886,1024.0
avx2,shape/4/spread/sum/all/packet,1,3,"[3441.557459428278,3408.55474091764,3401.765054782188]",3408.55474091764,"[3441.849410989665,3408.5566356371496,3401.925199769939]",3408.5566356371496,"[3.3608959564729273,3.3286667391773825,3.3220361863107306]",3.3286667391773825,1024.0
avx2,shape/4/spread/sum/all/point,1,3,"[4223.096897663224,4224.520145044217,4222.67385173241]",4223.096897663224,"[4224.906325544813,4224.810636584253,4226.04351329553]",4224.906325544813,"[4.124118064124242,4.1255079541447435,4.123704933332431]",4.124118064124242,1024.0
avx2,shape/4/spread/sum/half/packet,1,3,"[2536.9901960784,2538.7053376906097,2536.667634955264]",2536.9901960784,"[2537.210723794986,2541.68058581476,2536.8240135564483]",2537.210723794986,"[2.4775294883578125,2.4792044313384856,2.4772144872610005]",2.4775294883578125,1024.0
avx2,shape/4/spread/sum/half/point,1,3,"[2161.56884504724,2157.946773530612,2162.107788738121]",2161.56884504724,"[2163.826551582186,2158.027127004042,2162.1948725853103]",2162.1948725853103,"[2.110907075241445,2.1073698960259883,2.1114333874395714]",2.110907075241445,1024.0
avx2,shape/4/spread/update/all/packet,1,3,"[18419.831505046262,18379.581395349287,18402.50811759568]",18402.50811759568,"[18420.785432205943,18420.359806937013,18411.54453707888]",18420.359806937013,"[17.98811670414674,17.948809956395788,17.971199333589535]",17.971199333589535,1024.0
avx2,shape/4/spread/update/all/point,1,3,"[22766.406283856555,22745.729144095,22724.05525460458]",22745.729144095,"[22767.24864571565,22745.742145178534,22732.177681474834]",22745.742145178534,"[22.232818636578667,22.212626117280273,22.191460209574785]",22.212626117280273,1024.0
avx2,shape/4/spread/update/half/packet,1,3,"[9281.517665130339,9229.77989905624,9231.776607417323]",9231.776607417323,"[9299.302172480859,9239.028088655446,9253.561553653904]",9253.561553653904,"[9.063982094853847,9.013456932672112,9.015406843180982]",9.015406843180982,1024.0
avx2,shape/4/spread/update/half/point,1,3,"[10683.068437181053,10668.89325842696,10668.798774259789]",10668.89325842696,"[10704.435648622853,10680.594994892479,10678.98876404423]",10680.594994892479,"[10.432684020684624,10.418841072682577,10.418748802988075]",10.418841072682577,1024.0
avx512,shape/2/compact/sum/all/packet,1,3,"[8959.141573994853,8961.82998289136,8964.663387510549]",8961.82998289136,"[8960.61526946466,8968.012617622124,8970.345808386564]",8968.012617622124,"[8.749161693354349,8.751787092667344,8.75455408936577]",8.751787092667344,1024.0
avx512,shape/2/compact/sum/all/point,1,3,"[2197.676119715353,2197.875994139792,2198.645667643366]",2197.875994139792,"[2197.8190142317667,2198.474100040908,2198.735192550132]",2198.474100040908,"[2.146168085659524,2.1463632755271402,2.1471149098079745]",2.1463632755271402,1024.0
avx512,shape/2/compact/sum/half/packet,1,3,"[9476.417344173304,9478.176603432703,9477.424570912335]",9477.424570912335,"[9476.880758805477,9480.360659440918,9478.066169825648]",9478.066169825648,"[9.254313812669242,9.256031839289749,9.255297432531576]",9.255297432531576,1024.0
avx512,shape/2/compact/sum/half/point,1,3,"[1302.8261785293932,1301.7663073778176,1301.280307253932]",1301.7663073778176,"[1303.5875301988722,1301.8242272192679,1301.2828470542622]",1301.8242272192679,"[1.2722911899701106,1.2712561595486498,1.270781550052668]",1.2712561595486498,1024.0
