input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:physical_bytes,counter:drawn_bytes,counter:hull_bytes,counter:window_bytes,counter:stride
crossover-neon,cross/4/unit24/draw2/stride24/spread/sum/packet,1,3,"[3131.8207885308343,3132.240367382783,3128.7314068102582]",3131.8207885308343,"[3133.226030474352,3137.79390679766,3128.6270161309635]",3133.226030474352,"[3.058418738799643,3.0588284837722495,3.0554017644631424]",3.058418738799643,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-neon,cross/4/unit24/draw2/stride24/spread/sum/point,1,3,"[3465.075590155488,3410.394776494905,3442.227774987352]",3442.227774987352,"[3466.926921151801,3410.2940733259024,3442.0974384569]",3442.0974384569,"[3.383862881011219,3.330463648920806,3.361550561511086]",3.361550561511086,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-neon,cross/4/unit24/draw2/stride24/spread/update/packet,1,3,"[10403.728017884372,10403.742921012616,10400.207153500094]",10403.728017884372,"[10403.357675153226,10409.139344324138,10399.87183305506]",10403.357675153226,"[10.159890642465207,10.15990519630138,10.156452298339936]",10.159890642465207,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-neon,cross/4/unit24/draw2/stride24/spread/update/point,1,3,"[7431.91551540897,7435.919234857282,7435.933581296539]",7435.919234857282,"[7433.311370916193,7439.286928825585,7448.910733239494]",7439.286928825585,"[7.257729995516572,7.261639877790315,7.2616538879849015]",7.261639877790315,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-neon,cross/4/unit24/draw2/stride25/spread/sum/packet,1,3,"[3173.573836817745,3174.420543941928,3259.67520791184]",3174.420543941928,"[3173.4589795353477,3174.3059114171824,3261.0494493083265]",3174.3059114171824,"[3.099193200017329,3.1000200624432894,3.1832765702264068]",3.1000200624432894,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-neon,cross/4/unit24/draw2/stride25/spread/sum/point,1,3,"[3508.4563130694155,3624.794486832167,3421.313561408214]",3508.4563130694155,"[3508.328328821227,3624.6642874980407,3422.72729512594]",3508.328328821227,"[3.4262268682318515,3.539838366047038,3.3411265248127093]",3.4262268682318515,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-neon,cross/4/unit24/draw2/stride25/spread/update/packet,1,3,"[11374.419853540945,11349.932465417942,11379.042310824176]",11374.419853540945,"[11807.12530519454,11349.516680276158,11378.611065937526]",11378.611065937526,"[11.10783188822358,11.083918423259707,11.112346006664232]",11.10783188822358,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-neon,cross/4/unit24/draw2/stride25/spread/update/point,1,3,"[7737.78860898108,7568.737130340911,7429.2612267256745]",7568.737130340911,"[7750.6215772580135,7568.518619958432,7428.9791893827]",7568.518619958432,"[7.556434188458086,7.391344853848546,7.255137916724292]",7.391344853848546,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-neon,cross/4/unit24/draw2/stride64/spread/sum/packet,1,3,"[3190.4328935390804,3213.6571883531146,3187.9820291169435]",3190.4328935390804,"[3190.810509549324,3215.1176069158623,3187.8555505049094]",3190.810509549324,"[3.1156571225967578,3.1383370980010885,3.1132637003095147]",3.1156571225967578,1024.0,24.0,2.0,24.0,216.0,64.0
crossover-neon,cross/4/unit24/draw2/stride64/spread/sum/point,1,3,"[3565.1773195875257,3592.0131443306695,3613.5670103088282]",3592.0131443306695,"[3565.043814444731,3593.822680452072,3613.4384020480175]",3593.822680452072,"[3.481618476159693,3.5078253362604195,3.5288740335047146]",3.5078253362604195,1024.0,24.0,2.0,24.0,216.0,64.0
