input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration,counter:physical_bytes,counter:drawn_bytes,counter:hull_bytes,counter:window_bytes,counter:stride
crossover-avx2,cross/4/unit24/draw2/stride24/spread/sum/packet,1,3,"[2319.756158042563,2320.4556124981605,2330.5827409489575]",2320.4556124981605,"[2319.7708712189246,2320.4701603579274,2330.916680445464]",2320.4701603579274,"[2.2653868730884406,2.266069934080235,2.2759597079579663]",2.266069934080235,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-avx2,cross/4/unit24/draw2/stride24/spread/sum/point,1,3,"[1953.4261039139546,1951.8073547847248,1954.6893717791588]",1953.4261039139546,"[1953.4383618896172,1951.8197520540807,1955.1363699657165]",1953.4383618896172,"[1.9076426796034713,1.9060618699069578,1.908876339628085]",1.9076426796034713,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-avx2,cross/4/unit24/draw2/stride24/spread/update/packet,1,3,"[7138.658423493626,7122.9855744458555,7211.048943842838]",7138.658423493626,"[7138.703245752073,7123.030911902697,7211.943843379989]",7138.703245752073,"[6.971346116692994,6.956040600044781,7.04203998422152]",6.971346116692994,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-avx2,cross/4/unit24/draw2/stride24/spread/update/point,1,3,"[4647.348075624799,4659.167792033063,4647.6620526669285]",4647.6620526669285,"[4647.3808237634585,4659.197164082607,4655.334908846742]",4655.334908846742,"[4.538425855102342,4.549968546907288,4.538732473307547]",4.538732473307547,1024.0,24.0,2.0,24.0,96.0,24.0
crossover-avx2,cross/4/unit24/draw2/stride25/spread/sum/packet,1,3,"[2329.614915030984,2287.5936314140754,2306.658307209625]",2306.658307209625,"[2329.8968817012756,2287.6081504727103,2308.3689160214967]",2308.3689160214967,"[2.275014565459945,2.233978155677808,2.2525960031343994]",2.2525960031343994,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-avx2,cross/4/unit24/draw2/stride25/spread/sum/point,1,3,"[1953.3183718985454,1953.709924728416,1965.8845832169654]",1953.709924728416,"[1957.3785893486584,1954.034569277803,1965.8955952070955]",1957.3785893486584,"[1.9075374725571732,1.9079198483675934,1.9198091632978178]",1.9079198483675934,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-avx2,cross/4/unit24/draw2/stride25/spread/update/packet,1,3,"[7187.90871583447,7139.770500257916,7137.790613719547]",7139.770500257916,"[7187.95925734024,7140.816400206765,7137.835482217668]",7140.816400206765,"[7.0194421053071006,6.972432129158121,6.970498646210496]",6.972432129158121,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-avx2,cross/4/unit24/draw2/stride25/spread/update/point,1,3,"[4693.280986152693,4738.4181019915095,4678.873691320438]",4693.280986152693,"[4699.930091189001,4739.802093889068,4679.389733196485]",4699.930091189001,"[4.583282213039739,4.6273614277260835,4.569212589180116]",4.583282213039739,1024.0,24.0,2.0,24.0,99.0,25.0
crossover-avx2,cross/4/unit24/draw2/stride64/spread/sum/packet,1,3,"[2302.225161289947,2255.568548387334,2304.358870967421]",2302.225161289947,"[2302.241129032631,2255.582903227231,2304.6541935495807]",2302.241129032631,"[2.248266759072214,2.2027036605345054,2.250350459929122]",2.248266759072214,1024.0,24.0,2.0,24.0,216.0,64.0
crossover-avx2,cross/4/unit24/draw2/stride64/spread/sum/point,1,3,"[1959.0062945865425,1962.9465659531857,1957.2242271641742]",1959.0062945865425,"[1959.0200027986152,1963.9465659544258,1957.2365365800906]",1959.0200027986152,"[1.9130920845571702,1.9169400058136579,1.9113517843400138]",1.9130920845571702,1024.0,24.0,2.0,24.0,216.0,64.0
