name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,projected_codes,stride,tuples_per_call,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes,allocated_binding_bytes,input_bytes,issued_write_bytes,live_bindings,lowered_decode_terms
scan/packet1/ordered/16/1024,0,0,scan/packet1/ordered/16/1024,iteration,3,0,1,20353,1376.6791627769796,1374.7044661720631,ns,1024.0,744887374.1214952,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/1024,0,0,scan/packet1/ordered/16/1024,iteration,3,1,1,20353,1374.301577162717,1374.3005945069524,ns,1024.0,745106277.398776,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/1024,0,0,scan/packet1/ordered/16/1024,iteration,3,2,1,20353,1376.4255883658343,1374.4701026875648,ns,1024.0,745014386.2698253,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/65536,0,1,scan/packet1/ordered/16/65536,iteration,3,0,1,319,87885.64263323852,87698.24451410658,ns,65536.0,747289758.9125435,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/65536,0,1,scan/packet1/ordered/16/65536,iteration,3,1,1,319,87784.92476488589,87745.5172413793,ns,65536.0,746887158.0039456,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/65536,0,1,scan/packet1/ordered/16/65536,iteration,3,2,1,319,87810.50156740507,87752.16300940436,ns,65536.0,746830593.7139866,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/1048576,0,2,scan/packet1/ordered/16/1048576,iteration,3,0,1,20,1433907.5500004129,1432643.4999999986,ns,1048576.0,731916907.4511566,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/1048576,0,2,scan/packet1/ordered/16/1048576,iteration,3,1,1,20,1432702.500000005,1432429.4999999986,ns,1048576.0,732026253.2990286,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/16/1048576,0,2,scan/packet1/ordered/16/1048576,iteration,3,2,1,20,1432130.050000069,1430962.999999999,ns,1048576.0,732776458.9301057,16.0,16.0,1.0,,,,,,,,,,,,,,
scan/packet1/ordered/64/1024,1,0,scan/packet1/ordered/64/1024,iteration,3,0,1,20353,1378.492605513495,1377.1758463125807,ns,1024.0,743550653.129579,16.0,64.0,1.0,,,,,,,,,,,,,,
