name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes
small/unpacked/R_AC,0,0,small/unpacked/R_AC,iteration,3,0,1,86071,325.5581206209487,324.87346493011586,ns,256.0,787999106.2214595,4.0,,,,,,,,
small/unpacked/R_AC,0,0,small/unpacked/R_AC,iteration,3,1,1,86071,324.61003125338567,324.61722299032186,ns,256.0,788621126.2660958,4.0,,,,,,,,
small/unpacked/R_AC,0,0,small/unpacked/R_AC,iteration,3,2,1,86071,324.9514702975829,324.8014894679973,ns,256.0,788173725.4940256,4.0,,,,,,,,
small/unpacked/R_0,1,0,small/unpacked/R_0,iteration,3,0,1,54602,513.1442438005406,512.9856049228963,ns,256.0,499039344.4636283,4.0,,,,,,,,
small/unpacked/R_0,1,0,small/unpacked/R_0,iteration,3,1,1,54602,515.6256364235508,513.2922237280686,ns,256.0,498741239.71849495,4.0,,,,,,,,
small/unpacked/R_0,1,0,small/unpacked/R_0,iteration,3,2,1,54602,513.4181348675367,513.248745467199,ns,256.0,498783489.02142733,4.0,,,,,,,,
small/unpacked/R_1,2,0,small/unpacked/R_1,iteration,3,0,1,54648,513.0118211094125,512.9655614112135,ns,256.0,499058843.8251516,4.0,,,,,,,,
small/unpacked/R_1,2,0,small/unpacked/R_1,iteration,3,1,1,54648,512.9090360120741,512.7874579124581,ns,256.0,499232179.0438637,4.0,,,,,,,,
small/unpacked/R_1,2,0,small/unpacked/R_1,iteration,3,2,1,54648,513.1938039824327,513.1071402430098,ns,256.0,498921141.2625388,4.0,,,,,,,,
small/unpacked/W_A,3,0,small/unpacked/W_A,iteration,3,0,1,83978,331.8119031174511,331.8206435018692,ns,256.0,771501125.7235353,4.0,,,,,,,,
small/unpacked/W_A,3,0,small/unpacked/W_A,iteration,3,1,1,83978,331.87630093584056,331.80574674319456,ns,256.0,771535763.0563722,4.0,,,,,,,,
small/unpacked/W_A,3,0,small/unpacked/W_A,iteration,3,2,1,83978,331.75370930492056,331.76173521636616,ns,256.0,771638115.0256634,4.0,,,,,,,,
small/unpacked/W_AC,4,0,small/unpacked/W_AC,iteration,3,0,1,60362,464.1669924783562,464.071617905305,ns,256.0,551638993.0405902,4.0,,,,,,,,
small/unpacked/W_AC,4,0,small/unpacked/W_AC,iteration,3,1,1,60362,464.0954574069423,464.0074218879424,ns,256.0,551715312.9973509,4.0,,,,,,,,
small/unpacked/W_AC,4,0,small/unpacked/W_AC,iteration,3,2,1,60362,463.8432126169029,463.855140651403,ns,256.0,551896438.2727181,4.0,,,,,,,,
small/unpacked/W_AB,5,0,small/unpacked/W_AB,iteration,3,0,1,60334,464.1205953528955,464.0267013624162,ns,256.0,551692390.2188503,4.0,,,,,,,,
small/unpacked/W_AB,5,0,small/unpacked/W_AB,iteration,3,1,1,60334,463.8832996320274,463.8946365233532,ns,256.0,551849449.9496386,4.0,,,,,,,,
small/unpacked/W_AB,5,0,small/unpacked/W_AB,iteration,3,2,1,60334,464.0277952730206,463.9413266151752,ns,256.0,551793912.9668093,4.0,,,,,,,,
small/unpacked/W_all,6,0,small/unpacked/W_all,iteration,3,0,1,36906,760.6595133578211,760.5042811466972,ns,256.0,336618749.35667723,4.0,,,,,,,,
small/unpacked/W_all,6,0,small/unpacked/W_all,iteration,3,1,1,36906,759.4339402802342,759.4517422641288,ns,256.0,337085275.8027726,4.0,,,,,,,,
small/unpacked/W_all,6,0,small/unpacked/W_all,iteration,3,2,1,36906,760.5023573399181,760.3692082588194,ns,256.0,336678546.7105094,4.0,,,,,,,,
mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,7,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,iteration,3,0,1,40584,654.0052730142812,654.0276217228474,ns,256.0,391420777.1923176,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,7,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,iteration,3,1,1,40584,643.8441011227358,643.5766065444516,ns,256.0,397777043.7843256,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,7,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/5/bytes,iteration,3,2,1,40584,641.3632712394914,641.1642272816856,ns,256.0,399273679.20283294,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
