name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes
small/unpacked/R_AC,0,0,small/unpacked/R_AC,iteration,3,0,1,79937,350.4128250991728,349.87591478289147,ns,256.0,731687976.1753697,4.0,,,,,,,,
small/unpacked/R_AC,0,0,small/unpacked/R_AC,iteration,3,1,1,79937,350.82716389098755,349.8506573926968,ns,256.0,731740800.2256452,4.0,,,,,,,,
small/unpacked/R_AC,0,0,small/unpacked/R_AC,iteration,3,2,1,79937,349.4907364551812,349.48961056832263,ns,256.0,732496738.8406926,4.0,,,,,,,,
small/unpacked/R_0,1,0,small/unpacked/R_0,iteration,3,0,1,79657,353.3236375972919,353.1708701055779,ns,256.0,724861594.398968,4.0,,,,,,,,
small/unpacked/R_0,1,0,small/unpacked/R_0,iteration,3,1,1,79657,351.9129643341207,351.9137301178806,ns,256.0,727451014.5263375,4.0,,,,,,,,
small/unpacked/R_0,1,0,small/unpacked/R_0,iteration,3,2,1,79657,352.38009214552676,352.22555456519814,ns,256.0,726807003.8700544,4.0,,,,,,,,
small/unpacked/R_1,2,0,small/unpacked/R_1,iteration,3,0,1,79425,352.2486748505394,352.16987094743473,ns,256.0,726921923.5344833,4.0,,,,,,,,
small/unpacked/R_1,2,0,small/unpacked/R_1,iteration,3,1,1,79425,352.3228328613833,352.2451495121186,ns,256.0,726766572.5264802,4.0,,,,,,,,
small/unpacked/R_1,2,0,small/unpacked/R_1,iteration,3,2,1,79425,352.5265470570233,352.09873465533497,ns,256.0,727068787.2553567,4.0,,,,,,,,
small/unpacked/W_A,3,0,small/unpacked/W_A,iteration,3,0,1,79742,351.2512979347488,351.25018183642203,ns,256.0,728825245.4748045,4.0,,,,,,,,
small/unpacked/W_A,3,0,small/unpacked/W_A,iteration,3,1,1,79742,351.2285997335761,351.13141130144766,ns,256.0,729071771.3096395,4.0,,,,,,,,
small/unpacked/W_A,3,0,small/unpacked/W_A,iteration,3,2,1,79742,352.7804795466864,351.70038373755364,ns,256.0,727892296.5038124,4.0,,,,,,,,
small/unpacked/W_AC,4,0,small/unpacked/W_AC,iteration,3,0,1,68360,409.52195728601936,409.47603861907584,ns,256.0,625189207.3180617,4.0,,,,,,,,
small/unpacked/W_AC,4,0,small/unpacked/W_AC,iteration,3,1,1,68360,409.42978349873766,409.4040520772386,ns,256.0,625299135.9052372,4.0,,,,,,,,
