name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,invocations,items_per_iteration,items_per_second,native_read_bytes,prepared_read_bytes,prepared_write_bytes,read_preparations,stride,tuple_bytes,write_bytes,write_preparations
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,0,1,15279,1845.8915375145298,1846.2595719615158,ns,3911424.0,256.0,138658725.93853024,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,1,1,15279,1830.6554013086525,1830.8762353557165,ns,3911424.0,256.0,139823760.37027013,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,2,1,15279,1848.0622462996078,1848.2312324104973,ns,3911424.0,256.0,138510807.2576612,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,3,1,15279,1831.2390246361804,1828.9918842856214,ns,3911424.0,256.0,139967816.2596058,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,4,1,15279,1856.9143213854932,1856.9496040316774,ns,3911424.0,256.0,137860499.52254543,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,0,1,11006,1933.2790192519235,1931.7229692894805,ns,2817536.0,256.0,132524178.70982869,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,1,1,11006,1964.0465331821144,1964.0612393240053,ns,2817536.0,256.0,130342167.99070409,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,2,1,11006,1882.90850211469,1883.0713247319648,ns,2817536.0,256.0,135948116.5889661,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,3,1,11006,1975.4305892823156,1975.6080319825553,ns,2817536.0,256.0,129580359.99838477,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,4,1,11006,1888.4319574786234,1888.5873160094518,ns,2817536.0,256.0,135551053.3348932,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/1024,1,0,runtime/bytes64_0/read_bound/1024,iteration,5,0,1,14553,2053.383298667241,2053.6343709200846,ns,3725568.0,256.0,124657048.80333932,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/1024,1,0,runtime/bytes64_0/read_bound/1024,iteration,5,1,1,14553,2104.5214065801056,2104.7836872122575,ns,3725568.0,256.0,121627700.53537746,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/1024,1,0,runtime/bytes64_0/read_bound/1024,iteration,5,2,1,14553,4505.956439752026,4504.251700680272,ns,3725568.0,256.0,56835189.73003587,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/1024,1,0,runtime/bytes64_0/read_bound/1024,iteration,5,3,1,14553,2496.642207958883,2496.4726173297618,ns,3725568.0,256.0,102544685.73896025,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/1024,1,0,runtime/bytes64_0/read_bound/1024,iteration,5,4,1,14553,2058.622748092803,2057.6227581941866,ns,3725568.0,256.0,124415420.16412719,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/65536,1,1,runtime/bytes64_0/read_bound/65536,iteration,5,0,1,12532,2077.80992571815,2078.0401372486376,ns,3208192.0,256.0,123193000.66020311,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/65536,1,1,runtime/bytes64_0/read_bound/65536,iteration,5,1,1,12532,2078.5845910962057,2078.7051548037057,ns,3208192.0,256.0,123153588.8619925,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_bound/65536,1,1,runtime/bytes64_0/read_bound/65536,iteration,5,2,1,12532,2071.7686839446906,2071.998962655604,ns,3208192.0,256.0,123552185.40838182,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
