name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,invocations,items_per_iteration,items_per_second,native_read_bytes,prepared_read_bytes,prepared_write_bytes,read_preparations,stride,tuple_bytes,write_bytes,write_preparations
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,0,1,46040,605.5516724587757,605.4705039096438,ns,11786240.0,256.0,422811678.43347764,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,1,1,46040,606.1583188532517,605.4291920069504,ns,11786240.0,256.0,422840529.29687786,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,2,1,46040,605.4593614248165,604.8184622067766,ns,11786240.0,256.0,423267502.5592691,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,3,1,46040,606.0844700262078,606.019135534318,ns,11786240.0,256.0,422428905.2758848,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/1024,0,0,runtime/bytes64_0/read_inline/1024,iteration,5,4,1,46040,606.6133579495283,606.5712858384014,ns,11786240.0,256.0,422044376.27830905,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,0,1,32521,861.8563389811571,861.201408320777,ns,8325376.0,256.0,297259151.60678196,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,1,1,32521,862.3440238614085,862.34805202792,ns,8325376.0,256.0,296863893.17861134,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,2,1,32521,865.3697610773254,863.5629593185944,ns,8325376.0,256.0,296446248.9243403,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,3,1,32521,862.1837889362437,862.1900310568556,ns,8325376.0,256.0,296918301.9736383,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
runtime/bytes64_0/read_inline/65536,0,1,runtime/bytes64_0/read_inline/65536,iteration,5,4,1,32521,865.3882106942743,863.006426616648,ns,8325376.0,256.0,296637420.19121313,64.0,960.0,7040.0,1.0,64.0,64.0,64.0,1.0
