input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration
neon,composition/128/body,1,3,"[20191.301752723826,20349.632875414496,20364.30317385126]",20349.632875414496,"[20226.96636665194,20351.712458551505,20366.159639975842]",20351.712458551505,"[19.71806811789436,19.87268835489697,19.887014818214126]",19.87268835489697,1024.0
neon,composition/128/ordinary,1,3,"[27414.655330281235,27132.609548724646,27114.279921517347]",27132.609548724646,"[27421.52910399509,27134.484630481864,27117.32374100677]",27134.484630481864,"[26.772124345977765,26.496689012426412,26.478788985856784]",26.496689012426412,1024.0
neon,pipeline/decode_repack/cps,1,3,"[21063.452631579337,21040.753383458312,21053.133834586526]",21053.133834586526,"[21065.487218046448,21045.159398500287,21052.57744360534]",21052.57744360534,"[20.569777960526693,20.547610726033508,20.559701010338404]",20.559701010338404,1024.0
neon,pipeline/decode_repack/inline,1,3,"[17929.105083297603,17987.412217001416,17934.759504485555]",17934.759504485555,"[17932.912003416914,17990.945322517382,17966.296881671267]",17966.296881671267,"[17.508891682907816,17.565832243165442,17.514413578599175]",17.514413578599175,1024.0
neon,point/1/read/body,1,3,"[17771.827761320335,17780.123994921694,17771.11214557767]",17771.827761320335,"[17774.093948371818,17817.60685569247,17775.13161235994]",17775.13161235994,"[2.1694125685205488,2.1704252923488396,2.169325213083212]",2.1694125685205488,8192.0
neon,point/1/read/control,1,3,"[17742.85931558935,17742.89226869455,17739.929446556827]",17742.85931558935,"[17745.320236585416,17744.901985633256,17741.741022388265]",17744.901985633256,"[2.165876381297528,2.165880403893378,2.1655187312691435]",2.165876381297528,8192.0
neon,point/1/read/ordinary,1,3,"[17839.76147959181,17847.41156462589,17841.780612244835]",17841.780612244835,"[17840.08333333029,17856.931547618857,17843.97236394862]",17843.97236394862,"[2.1777052587392345,2.1786391070099964,2.1779517348931683]",2.1779517348931683,8192.0
neon,point/1/write/body,1,3,"[14772.596688975036,14784.163085593565,14784.465656921506]",14784.163085593565,"[14774.531877418014,14824.519901376529,14784.10003522585]",14784.10003522585,"[1.803295494259648,1.8047074079093706,1.8047443428859258]",1.8047074079093706,8192.0
neon,point/1/write/control,1,3,"[13532.271142672816,13533.87959974181,13539.80632666225]",13533.87959974181,"[13531.946094254537,13535.54454486741,13549.888637831684]",13535.54454486741,"[1.651888567220803,1.6520849120778576,1.6528083894851378]",1.6520849120778576,8192.0
neon,point/1/write/control_effects,1,3,"[17457.183783783734,17449.644074844127,17462.12349272352]",17457.183783783734,"[17525.409563408793,17453.845322243997,17464.071933470314]",17464.071933470314,"[2.131003879856413,2.1300835052299965,2.1316068716703516]",2.131003879856413,8192.0
neon,point/1/write/ordinary,1,3,"[28340.147197839204,28330.84402430779,28308.802835921604]",28330.84402430779,"[28367.683322078414,28332.947332876895,28310.86022957595]",28332.947332876895,"[3.4594906247362305,3.4583549834360094,3.455664408681836]",3.4583549834360094,8192.0
neon,point/2/read/body,1,3,"[17670.35762426284,17670.684077506292,17678.848778432966]",17670.684077506292,"[17672.54717775717,17671.317186181765,17707.705981462335]",17672.54717775717,"[2.1570260771805225,2.1570659274299673,2.1580625950235555]",2.1570659274299673,8192.0
neon,point/2/read/control,1,3,"[17686.01936026934,17691.08333333336,17680.56818181818]",17686.01936026934,"[17689.63383838743,17705.06691918803,17683.04503366825]",17689.63383838743,"[2.158937910189129,2.159556070963545,2.1582724831321025]",2.158937910189129,8192.0
neon,point/2/read/ordinary,1,3,"[19323.972948188948,19315.7872535534,19324.928931682753]",19323.972948188948,"[19328.37322329294,19318.129298490523,19419.30582301594]",19328.37322329294,"[2.358883416526971,2.357884186224781,2.3590001137308043]",2.358883416526971,8192.0
