input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:items_per_iteration
avx2,composition/128/body,1,3,"[9671.477920883164,9727.952161913525,9695.229070837166]",9695.229070837166,"[9678.53035878728,9727.9993100295,9697.732290708718]",9697.732290708718,"[9.444802657112467,9.499953283118677,9.467997139489418]",9.467997139489418,1024.0
avx2,composition/128/ordinary,1,3,"[14343.435185185188,14292.834705075451,14329.275034293547]",14329.275034293547,"[14370.208847735044,14295.860425241972,14330.027091906586]",14330.027091906586,"[14.007260923032412,13.957846391675245,13.993432650677294]",13.993432650677294,1024.0
avx2,pipeline/decode_repack/cps,1,3,"[9576.686274509904,9581.830141358912,9584.743730050297]",9581.830141358912,"[9581.92590059327,9598.820565434122,9585.468992250091]",9585.468992250091,"[9.352232689951078,9.357255997420815,9.360101298877243]",9.357255997420815,1024.0
avx2,pipeline/decode_repack/inline,1,3,"[9088.242581763097,9077.588477366224,9087.696772796284]",9087.696772796284,"[9089.27810266323,9078.15161360153,9182.533896469888]",9089.27810266323,"[8.875236896253025,8.864832497427953,8.87470387968387]",8.87470387968387,1024.0
avx2,point/1/read/body,1,3,"[10967.169407465433,10980.134690681303,10977.172278778407]",10977.172278778407,"[10969.276951186836,11022.396502218273,10988.076220308374]",10988.076220308374,"[1.338765796809745,1.3403484729835575,1.3399868504368173]",1.3399868504368173,8192.0
avx2,point/1/read/control,1,3,"[12804.392813641902,12801.756090133995,12801.606577344699]",12801.756090133995,"[12808.450060901894,12809.077344702113,12802.420828257555]",12808.450060901894,"[1.5630362321340214,1.562714366471435,1.5626961153985228]",1.562714366471435,8192.0
avx2,point/1/read/ordinary,1,3,"[10947.16006256516,10942.845672575586,10959.550573514069]",10947.16006256516,"[10958.82690302291,10946.962982274074,10960.096454638639]",10958.82690302291,"[1.3363232498248487,1.3357965908905745,1.3378357633684168]",1.3363232498248487,8192.0
avx2,point/1/write/body,1,3,"[9555.911798135929,9568.62150488755,9541.738122300538]",9555.911798135929,"[9555.941804956123,9571.122300521876,9542.161172993649]",9555.941804956123,"[1.1664931394208895,1.1680446172958434,1.1647629543823899]",1.1664931394208895,8192.0
avx2,point/1/write/control,1,3,"[10938.117769671728,10936.966128191787,10943.078686815948]",10938.117769671728,"[10939.707399688541,10937.521365294335,10949.775143304916]",10939.707399688541,"[1.3352194543056306,1.3350788730702867,1.3358250350117127]",1.3352194543056306,8192.0
avx2,point/1/write/control_effects,1,3,"[10954.804693611473,10958.559843546298,10953.89986962196]",10954.804693611473,"[10955.553324639828,10962.924902218861,10954.374706650182]",10955.553324639828,"[1.337256432325619,1.3377148246516477,1.3371459801784618]",1.337256432325619,8192.0
avx2,point/1/write/ordinary,1,3,"[16560.01818900753,16561.813364966383,16532.129695531887]",16560.01818900753,"[16561.185053378136,16573.53341241375,16532.913009095806]",16561.185053378136,"[2.021486595337833,2.021705733028123,2.0180822382241073]",2.021486595337833,8192.0
avx2,point/2/read/body,1,3,"[12789.986581274747,12776.705093016197,12780.941140591667]",12780.941140591667,"[12799.356511129898,12777.355596215606,12791.149740772307]",12791.149740772307,"[1.561277658847015,1.5596563834248287,1.560173479076131]",1.560173479076131,8192.0
avx2,point/2/read/control,1,3,"[10974.869735809581,10957.511378498551,10963.859795971752]",10963.859795971752,"[10992.492806694805,10962.871828407076,10964.357834159215]",10964.357834159215,"[1.3397057782970683,1.337586838195624,1.338361791500458]",1.338361791500458,8192.0
avx2,point/2/read/ordinary,1,3,"[9657.238871041727,9668.679669573212,9667.059660394701]",9667.059660394701,"[9657.730610369279,9672.294860029322,9667.517439190095]",9667.517439190095,"[1.178862166875211,1.180258748727199,1.1800609937005253]",1.1800609937005253,8192.0
avx2,point/2/write/body,1,3,"[18426.19561403515,18445.21315789472,18445.28771929817]",18445.21315789472,"[18432.91973684146,18446.11710526684,18446.0513157846]",18446.0513157846,"[2.2492914567913997,2.25161293431332,2.2516220360471397]",2.25161293431332,8192.0
avx2,point/2/write/control,1,3,"[16638.683564356314,16638.374653465344,16624.43405940589]",16638.374653465344,"[16662.87801979837,16653.781386135095,16625.341386141525]",16653.781386135095,"[2.031089302289589,2.0310515934405937,2.0293498607673204]",2.0310515934405937,8192.0
avx2,point/2/write/control_effects,1,3,"[18180.62975778542,18182.80536332178,18164.56574394483]",18180.62975778542,"[18181.629325259768,18193.666522488747,18172.866349475316]",18181.629325259768,"[2.219315155979665,2.219580732827366,2.2173542167901403]",2.219315155979665,8192.0
avx2,point/2/write/ordinary,1,3,"[25867.3251231527,25880.73029556651,25899.197660098467]",25880.73029556651,"[25868.421798024578,25888.92733989772,25900.24445813096]",25888.92733989772,"[3.157632461322351,3.159268834908022,3.1615231518674887]",3.159268834908022,8192.0
avx2,point/4/read/body,1,3,"[14301.77195371003,14309.10687542542,14291.275017018337]",14301.77195371003,"[14311.616746087453,14315.715112319876,14292.375425461698]",14311.616746087453,"[1.745821771693119,1.7467171478790795,1.7445404073508712]",1.745821771693119,8192.0
avx2,point/4/read/control,1,3,"[14624.017397355576,14616.693110647206,14614.320459290213]",14616.693110647206,"[14625.247042449628,14617.310368822498,14614.384133612892]",14617.310368822498,"[1.785158373700632,1.7842642957333015,1.7839746654407003]",1.7842642957333015,8192.0
avx2,point/4/read/ordinary,1,3,"[14324.32480382131,14249.445922893226,14245.51893551698]",14249.445922893226,"[14330.97134083494,14250.36062777188,14245.570112589341]",14250.36062777188,"[1.7485748051539687,1.739434316759427,1.7389549481832252]",1.739434316759427,8192.0
